# Generated by models/ecoli/analysis/cohort/kcat_estimations.py on wildtype simulations: 64 seed(s), 8 generation(s) used (gens 4-11, first 4 skipped), 505 total cells. Generated 2026-03-31 14:44:52.
"reaction_id"	"catalyst_id"	"kcat_estimate"	"buffered"
"RXN-17023"	"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]"	0.0	false
"RXN-17024"	"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]"	0.0	false
"RXN0-5514"	"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]"	2.41566269556503e-13	false
"RXN0-6705"	"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]"	11417.801433560815	false
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76."	"FABA-CPLX[c]"	1405.6756976570293	false
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60."	"FABA-CPLX[c]"	1338.5119877024595	false
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76."	"FABA-CPLX[c]"	1405.6756976570293	false
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxyarachidoyl-ACPs//trans-delta2-arachidoyl-ACPs/WATER.63."	"FABA-CPLX[c]"	1.3006827032060998e-14	false
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxystearoyl-ACPs//Octadec-2-enoyl-ACPs/WATER.53."	"FABA-CPLX[c]"	1.3006827032060998e-14	false
"4.2.1.58-RXN"	"FABA-CPLX[c]"	970.2454167064968	false
"4.2.1.59-RXN"	"FABA-CPLX[c]"	858.367484577715	false
"4.2.1.61-RXN"	"FABA-CPLX[c]"	178.86414823043023	false
"5.3.3.14-RXN"	"FABA-CPLX[c]"	1.285966522222954e-13	false
"5.3.3.14-RXN (reverse)"	"FABA-CPLX[c]"	2.9602607803866294e-14	false
"RXN-9520"	"FABA-CPLX[c]"	1405.6756976570293	false
"RXN-9533"	"FABA-CPLX[c]"	1405.6756976570293	false
"RXN-9537"	"FABA-CPLX[c]"	1349.711089646991	false
"RXN-9655"	"FABA-CPLX[c]"	1405.6756976570293	false
"MALONYL-COA-ACP-TRANSACYL-RXN"	"MALONYL-COA-ACP-TRANSACYL-MONOMER[c]"	9224.791724647766	false
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER[c]"	168.15444818418447	false
"L-ASPARTATE-OXID-RXN"	"L-ASPARTATE-OXID-MONOMER[c]"	65.1258944290174	false
