,Protein ID,Gene names ,UniProt id,UniProt gene name,Monomer ID
1916,sp|P55734|YGAP_ECOLI,ygaP,P55734,YGAP_ECOLI,G7398-MONOMER
1917,sp|P56258|WECF_ECOLI,wecF,P56258,WECF_ECOLI,G7800-MONOMER
1918,sp|P56259|YIFN_ECOLI,yifN,P56259,YIFN_ECOLI,G7798-MONOMER
1919,sp|P56262|DLHH_ECOLI,ysgA,P56262,DLHH_ECOLI,G7804-MONOMER
1920,sp|P56580|PTHB_ECOLI,srlE,P56580,PTHB_ECOLI,GUTA-MONOMER
1921,sp|P60240|RAPA_ECOLI,rapA,P60240,RAPA_ECOLI,EG11083-MONOMER
1922,sp|P60293|MUKF_ECOLI,mukF,P60293,MUKF_ECOLI,EG12165-MONOMER
1923,sp|P60340|TRUB_ECOLI,truB,P60340,TRUB_ECOLI,EG11177-MONOMER
1924,sp|P60390|RSMH_ECOLI,rsmH,P60390,RSMH_ECOLI,EG11085-MONOMER
1925,sp|P60422|RL2_ECOLI,rplB,P60422,RL2_ECOLI,EG10865-MONOMER
1926,sp|P60438|RL3_ECOLI,rplC,P60438,RL3_ECOLI,EG10866-MONOMER
1927,sp|P60472|UPPS_ECOLI,ispU,P60472,UPPS_ECOLI,UPPSYN-MONOMER
1928,sp|P60546|KGUA_ECOLI,gmk,P60546,KGUA_ECOLI,GUANYL-KIN-MONOMER
1929,sp|P60560|GUAC_ECOLI,guaC,P60560,GUAC_ECOLI,GMP-REDUCT-MONOMER
1930,sp|P60584|CAIA_ECOLI,caiA,P60584,CAIA_ECOLI,CROBETREDUCT-MONOMER
1931,sp|P60595|HIS5_ECOLI,hisH,P60595,HIS5_ECOLI,GLUTAMIDOTRANS-MONOMER
1932,sp|P60624|RL24_ECOLI,rplX,P60624,RL24_ECOLI,EG10884-MONOMER
1933,sp|P60651|SPEB_ECOLI,speB,P60651,SPEB_ECOLI,AGMATIN-MONOMER
1934,sp|P60664|HIS6_ECOLI,hisF,P60664,HIS6_ECOLI,CYCLASE-MONOMER
1935,sp|P60716|LIPA_ECOLI,lipA,P60716,LIPA_ECOLI,EG11306-MONOMER
1936,sp|P60720|LIPB_ECOLI,lipB,P60720,LIPB_ECOLI,EG11591-MONOMER
1937,sp|P60723|RL4_ECOLI,rplD,P60723,RL4_ECOLI,EG10867-MONOMER
1938,sp|P60752|MSBA_ECOLI,msbA,P60752,MSBA_ECOLI,EG10613-MONOMER
1939,sp|P60757|HIS1_ECOLI,hisG,P60757,HIS1_ECOLI,ATPPHOSRIBOSTRANS-MONOMER
1940,sp|P60778|TSGA_ECOLI,tsgA,P60778,TSGA_ECOLI,YHFC-MONOMER
1941,sp|P60782|PLSY_ECOLI,plsY,P60782,PLSY_ECOLI,EG11674-MONOMER
1942,sp|P60785|LEPA_ECOLI,lepA,P60785,LEPA_ECOLI,EG10529-MONOMER
1943,sp|P60869|YBJL_ECOLI,ybjL,P60869,YBJL_ECOLI,G6445-MONOMER
1944,sp|P60872|YIDE_ECOLI,yidE,P60872,YIDE_ECOLI,EG11536-MONOMER
1945,sp|P60906|SYH_ECOLI,hisS,P60906,SYH_ECOLI,HISS-MONOMER
1946,sp|P61175|RL22_ECOLI,rplV,P61175,RL22_ECOLI,EG10882-MONOMER
1947,sp|P61316|LOLA_ECOLI,lolA,P61316,LOLA_ECOLI,G6465-MONOMER
1948,sp|P61320|LOLB_ECOLI,lolB,P61320,LOLB_ECOLI,EG11293-MONOMER
1949,sp|P61517|CAN_ECOLI,can,P61517,CAN_ECOLI,EG12319-MONOMER
1950,sp|P61714|RISB_ECOLI,ribE,P61714,RISB_ECOLI,LUMAZINESYN-MONOMER
1951,sp|P61887|RMLA2_ECOLI,rffH,P61887,RMLA2_ECOLI,DTDPGLUCOSEPP2-MONOMER
1952,sp|P61889|MDH_ECOLI,mdh,P61889,MDH_ECOLI,MALATE-DEHASE-MONOMER
1953,sp|P61949|FLAV_ECOLI,fldA,P61949,FLAV_ECOLI,FLAVODOXIN1-MONOMER
1954,sp|P62399|RL5_ECOLI,rplE,P62399,RL5_ECOLI,EG10868-MONOMER
1955,sp|P62517|OPGH_ECOLI,mdoH,P62517,OPGH_ECOLI,EG11886-MONOMER
1956,sp|P62615|ISPE_ECOLI,ispE,P62615,ISPE_ECOLI,EG11294-MONOMER
1957,sp|P62617|ISPF_ECOLI,ispF,P62617,ISPF_ECOLI,EG11816-MONOMER
1958,sp|P62620|ISPG_ECOLI,ispG,P62620,ISPG_ECOLI,EG10370-MONOMER
1959,sp|P62623|ISPH_ECOLI,ispH,P62623,ISPH_ECOLI,EG11081-MONOMER
1960,sp|P62672|APAG_ECOLI,apaG,P62672,APAG_ECOLI,EG10047-MONOMER
1961,sp|P62707|GPMA_ECOLI,gpmA,P62707,GPMA_ECOLI,GPMA-MONOMER
1962,sp|P62768|YAEH_ECOLI,yaeH,P62768,YAEH_ECOLI,EG12336-MONOMER
1963,sp|P63020|NFUA_ECOLI,nfuA,P63020,NFUA_ECOLI,G7748-MONOMER
1964,sp|P63177|RLMB_ECOLI,rlmB,P63177,RLMB_ECOLI,G7845-MONOMER
1965,sp|P63183|KUP_ECOLI,kup,P63183,KUP_ECOLI,KUP-MONOMER
1966,sp|P63224|GMHA_ECOLI,gmhA,P63224,GMHA_ECOLI,G6106-MONOMER
1967,sp|P63228|GMHBB_ECOLI,gmhB,P63228,GMHBB_ECOLI,EG11736-MONOMER
