"transcription_units"	"monomers_to_remove"
["EG11773", "EG12093"]	["EG11773", "EG12093"]
["EG20080", "G7542"]	["EG20080", "G7542"]
["EG10219", "EG10220", "EG10222"]	["EG10219", "EG10220", "EG10222"]
["EG10579", "EG12438", "EG11368", "EG11532", "EG12437"]	["EG10579", "EG12438", "EG11368", "EG11532", "EG12437"]
["EG12458", "EG11959", "EG11958", "EG11957"]	["EG12458", "EG11959", "EG11958", "EG11957"]
["EG10990", "EG10991", "EG11172", "G7627", "G7626", "G7624"]	["EG10990", "EG10991", "EG11172", "G7627", "G7626", "G7624"]
["EG10721", "EG10722", "EG10723", "EG10724", "EG10725"]	["EG10721", "EG10722", "EG10723", "EG10724", "EG10725"]
["EG11281", "EG10595", "EG10438", "EG10437", "EG10436", "EG10435"]	["EG11281", "EG10595", "EG10438", "EG10437", "EG10436", "EG10435"]
["EG10595", "EG10438", "EG10437", "EG10436", "EG10435"]	["EG10595", "EG10438", "EG10437", "EG10436", "EG10435"]
["G7947", "G7948"]	["G7947", "G7948"]
["G6282", "G6283"]	["G6282"]
["G6455", "G6454"]	["G6455", "G6454"]
["EG11043", "G6879"]	["EG11043"]
["G6969", "G6970"]	["G6969", "G6970"]
["G7128", "EG12414", "EG12415", "EG12416", "EG12417"]	["G7128", "EG12414", "EG12415", "EG12416", "EG12417"]
["EG10810", "EG10258"]	["EG10810"]
["EG10912", "EG10910", "EG10903", "EG10893", "EG10878"]	["EG10912", "EG10910", "EG10903", "EG10893", "EG10878"]
["EG11880", "EG11879"]	["EG11880"]
["EG11624", "EG11625", "EG11626", "EG11627"]	["EG11624", "EG11625", "EG11626", "EG11627"]
["G7161", "G7160", "G7159", "G7158"]	["G7161", "G7160", "G7159", "G7158"]
["EG10734", "EG10784", "EG10782"]	["EG10784", "EG10782"]
["EG10783", "EG10735"]	["EG10783"]
["G7263", "G7264"]	["G7263", "G7264"]
["EG11425", "EG11426"]	["EG11425", "EG11426"]
["G81", "EG12734"]	["G81", "EG12734"]
["EG11757", "EG11363", "EG11281", "EG10595", "EG10438", "EG10437", "EG10436", "EG10435"]	["EG11757", "EG11363", "EG11281", "EG10595", "EG10438", "EG10437", "EG10436", "EG10435"]
["EG11275", "EG10494", "EG10502", "EG11051", "EG11052", "EG11053"]	["EG10494", "EG10502", "EG11051", "EG11053"]
["EG12075", "EG12076", "EG12077", "EG12078", "EG12079", "EG11519"]	["EG12075", "EG12076", "EG12077", "EG12078", "EG12079"]
["G7485", "G7486", "G7487"]	["G7485", "G7486", "G7487"]
["EG10703", "EG10282"]	["EG10282"]
["EG10988", "EG10987", "EG10148", "EG10147", "EG10150", "EG10151"]	["EG10988", "EG10987", "EG10148", "EG10147", "EG10150", "EG10151"]
["EG10637", "G436", "G7677", "G7676", "G7675"]	["G436", "G7677", "G7676", "G7675"]
["G7326", "G7325", "G7324", "EG12132"]	["G7326", "G7325", "G7324", "EG12132"]
["EG11329", "EG10361", "EG11330"]	["EG11329", "EG10361", "EG11330"]
["G7545", "G7544", "G0-8601", "G7543", "EG20080", "G7542"]	["G7545", "G7544", "G0-8601", "G7543", "EG20080", "G7542"]
["EG11621", "EG11737", "EG11504"]	["EG11621", "EG11737", "EG11504"]
["M010", "M011", "M012", "M013", "M014", "G6205"]	["M010", "M011", "M012", "M013", "M014", "G6205"]
["G0-10689", "EG12525"]	["G0-10689", "EG12525"]
["EG11378", "G6909", "G6908", "G6907", "G6906", "G6905"]	["EG11378", "G6909", "G6908", "G6907", "G6906", "G6905"]
["EG11823", "EG12189"]	["EG11823"]
["G6261", "G6262"]	["G6261", "G6262"]
["EG10173", "EG10174"]	["EG10173", "EG10174"]
["EG10506", "EG11231", "EG10881"]	["EG11231"]
["EG10928", "G6227"]	["EG10928", "G6227"]
["G7267", "G7266"]	["G7267", "G7266"]
["EG10072", "EG12124", "EG12125", "EG10007", "EG10452"]	["EG10072", "EG12124", "EG12125", "EG10007", "EG10452"]
["G6196", "G6198", "G6199", "G6200"]	["G6196", "G6198", "G6199", "G6200"]
["G6782", "G6781", "G6780", "G6779", "G6778", "G6777"]	["G6782", "G6781", "G6780", "G6779", "G6778", "G6777"]
["EG10690", "EG11374"]	["EG10690", "EG11374"]
["G7184", "G7185"]	[]
["EG10784", "EG10782", "EG10783", "EG10735"]	["EG10784", "EG10782", "EG10783"]
["EG12802", "G7662", "G7663", "G7664", "G7665", "EG11680"]	["EG12802", "G7662", "G7663", "G7664", "G7665", "EG11680"]
["G6751", "G6752", "G6753", "G6754", "G6755"]	["G6751", "G6752", "G6753", "G6754"]
["G6523", "G6522", "G6521", "G6520", "G6519", "G6518", "G6517"]	["G6523", "G6522", "G6521", "G6520", "G6519", "G6518", "G6517"]
["EG11448", "EG11943", "EG11942"]	["EG11448", "EG11943"]
["EG10582", "EG10590"]	["EG10582", "EG10590"]
["EG10652", "EG11078"]	["EG10652"]
["G7394", "EG12387", "EG11329", "EG10361", "EG11330"]	["G7394", "EG12387", "EG11329", "EG10361", "EG11330"]
["EG10455", "EG10316", "EG11284", "EG10545"]	["EG10455", "EG10545"]
["EG11008", "EG10684", "EG12854"]	["EG11008", "EG10684", "EG12854"]
["G6701", "G6700"]	[]
["EG10838", "EG12210", "EG11189", "EG11424"]	["EG10838", "EG12210", "EG11189", "EG11424"]
["EG10427", "EG10761", "EG12424"]	["EG10761", "EG12424"]
["EG11473", "EG11474", "EG11476"]	["EG11473", "EG11474", "EG11476"]
["EG10057", "EG10058", "EG10059"]	["EG10057", "EG10058", "EG10059"]
["EG11510", "EG11403"]	["EG11510", "EG11403"]
["EG11280", "EG11226", "EG11577", "EG11576", "EG11575"]	["EG11226", "EG11577", "EG11576", "EG11575"]
["G7657", "EG11358"]	[]
["EG10356", "EG10358"]	[]
["EG10979", "EG10980"]	["EG10979", "EG10980"]
["G6663", "G0-10645", "G0-10446", "G6662"]	["G0-10645", "G0-10446"]
["G6889", "G6890", "G6891"]	[]
["G7921", "G7920", "G7919"]	["G7920"]
["EG10082", "EG11093", "EG10083"]	["EG10082", "EG11093"]
["EG10056", "EG11157"]	[]
["EG10362", "EG10366"]	["EG10366"]
["EG10362", "EG10366", "EG10363"]	["EG10366"]
["EG12295", "EG12294", "EG10937", "EG20091"]	["EG10937", "EG20091"]
["EG10275", "EG10276"]	["EG10275", "EG10276"]
["EG50001", "EG50002", "EG11499", "G7656"]	["EG50001", "EG50002", "EG11499", "G7656"]
["G6457", "G6456", "EG10754"]	["G6457", "G6456"]
["G6549", "G6550", "G6551"]	[]
["EG11569", "EG10985", "EG10691"]	["EG10985", "EG10691"]
["EG12197", "EG12144"]	["EG12197", "EG12144"]
["G7821", "EG12458", "EG11959", "EG11958", "EG11957"]	["G7821", "EG12458", "EG11959", "EG11958", "EG11957"]
["EG10675", "EG10676", "EG10677", "EG10678"]	["EG10675", "EG10676", "EG10677", "EG10678"]
["EG10362", "EG10366", "EG10363", "EG11698"]	["EG10366", "EG11698"]
["EG10006", "EG10357"]	["EG10006"]
["G7018", "EG12368"]	["G7018", "EG12368"]
["G7893", "G7892", "EG12539", "G7891"]	["G7893", "G7892", "EG12539"]
["EG10527", "EG10526", "EG10524"]	["EG10527", "EG10526", "EG10524"]
["EG11417", "G812"]	["EG11417"]
["EG10116", "EG10115", "EG10114"]	["EG10115", "EG10114"]
["EG12630", "EG12629", "EG12631"]	[]
["EG10367", "G6966"]	[]
["EG11437", "EG10277", "EG11317", "EG11318"]	["EG11437", "EG10277", "EG11317", "EG11318"]
["G7856", "EG12494", "EG12495", "G7858", "G7859", "G7860"]	["G7856", "EG12494", "EG12495", "G7858", "G7859", "G7860"]
["EG10523", "EG10047", "EG10048"]	["EG10523", "EG10047", "EG10048"]
["EG10691", "EG10523", "EG10047", "EG10048"]	["EG10691", "EG10523", "EG10047", "EG10048"]
["EG10047", "EG10048"]	["EG10047", "EG10048"]
["EG10691", "EG10523"]	["EG10691", "EG10523"]
["G7213", "G7212"]	["G7213", "G7212"]
["G6920", "G6921", "G6922", "G6923", "EG12357"]	["G6920", "G6921", "G6922", "G6923", "EG12357"]
["EG11312", "EG10886", "EG10891", "EG10329"]	["EG11312", "EG10886", "EG10891"]
["EG10886", "EG10891", "EG10329"]	["EG10886", "EG10891"]
["EG10627", "G7532", "G7533", "EG10664"]	["EG10627", "G7533"]
["G7532", "G7533", "EG10664"]	["G7533"]
["EG10627", "G7532", "G7533"]	["EG10627", "G7533"]
["G7532", "G7533"]	["G7533"]
["EG11312", "EG10886", "EG10891"]	["EG11312", "EG10886", "EG10891"]
["EG11368", "EG11532", "EG12437"]	["EG11368", "EG11532", "EG12437"]
["EG11047", "EG11046", "EG11049", "EG11048", "EG11050"]	["EG11047", "EG11046", "EG11049", "EG11048", "EG11050"]
["EG10095", "EG11225"]	[]
["EG10126", "EG11204"]	["EG10126", "EG11204"]
["EG10809", "EG11128"]	["EG10809", "EG11128"]
["EG10872", "EG10864", "EG10871", "EG10873", "EG10894", "EG10895"]	["EG10872", "EG10864", "EG10871", "EG10894", "EG10895"]
["EG10945", "EG11296"]	["EG11296"]
["G7631", "G7632", "G7633", "EG12766"]	["G7631", "G7632", "G7633", "EG12766"]
["G7634", "EG12768", "EG12769", "EG12770", "G7635", "G7636"]	["G7634", "EG12768", "EG12769", "EG12770", "G7635", "G7636"]
["EG11542", "G6269"]	["EG11542", "G6269"]
["EG11272", "EG10709", "EG10710", "EG10440"]	["EG10709", "EG10710"]
["G6479", "G6478", "G6477", "G6476", "EG12358"]	["G6479", "G6478", "G6477", "G6476", "EG12358"]
["EG10951", "EG11796"]	["EG10951", "EG11796"]
["EG10024", "EG10025"]	["EG10024", "EG10025"]
["EG10099", "EG10102", "EG10103", "EG10105", "EG10098", "EG10104", "EG10101", "EG10100"]	["EG10099", "EG10102", "EG10103", "EG10105", "EG10098", "EG10104", "EG10101", "EG10100"]
["EG10220", "EG10222"]	["EG10220", "EG10222"]
["EG10386", "EG10388", "EG10389"]	["EG10386", "EG10388"]
["EG10445", "EG10450", "EG10444", "EG10448", "EG10451"]	["EG10445", "EG10450", "EG10444", "EG10448", "EG10451"]
["EG11271", "EG10707"]	["EG11271", "EG10707"]
["EG10914", "EG10743"]	[]
["EG10934", "EG10931", "EG10932"]	["EG10934", "EG10931", "EG10932"]
["G7921", "G7920"]	["G7920"]
["EG10500", "EG10499"]	["EG10500", "EG10499"]
["EG12374", "EG10307", "EG10682"]	["EG12374", "EG10307"]
["EG11797", "EG12100"]	[]
["EG10894", "EG10895"]	["EG10894", "EG10895"]
["G6776", "EG11508"]	["G6776"]
["EG11341", "EG11339", "EG11340", "EG11350", "EG11351", "EG11352", "EG11353", "EG11425", "EG11426", "EG11423"]	["EG11341", "EG11339", "EG11340", "EG11350", "EG11351", "EG11352", "EG11353", "EG11425", "EG11426", "EG11423"]
["G7699", "G7698", "EG10077", "G7697"]	["G7699", "G7698", "EG10077", "G7697"]
["EG11583", "G6277", "G6278", "G6280", "G6281", "G6282", "G6283"]	["EG11583", "G6277", "G6278", "G6280", "G6282"]
["G6286", "G6285", "G6284"]	["G6286", "G6285", "G6284"]
["EG11752", "EG11751"]	["EG11752"]
["G7238", "G7237", "G7236", "G7235", "G7234"]	["G7238"]
["G6800", "G6801", "G6802", "G6803", "G6804", "G6805", "G6806"]	["G6800", "G6801", "G6802", "G6803", "G6804", "G6805"]
["G7113", "G7114", "G7115", "EG12136", "EG11617", "EG11618"]	["G7113", "G7114", "G7115", "EG12136", "EG11617", "EG11618"]
["G6627", "G6626", "EG12399"]	["G6627", "G6626"]
["EG10368", "EG10703", "EG10282"]	["EG10368", "EG10282"]
["EG11138", "EG11137", "EG10925"]	["EG11138", "EG11137"]
["EG10027", "EG20173"]	[]
["EG10251", "EG11191"]	["EG10251", "EG11191"]
["EG11293", "EG11294", "EG10774"]	["EG11293", "EG11294"]
["EG11444", "EG11445", "G7516", "G7517"]	["EG11444", "EG11445", "G7516", "G7517"]
["EG12908", "G7723", "G7724", "G7726", "G7727"]	["EG12908", "G7723", "G7724", "G7726"]
["G7827", "G7826"]	["G7827"]
["G6093", "EG10455", "EG10316", "EG11284", "EG10545", "EG10546", "EG10861", "EG10238"]	["EG10455", "EG10545", "EG10546", "EG10861", "EG10238"]
["G6531", "G6530", "G6529", "G6528"]	["G6531", "G6530", "G6529", "G6528"]
["EG11212", "EG11259", "G7845", "G7846"]	["EG11212", "EG11259", "G7845", "G7846"]
["EG10881", "EG11272"]	[]
["EG11487", "EG11043", "G6879"]	["EG11487", "EG11043"]
["EG11084", "EG11085", "EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10342", "EG10339", "EG10347", "EG10265"]	["EG11084", "EG11085", "EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10339"]
["EG10023", "EG10022", "EG10026"]	["EG10023", "EG10022"]
["EG10065", "EG10064", "EG11223"]	["EG10065", "EG10064"]
["EG10078", "EG11039"]	["EG10078", "EG11039"]
