TUs	TU_Genes	Gene_Names
yadV-htrE	htrE // yadV	htrE // yadV
yncL	yncL	yncL
ykfBF-yafX-ykfGH-yafW-ykfI	ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB	ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB
dcuB-fumB	fumB // dcuB	fumB // dcuB
ybhL	ybhL	ybhL
panD	panD	panD
exoX // yobB	exoX // yobB	exoX // yobB
aroG	aroG	aroG
ygiQ	ygiQ	ygiQ
osmB	osmB	osmB
slt	slt	slt
glrK	glrK	glrK
rplL	rplL	rplL
lysY // valZ	lysY // valZ	lysY // valZ
pdeD	pdeD	pdeD
lpxL	lpxL	lpxL
yqgA	yqgA	yqgA
yoaB	yoaB	yoaB
allR	allR	allR
hemW // rdgB // yggU // yggT // yggS	hemW // rdgB // yggU // yggT // yggS	hemW // rdgB // yggU // yggT // yggS
ttdABT	ttdT // ttdA // ttdB	ttdT // ttdA // ttdB
yjiT	yjiT	yjiT
rfaYZ	waaZ // waaY	waaZ // waaY
thyA	thyA	thyA
bcsBZ	bcsZ // bcsB	bcsZ // bcsB
hscC	hscC	hscC
yeaE	yeaE	yeaE
ldrB	ldrB	ldrB
rpsU-dnaG-rpoD	rpsU // dnaG // rpoD	rpsU // dnaG // rpoD
ygfF	ygfF	ygfF
insB7	insB7	insB7
relA	relA	relA
fbp	fbp	fbp
rna	rna	rna
ydiZ	ydiZ	ydiZ
mak	mak	mak
rnt-lhr	rnt // lhr	rnt // lhr
ygeY	ygeY	ygeY
bdcR	bdcR	bdcR
creD	creD	creD
mepS	mepS	mepS
ybcV	ybcV	ybcV
dut-slmA	slmA // dut	slmA // dut
fumD	fumD	fumD
ompX	ompX	ompX
yhdT-panF-prmA	yhdT // panF // prmA	yhdT // panF // prmA
yqeG	yqeG	yqeG
bsmA	bsmA	bsmA
fre	fre	fre
fabF	fabF	fabF
ybcF // ylbF // ylbE // fdrA	ybcF // ylbF // ylbE // fdrA	ybcF // ylbF // ylbE // fdrA
metR	metR	metR
hdhA	hdhA	hdhA
envR	envR	envR
ygdG	ygdG	ygdG
modABC	modA // modB // modC	modA // modB // modC
ghoT // ghoS	ghoT // ghoS	ghoT // ghoS
dam-rpe-gph-trpS	trpS // gph // rpe // dam	trpS // gph // rpe // dam
talA	talA	talA
tnaC	tnaC	tnaC
maa	maa	maa
talB	talB	talB
dicB-ydfDE-insD-intQ	intQ // insD7 // ydfE // ydfD // dicB	intQ // insD7 // ydfE // ydfD // dicB
bioH	bioH	bioH
ygbN	ygbN	ygbN
hdeAB-yhiD	yhiD // hdeB // hdeA	yhiD // hdeB // hdeA
aphA	aphA	aphA
yjeFE-amiB-mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr
rne	rne	rne
yjiY	btsT	btsT
panE // yajL	panE // yajL	panE // yajL
rpsT	rpsT	rpsT
ydfJ	ydfJ	ydfJ
yghZ	gpr	gpr
ileY	ileY	ileY
exbBD	exbD // exbB	exbD // exbB
nfi // hemE // nudC	nfi // hemE // nudC	nfi // hemE // nudC
rpmH-rnpA	rnpA // rpmH	rnpA // rpmH
cspE	cspE	cspE
sdiA	sdiA	sdiA
yaiX	yaiX	yaiX
ydeP	ydeP	ydeP
lsrK	lsrK	lsrK
yfeR	yfeR	yfeR
intA	intA	intA
chaBC	chaB // chaC	chaB // chaC
yiiM	yiiM	yiiM
nac	nac	nac
pspBCDE	pspE // pspD // pspC // pspB	pspE // pspD // pspC // pspB
yciT	yciT	yciT
ykgG // ykgF // ykgE	ykgG // ykgF // ykgE	ykgG // ykgF // ykgE
glk	glk	glk
yddE	yddE	yddE
yegD	yegD	yegD
yfhH	yfhH	yfhH
acrAB	acrA // acrB	acrA // acrB
bipA	bipA	bipA
pqiABC	pqiC // pqiB // pqiA	pqiC // pqiB // pqiA
rrlB-rrfB	rrfB // rrlB	rrfB // rrlB
sdiA	sdiA	sdiA
yagK	yagK	yagK
waaA	waaA	waaA
rlhA	rlhA	rlhA
eamA	eamA	eamA
ndk	ndk	ndk
glpTQ	glpQ // glpT	glpQ // glpT
rarD	rarD	rarD
paaABCDEFGHIJK	paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA	paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA
gcvP	gcvP	gcvP
ydcSTUV-patD	patD // ydcT // ydcU // ydcV // ydcS	patD // ydcT // ydcU // ydcV // ydcS
prfH // ykfJ	prfH // ykfJ	prfH // ykfJ
lepAB	lepA // lepB	lepA // lepB
ydbD	ydbD	ydbD
ycgJ	ycgJ	ycgJ
eutH // eutA	eutH // eutA	eutH // eutA
nhaAR	nhaR // nhaA	nhaR // nhaA
cbrC	cbrC	cbrC
cmr	mdfA	mdfA
rrsE-gltV-rrlE-rrfE	rrfE // rrlE // gltV // rrsE	rrfE // rrlE // gltV // rrsE
dsbC	dsbC	dsbC
dkgB	dkgB	dkgB
rnhA	rnhA	rnhA
trkG	trkG	trkG
ybjD	ybjD	ybjD
ypeC	ypeC	ypeC
livKHMGF	livF // livG // livM // livH // livK	livF // livG // livM // livH // livK
yicN	yicN	yicN
arcA	arcA	arcA
nagC	nagC	nagC
dgkA	dgkA	dgkA
mrcB	mrcB	mrcB
aceEF	aceF // aceE	aceF // aceE
ycjY	ycjY	ycjY
yphH	yphH	yphH
intS	intS	intS
mglBAC	mglC // mglA // mglB	mglC // mglA // mglB
grxC	grxC	grxC
mobAB	mobB // mobA	mobB // mobA
csgDEFG	csgG // csgF // csgE // csgD	csgG // csgF // csgE // csgD
pstB-phoU	phoU // pstB	phoU // pstB
sgrR-sroA-thiBPQ	sgrR // sroA // thiB // thiP // thiQ	sgrR // sroA // thiB // thiP // thiQ
uvrC	uvrC	uvrC
yciK // btuR	yciK // btuR	yciK // btuR
ymfI	ymfI	ymfI
yfbV	yfbV	yfbV
fdhF	fdhF	fdhF
ghrB	ghrB	ghrB
caiF	caiF	caiF
hypF	hypF	hypF
prpBCDE	prpE // prpD // prpC // prpB	prpE // prpD // prpC // prpB
