Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU00243	EG10100 // EG10103 // EG10106 // EG10099 // EG10102 // EG10105 // EG10098 // EG10101 // EG10104	[atpIBEFHAGDC 3,915,553 &larr; 3,922,440]	6888	-
TU0-13984	EG10107	[avtA 3,739,705 &rarr; 3,740,958]	1254	+
TU0-42461	G6731	[azoR 1,482,255 &larr; 1,482,860]	606	-
TU0-14767	G0-10653	[azuC 1,987,873 &larr; 1,987,959]	87	-
TU0-3425	EG11665	[bacA 3,203,310 &larr; 3,204,131]	822	-
TU00244	EG11618 // EG11617	[baeSR 2,162,876 &rarr; 2,164,998]	2123	+
TU0-4204	G6093	[bamA 197,928 &rarr; 200,360]	2433	+
TU0-8373	EG10238 // G6093 // EG10455 // EG10861 // EG11284 // EG10316 // EG10545 // EG10546	[bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 197,928 &rarr; 208,608]	10681	+
TU-8385	G7319 // G7320	[bamB-der 2,635,884 &larr; 2,638,652]	2769	-
TU0-4161	EG10658	[bamC 2,597,831 &larr; 2,598,865]	1035	-
TU-8391	G7352	[bamD 2,736,146 &rarr; 2,736,883]	738	+
TU0-4221	G7352	[bamD 2,736,146 &rarr; 2,736,883]	738	+
TU0-3423	EG10952	[bamE 2,753,605 &rarr; 2,753,946]	342	+
TU0-8337	EG11367	[barA 2,915,057 &rarr; 2,917,813]	2757	+
TU00245	EG11615 // EG11614	[basRS 4,332,181 &larr; 4,333,950]	1770	-
TU0-14231	EG11360	[TU0-14231 3,736,353 &larr; 3,737,177]	825	-
TU0-6483	EG10108	[bcp 2,600,478 &rarr; 2,600,948]	471	+
TU0-13554	EG11419	[TU0-13554 2,278,570 &larr; 2,279,760]	1191	-
TU0-8365	EG12260 // EG12259 // EG12257 // EG12258	[bcsABZC 3,685,700 &larr; 3,695,236]	9537	-
TU0-8354	EG12259 // EG12258	[bcsBZ 3,689,155 &larr; 3,692,607]	3453	-
TU0-13972	EG12265 // EG12264 // EG12263	[bcsEFG 3,696,458 &rarr; 3,699,893]	3436	+
TU0-8366	EG12261	[bcsQ 3,695,233 &larr; 3,695,985]	753	-
TU0-14171	G7880	[bdcA 4,473,340 &larr; 4,474,053]	714	-
TU0-14172	G7882	[TU0-14172 4,474,124 &rarr; 4,474,717]	594	+
TU0-7141	EG11508 // G6776	[bdm-sra 1,555,826 &larr; 1,556,280]	455	-
TU-8384	G7311 // G7312	[bepA-yfgD 2,616,094 &rarr; 2,617,937]	1844	+
TU0-14645	G7311 // G7312	[bepA-yfgD 2,616,094 &rarr; 2,617,937]	1844	+
TU00115	EG10111 // EG10110 // EG10109	[betIBA 325,577 &larr; 329,334]	3758	-
TU00116	EG10112	[betT 329,463 &rarr; 331,496]	2034	+
TU0-13914	EG11181 // EG10113	[TU0-13914 3,466,249 &larr; 3,466,991]	743	-
TU-8439	G495	[bglA 3,043,662 &rarr; 3,045,101]	1440	+
TU0-42515	EG10116	[bglG 3,905,731 &larr; 3,906,567]	837	-
TU0-42564	EG10116	[bglG 3,905,731 &larr; 3,906,567]	837	-
TU0-4802	EG10116 // EG10115 // EG10114	[bglGFB 3,902,289 &larr; 3,906,567]	4279	-
TU0-14028	EG11729 // EG11364 // EG11728	[TU0-14028 3,898,671 &larr; 3,902,220]	3550	-
TU0-7501	EG12013	[bglX 2,219,692 &larr; 2,221,989]	2298	-
TU0-41673	G6570	[bhsA 1,169,073 &rarr; 1,169,330]	258	+
TU00013	EG10117	[bioA 807,968 &larr; 809,257]	1290	-
TU00117	EG10120 // EG10119 // EG10118 // EG10121	[bioBFCD 809,344 &rarr; 812,947]	3604	+
TU0-8772	EG10122	[bioH 3,544,074 &larr; 3,544,844]	771	-
TU0-14050	EG11471	[TU0-14050 4,011,076 &rarr; 4,011,975]	900	+
TU0-14061	EG11837	[TU0-14061 4,058,407 &rarr; 4,060,230]	1824	+
TU0-8773	EG10124	[bisC 3,714,061 &larr; 3,716,394]	2334	-
TU0-6484	G7837	[blc 4,377,189 &larr; 4,377,722]	534	-
TU0-13351	G0-9561	[blr 1,704,551 &rarr; 1,704,676]	126	+
TU0-42501	G6603	[bluF 1,214,264 &larr; 1,215,475]	1212	-
TU0-13159	G6603	[TU0-13159 1,214,264 &larr; 1,215,475]	1212	-
TU0-13158	G6602	[bluR 1,213,328 &larr; 1,214,059]	732	-
TU00386	EG10125	[bolA 454,472 &rarr; 454,789]	318	+
TU0-14251	EG10125	[bolA 454,472 &rarr; 454,789]	318	+
TU0-7783	G6312	[borD 578,600 &larr; 578,893]	294	-
TU0-12918	G6233 // EG12168	[brnQ-proY 419,591 &rarr; 422,359]	2769	+
TU0-14156	G7852	[bsmA 4,416,441 &larr; 4,416,770]	330	-
TU0-13065	G6436	[TU0-13065 878,248 &rarr; 878,631]	384	+
TU0-8352	G6557	[bssS 1,120,701 &larr; 1,120,955]	255	-
TU0-14621	G6557	[bssS 1,120,701 &larr; 1,120,955]	255	-
TU0-8351	G6557	[bssS 1,120,701 &larr; 1,120,955]	255	-
TU0-13526	EG12006 // EG12007	[TU0-13526 2,212,243 &larr; 2,214,644]	2402	-
TU0-6281	EG10126 // EG11204	[btuB-murI 4,163,639 &rarr; 4,166,285]	2647	+
TU00246	EG10129 // EG10128 // EG10127	[btuCED 1,792,809 &larr; 1,795,152]	2344	-
TU0-44193	EG10128	[btuD 1,792,809 &larr; 1,793,558]	750	-
TU0-44213	EG10129	[btuE 1,793,558 &larr; 1,794,109]	552	-
TU0-44214	EG10129	[btuE 1,793,558 &larr; 1,794,109]	552	-
TU0-12845	G0-8896	[TU0-12845 238,462 &rarr; 238,586]	125	+
TU0-14329	G0-8898	[C0299 1,230,629 &rarr; 1,230,707]	79	+
TU0-14338	G0-8902	[C0362 1,552,001 &rarr; 1,552,386]	386	+
TU0-14240	G0-8903	[TU0-14240 1,972,739 &rarr; 1,972,816]	78	+
TU0-14236	G0-8907	[TU0-14236 2,653,452 &larr; 2,653,538]	87	-
TU0-14337	G0-8911	[C0664 2,835,055 &rarr; 2,835,167]	113	+
TU0-14234	G0-8912	[TU0-14234 3,121,358 &rarr; 3,121,579]	222	+
TU0-14513	EG10131	[cadA 4,356,470 &larr; 4,358,617]	2148	-
TU00467	EG10132 // EG10131	[cadBA 4,356,470 &larr; 4,360,031]	3562	-
TU00118	EG10133	[cadC 4,360,396 &larr; 4,361,934]	1539	-
TU0-14529	EG11558 // EG12608 // EG11557	[caiCDE 34,781 &larr; 37,824]	3044	-
TU141	G6088	[caiF 34,300 &rarr; 34,695]	396	+
TU00247	EG11561 // EG11558 // EG12608 // EG11560 // EG11559 // EG11557	[caiTABCDE 34,781 &larr; 41,931]	7151	-
TU0-8774	EG12319	[can 142,008 &larr; 142,670]	663	-
