Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-1142	EG10787	[ptsG 1,157,869 &rarr; 1,159,302]	1434	+
TU00481	EG10789 // EG10165 // EG10788	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
TU00482	EG10789 // EG10165 // EG10788	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
TU00479	EG10789 // EG10165 // EG10788	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
TU00483	EG10789 // EG10165 // EG10788	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
TU00480	EG10789 // EG10165 // EG10788	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
TU00094	EG10790	[purA 4,404,687 &rarr; 4,405,985]	1299	+
TU00055	EG10791	[purC 2,596,905 &larr; 2,597,618]	714	-
TU00082	EG10793 // EG10796	[purEK 551,527 &larr; 553,100]	1574	-
TU00056	EG10792 // EG10795	[purHD 4,204,642 &larr; 4,207,532]	2891	-
TU00057	EG10797	[purL 2,691,656 &larr; 2,695,543]	3888	-
TU00058	EG10799 // EG10798	[purMN 2,621,197 &rarr; 2,622,872]	1676	+
TU00059	EG10800	[purR 1,737,844 &rarr; 1,738,869]	1026	+
TU0-8494	EG11809	[purT 1,930,881 &rarr; 1,932,059]	1179	+
TU0-41712	EG11819	[TU0-41712 1,287,782 &larr; 1,288,624]	843	-
TU0-13182	EG11819	[TU0-13182 1,287,782 &larr; 1,288,624]	843	-
TU0-41711	EG11819	[TU0-41711 1,287,782 &larr; 1,288,624]	843	-
TU355	EG10801	[putA 1,074,920 &larr; 1,078,882]	3963	-
TU122	EG10802	[putP 1,079,305 &rarr; 1,080,813]	1509	+
TU103	EG10802	[putP 1,079,305 &rarr; 1,080,813]	1509	+
TU123	EG10802	[putP 1,079,305 &rarr; 1,080,813]	1509	+
TU104	EG10802	[putP 1,079,305 &rarr; 1,080,813]	1509	+
TU121	EG10802	[putP 1,079,305 &rarr; 1,080,813]	1509	+
TU0-13209	G6644 // G6643 // G0-16737	[puuAP 1,357,802 &larr; 1,360,908]	3107	-
TU0-13211	EG10036 // G6646 // EG11822	[puuCBE 1,362,743 &rarr; 1,366,815]	4073	+
TU0-13210	EG12431 // EG10036 // G6646 // EG11822 // G6645	[puuDRCBE 1,361,120 &rarr; 1,366,815]	5696	+
TU0-4404	G6643 // G0-16737	[puuP 1,357,802 &larr; 1,359,341]	1540	-
TU0-14633	EG10803	[pykA 1,937,649 &rarr; 1,939,091]	1443	+
TU0-13440	EG10803	[pykA 1,937,649 &rarr; 1,939,091]	1443	+
TU0-14630	EG10804	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
TU00527	EG10804	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
TU0-14631	EG10804	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
TU0-14822	EG10804	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
TU00060	EG10806	[pyrC 1,121,561 &larr; 1,122,607]	1047	-
TU00061	EG10807	[pyrD 1,004,768 &rarr; 1,005,778]	1011	+
TU0-6407	EG11128 // EG10809	[pyrF-yciH 1,341,921 &rarr; 1,342,984]	1064	+
TU0-6428	EG10258 // EG10810	[pyrG-eno 2,906,643 &larr; 2,909,666]	3024	-
TU0-14654	EG10258 // EG10810	[pyrG-eno 2,906,643 &larr; 2,909,666]	3024	-
TU0-6557	EG10258 // EG10810	[pyrG-eno 2,906,643 &larr; 2,909,666]	3024	-
TU0-1021	EG11539	[pyrH 191,855 &rarr; 192,580]	726	+
TU00484	EG11279 // EG10811 // EG10805	[pyrLBI 4,470,986 &larr; 4,472,533]	1548	-
TU00485	EG11279 // EG10811 // EG10805	[pyrLBI 4,470,986 &larr; 4,472,533]	1548	-
TU0-13613	G7244 // G7245 // G7243	[TU0-13613 2,498,671 &rarr; 2,501,987]	3317	+
TU0-12956	G6265 // G6264	[qmcA-ybbJ 514,401 &larr; 515,773]	1373	-
TU0-14227	EG11492	[qorA 4,263,248 &larr; 4,264,231]	984	-
TU0-14161	G7868	[TU0-14161 4,433,164 &larr; 4,434,024]	861	-
TU-8387	G7575 // EG12658	[qseBC 3,169,828 &rarr; 3,171,833]	2006	+
TU-8394	G7575 // EG12658	[qseBC 3,169,828 &rarr; 3,171,833]	2006	+
TU871	EG10812	[queA 425,011 &rarr; 426,081]	1071	+
TU0-12933	G6245	[TU0-12933 464,852 &larr; 465,547]	696	-
TU0-13727	G7431	[TU0-13727 2,892,214 &rarr; 2,892,579]	366	+
TU0-8339	G7443	[queE 2,904,747 &larr; 2,905,418]	672	-
TU0-13738	G7452	[queF 2,925,348 &rarr; 2,926,196]	849	+
TU0-8611	G7843	[queG 4,392,928 &larr; 4,394,067]	1140	-
TU0-13227	EG10813	[TU0-13227 1,417,488 &larr; 1,417,763]	276	-
TU0-13230	G6680	[TU0-13230 1,419,765 &larr; 1,420,241]	477	-
TU0-14225	EG11296 // EG11335	[TU0-14225 4,625,912 &rarr; 4,628,547]	2636	+
TU0-13556	EG12045	[radD 2,280,632 &rarr; 2,282,392]	1761	+
TU0-13677	EG11151	[raiA 2,737,154 &rarr; 2,737,495]	342	+
TU0-42572	G0-16600	[ralA 1,413,556 &rarr; 1,413,734]	179	+
TU0-3841	EG11083 // EG12609	[rapA-rluA 59,687 &larr; 63,264]	3578	-
TU0-14044	EG11466	[TU0-14044 4,003,288 &larr; 4,004,178]	891	-
TU0-13685	G7357 // G7358	[TU0-13685 2,754,008 &larr; 2,754,764]	757	-
TU0-14031	EG11730 // EG11731	[ravA-viaA 3,928,152 &larr; 3,931,093]	2942	-
TU0-12851	G6112	[TU0-12851 247,637 &rarr; 248,134]	498	+
TU0-13573	G7175	[TU0-13573 2,381,608 &rarr; 2,382,525]	918	+
TU00206	EG10816 // EG10819 // EG10815 // EG10818 // EG10814 // EG10817	[rbsDACBKR 3,933,351 &rarr; 3,939,219]	5869	+
TU0-12885	G6174 // G6173 // G6171	[rclABC 317,726 &larr; 320,001]	2276	-
TU0-12884	G6173 // G6171	[TU0-12884 317,726 &larr; 318,567]	842	-
TU0-12886	G6175	[TU0-12886 320,227 &rarr; 321,081]	855	+
TU0-13514	G7138 // G7139	[rcnAB 2,185,917 &rarr; 2,187,298]	1382	+
TU0-13515	G7139	[TU0-13515 2,186,960 &rarr; 2,187,298]	339	+
TU0-13513	G7137	[rcnR 2,185,524 &larr; 2,185,796]	273	-
TU00486	EG10820	[rcsA 2,023,968 &rarr; 2,024,591]	624	+
TU00327	EG10821	[rcsB 2,316,177 &rarr; 2,316,827]	651	+
TU0-36403	EG10821	[rcsB 2,316,177 &rarr; 2,316,827]	651	+
TU00328	EG10822	[rcsC 2,317,027 &larr; 2,319,876]	2850	-
TU0-14359	EG12385 // EG10821	[rcsDB 2,313,488 &rarr; 2,316,827]	3340	+
TU0-12837	EG11502 // EG11503	[TU0-12837 218,887 &larr; 219,995]	1109	-
TU0-14801	G7823 // EG11210	[rdcAB 4,327,135 &rarr; 4,330,238]	3104	+
TU0-14133	G7823 // EG11210	[rdcAB 4,327,135 &rarr; 4,330,238]	3104	+
TU0-14491	G7530 // G7531	[rdgB-yggW 3,096,681 &rarr; 3,098,403]	1723	+
TU0-8495	EG12158	[rdgC 409,108 &larr; 410,019]	912	-
TU0-8496	G0-9603	[rdlA 1,269,323 &rarr; 1,269,389]	67	+
TU0-8497	G0-9606	[rdlB 1,269,858 &rarr; 1,269,923]	66	+
TU0-8498	G0-9608	[rdlC 1,270,393 &rarr; 1,270,460]	68	+
TU0-13973	G0-9042	[rdlD 3,700,136 &rarr; 3,700,199]	64	+
TU00062	EG10823	[recA 2,822,708 &larr; 2,823,769]	1062	-
TU0-4525	EG10823 // EG12080	[recAX 2,822,139 &larr; 2,823,769]	1631	-
TU-8388	EG10825	[recC 2,959,060 &larr; 2,962,428]	3369	-
TU0-13226	EG11901 // G6677 // EG11900 // G6676 // EG11899 // EG10827	[TU0-13226 1,412,000 &larr; 1,417,386]	5387	-
TU0-3301	EG10828	[recF 3,880,148 &larr; 3,881,221]	1074	-
TU0-3302	EG10828	[recF 3,880,148 &larr; 3,881,221]	1074	-
TU0-42470	EG10829	[recG 3,825,210 &rarr; 3,827,291]	2082	+
TU0-2	EG10831	[recN 2,751,795 &rarr; 2,753,456]	1662	+
TU0-14047	EG10833	[recQ 4,005,864 &rarr; 4,007,693]	1830	+
TU0-42589	EG10835	[relA 2,911,417 &larr; 2,913,651]	2235	-
TU0-42590	EG10835	[relA 2,911,417 &larr; 2,913,651]	2235	-
TU521	EG10835 // EG11249 // EG10571	[relA-mazEF 2,910,756 &larr; 2,913,651]	2896	-
TU0-14269	EG10835 // EG11249 // EG10571	[relA-mazEF 2,910,756 &larr; 2,913,651]	2896	-
TU0-13325	EG10836 // EG11131	[TU0-13325 1,645,346 &larr; 1,645,872]	527	-
TU0-14381	EG10836 // EG11131 // EG11130	[relBE-hokD 1,645,119 &larr; 1,645,872]	754	-
TU0-13323	EG11129	[TU0-13323 1,644,651 &larr; 1,644,902]	252	-
TU0-6511	EG10837	[rep 3,960,677 &rarr; 3,962,698]	2022	+
TU0-4182	EG11424 // EG12210 // EG10838 // EG11189	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
TU0-4183	EG11424 // EG12210 // EG10838 // EG11189	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
TU00329	EG11424 // EG12210 // EG10838 // EG11189	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
TU0-4181	EG11424 // EG12210 // EG10838 // EG11189	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
TU0-8499	EG10839	[rfaH 4,024,333 &larr; 4,024,821]	489	-
TU0-7162	EG11352 // EG11351 // EG11353 // EG11339 // EG11350 // EG11425 // EG11341 // EG11423 // EG11340 // EG11426	[rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,098]	9860	-
TU0-14744	EG11425 // EG11426	[rfaYZ 3,799,345 &larr; 3,800,965]	1621	-
TU0-14525	EG11423 // EG11426	[rfaZ-waaU 3,798,239 &larr; 3,800,196]	1958	-
TU0-14523	EG11978 // EG11980 // EG11979	[rfbACX 2,108,337 &larr; 2,111,019]	2683	-
TU00331	EG12412 // EG11978 // EG12411 // EG11980 // EG11979	[rfbBDACX 2,108,337 &larr; 2,113,061]	4725	-
TU0-14039	EG11486 // EG11455 // EG11453 // EG11454 // EG11295 // EG11457 // EG11452 // EG11456 // EG10840 // EG11451 // EG11458 // G7800	[rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM 3,967,916 &rarr; 3,980,696]	12781	+
TU00219	EG11867 // EG11866 // EG11868	[rhaBAD 4,093,448 &larr; 4,097,448]	4001	-
TU0-14787	EG11866	[rhaD 4,093,448 &larr; 4,094,272]	825	-
TU0-14296	EG11865	[rhaM 4,093,124 &larr; 4,093,438]	315	-
TU00063	EG10843 // EG10842	[rhaSR 4,097,736 &rarr; 4,099,494]	1759	+
TU00208	EG11313	[rhaT 4,099,491 &larr; 4,100,525]	1035	-
TU0-14037	EG10844	[TU0-14037 3,964,365 &larr; 3,965,630]	1266	-
TU0-8500	EG11235	[rhlE 830,872 &rarr; 832,236]	1365	+
TU0-42518	EG12428	[rhoL 3,966,231 &rarr; 3,966,332]	102	+
TU0-6941	EG12428 // EG10845	[rhoL-rho 3,966,231 &rarr; 3,967,676]	1446	+
TU0-13989	EG10846 // EG11187	[TU0-13989 3,762,183 &rarr; 3,767,179]	4997	+
TU0-13948	EG10847	[TU0-13948 3,619,192 &rarr; 3,623,427]	4236	+
TU0-13026	EG10848 // EG11522	[TU0-13026 729,583 &rarr; 734,102]	4520	+
TU0-12960	G6271 // EG11769 // EG11770 // EG10849	[TU0-12960 523,261 &rarr; 529,130]	5870	+
TU0-13276	EG10010 // EG11760	[TU0-13276 1,527,890 &rarr; 1,530,404]	2515	+
TU0-13058	EG12134	[TU0-13058 849,210 &larr; 850,097]	888	-
TU0-8501	EG11469	[rhtB 4,008,439 &larr; 4,009,059]	621	-
TU0-14048	EG11468	[TU0-14048 4,007,757 &rarr; 4,008,377]	621	+
TU0-1741	EG11331	[ribA 1,338,570 &larr; 1,339,160]	591	-
TU0-1742	EG11331	[ribA 1,338,570 &larr; 1,339,160]	591	-
TU0-8504	EG11406	[ribC 1,742,601 &larr; 1,743,242]	642	-
TU0-14466	EG10666 // G6234 // EG11322 // EG10704	[ribE-nusB-thiL-pgpA 434,647 &rarr; 437,107]	2461	+
TU00291	EG10492 // EG11080 // EG10548 // EG11081 // EG11079	[ribF-ileS-lspA-fkpB-ispH 21,407 &rarr; 27,227]	5821	+
TU0-14169	G7877	[ridA 4,470,527 &larr; 4,470,913]	387	-
TU0-13014	G6358	[TU0-13014 683,477 &larr; 684,412]	936	-
TU862	EG12030	[rihB 2,254,245 &larr; 2,255,186]	942	-
TU0-12797	EG11082	[TU0-12797 27,293 &rarr; 28,207]	915	+
TU0-8281	EG10851	[rimJ 1,125,562 &rarr; 1,126,146]	585	+
TU0-2121	EG10852 // G6447	[rimK-ybjN 891,967 &rarr; 893,433]	1467	+
TU0-6423	EG10853	[rimL 1,498,938 &rarr; 1,499,477]	540	+
TU0-8632	G6435	[rimO 876,710 &larr; 878,035]	1326	-
TU00311	EG10665 // EG10505 // EG11179	[rimP-nusA-infB 3,313,342 &larr; 3,318,006]	4665	-
TU0-7161	G0-16662 // EG11352 // EG11351 // EG11353 // EG11339 // EG11350 // EG11425 // EG11341 // EG11423 // EG11340 // EG11426	[rirA-rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,238]	10000	-
TU0-13265	G6746	[TU0-13265 1,506,781 &rarr; 1,508,742]	1962	+
TU0-13421	EG12207	[TU0-13421 1,906,251 &larr; 1,907,060]	810	-
TU0-13735	EG11247	[rlmD 2,913,699 &larr; 2,915,000]	1302	-
TU00277	EG11507 // EG11506	[rlmE-ftsH 3,325,001 &larr; 3,327,664]	2664	-
TU00414	EG11507 // EG11506	[rlmE-ftsH 3,325,001 &larr; 3,327,664]	2664	-
TU0-13855	G7603	[TU0-13855 3,234,739 &larr; 3,235,875]	1137	-
TU0-13103	G6501	[TU0-13103 1,028,779 &larr; 1,029,969]	1191	-
TU0-13958	EG12234	[rlmJ 3,645,385 &rarr; 3,646,227]	843	+
TU0-2001	G6488 // G6489	[rlmL-uup 1,007,844 &rarr; 1,011,871]	4028	+
TU0-14306	EG11794	[rlmM 2,940,143 &larr; 2,941,243]	1101	-
TU0-13650	EG12401	[TU0-13650 2,643,129 &larr; 2,644,283]	1155	-
TU0-13195	EG12433	[TU0-13195 1,326,852 &rarr; 1,327,727]	876	+
TU0-13134	EG11118	[TU0-13134 1,144,940 &rarr; 1,145,899]	960	+
TU0-13675	EG12097 // EG12098	[TU0-13675 2,734,303 &larr; 2,736,011]	1709	-
TU0-13145	G6581 // G6580	[TU0-13145 1,193,827 &larr; 1,194,951]	1125	-
TU0-8505	EG11921	[rluF 4,230,354 &rarr; 4,231,226]	873	+
TU0-13097	EG50004	[TU0-13097 1,015,715 &rarr; 1,015,882]	168	+
TU0-42483	EG50004	[rmf 1,015,715 &rarr; 1,015,882]	168	+
TU0-14051	EG11472	[TU0-14051 4,017,333 &rarr; 4,018,760]	1428	+
TU0-12997	EG10856	[rna 644,197 &larr; 645,003]	807	-
TU582	EG11620	[rnb 1,346,978 &larr; 1,348,912]	1935	-
TU583	EG11620	[rnb 1,346,978 &larr; 1,348,912]	1935	-
TU00332	EG10857 // EG10270	[rnc-era 2,702,481 &larr; 2,704,063]	1583	-
TU483	EG10832 // EG10857 // EG10270 // EG10693 // EG10247	[rnc-era-recO-pdxJ-acpS 2,700,618 &larr; 2,704,063]	3446	-
TU0-14354	EG10858	[rnd 1,886,864 &larr; 1,887,991]	1128	-
TU0-14622	EG10859	[rne 1,141,182 &larr; 1,144,367]	3186	-
TU-8407	EG10859	[rne 1,141,182 &larr; 1,144,367]	3186	-
TU0-14273	EG10859	[rne 1,141,182 &larr; 1,144,367]	3186	-
TU0-14272	EG10859	[rne 1,141,182 &larr; 1,144,367]	3186	-
TU0-6685	EG10860	[rnhA 235,535 &larr; 236,002]	468	-
TU0-12996	G6337	[TU0-12996 643,557 &larr; 643,967]	411	-
TU0-14484	G7365	[rnlA 2,765,918 &rarr; 2,766,991]	1074	+
TU0-14327	G7366 // G7365	[rnlAB 2,765,918 &rarr; 2,767,355]	1438	+
TU-8431	G7366	[rnlB 2,766,984 &rarr; 2,767,355]	372	+
TU0-14812	G7366	[rnlB 2,766,984 &rarr; 2,767,355]	372	+
TU543	EG30069	[rnpB 3,270,216 &larr; 3,270,592]	377	-
TU00333	EG11548 // EG11547	[rnt-lhr 1,728,347 &rarr; 1,733,703]	5357	+
TU0-7804	EG11366	[rob 4,634,441 &larr; 4,635,310]	870	-
TU0-13144	EG11430	[TU0-13144 1,187,119 &larr; 1,188,240]	1122	-
TU877	EG11871 // EG11030 // M004	[rpe-gph-trpS 3,512,634 &larr; 3,515,059]	2426	-
TU0-14696	EG10863	[rph 3,815,863 &larr; 3,816,549]	687	-
TU00334	EG10863 // EG10808	[rph-pyrE 3,815,127 &larr; 3,816,549]	1423	-
TU0-7341	EG11443	[rpiA 3,058,666 &larr; 3,059,325]	660	-
TU0-4483	EG11827	[rpiB 4,313,350 &rarr; 4,313,799]	450	+
TU00335	EG10894 // EG10895 // EG10871 // EG10873	[rplJL-rpoBC 4,179,996 &rarr; 4,189,573]	9578	+
TU0-6512	EG10894 // EG10895 // EG10864 // EG10872 // EG10871 // EG10873	[rplKAJL-rpoBC 4,178,447 &rarr; 4,189,573]	11127	+
TU0-8464	EG10873	[rplL 4,180,560 &rarr; 4,180,925]	366	+
TU00336	EG10874 // EG10908	[rplM-rpsI 3,377,815 &larr; 3,378,651]	837	-
TU00337	EG10907 // EG10888 // EG10875 // EG10904 // EG10868 // EG10884 // EG10913 // EG10876 // EG11232 // EG10879 // EG10869 // EG10766	[rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ 3,442,618 &larr; 3,448,149]	5532	-
TU0-6657	EG10881	[rplT 1,799,393 &larr; 1,799,749]	357	-
TU0-8855	EG10881 // EG11272	[rplT-pheM 1,799,226 &larr; 1,799,749]	524	-
TU00338	EG50002 // EG50001	[rplU-rpmA 3,332,862 &larr; 3,333,451]	590	-
TU0-42628	EG50002 // EG50001 // EG11499 // G7656	[rplU-rpmA-yhbE-obgE 3,330,582 &larr; 3,333,451]	2870	-
TU0-13557	EG10885	[TU0-13557 2,282,517 &rarr; 2,282,801]	285	+
TU00339	EG10891 // EG10886	[rpmBG 3,811,250 &larr; 3,811,674]	425	-
TU0-5543	EG10329 // EG10891 // EG10886	[rpmBG-mutM 3,810,343 &larr; 3,811,674]	1332	-
TU0-8506	EG10889	[rpmE 4,127,013 &rarr; 4,127,225]	213	+
TU0-1	EG10890 // EG11317 // EG10277 // EG11318 // EG11437	[rpmF-plsX-fabHDG 1,147,367 &rarr; 1,151,404]	4038	+
TU00340	EG10892 // EG10862	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]	517	+
TU682	EG10892 // EG10862	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]	517	+
TU743	EG10892 // EG10862	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]	517	+
TU0-14255	EG10881 // EG11231	[rpmI-rplT 1,799,393 &larr; 1,799,999]	607	-
TU0-13933	EG11750	[TU0-13933 3,543,167 &rarr; 3,544,045]	879	+
TU0-13590	G7197	[TU0-13590 2,422,649 &larr; 2,423,539]	891	-
TU0-14204	G7934	[TU0-14204 4,568,998 &rarr; 4,569,918]	921	+
TU0-13564	G0-10561 // EG12323	[TU0-13564 2,356,904 &rarr; 2,358,001]	1098	+
TU0-7002	EG10894 // EG10895	[rpoBC 4,181,245 &rarr; 4,189,573]	8329	+
TU00436	EG10896	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
TU0-14460	EG10896	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
TU00437	EG10896	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
TU00438	EG10896	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
TU0-42640	G0-16690 // G7347 // EG12341 // EG11897 // G7348	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
TU0-42642	G7347 // EG12341 // EG11897 // G7348	[rpoE-rseABC 2,707,322 &larr; 2,710,012]	2691	-
TU00342	G7347 // EG12341 // EG11897 // G7348	[rpoE-rseABC 2,707,322 &larr; 2,710,012]	2691	-
TU0-42636	G0-16690 // G7347 // EG12341 // EG11897 // G7348	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
TU281	G0-16690 // G7347 // EG12341 // EG11897 // G7348	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
TU0-42638	G0-16690 // G7347 // EG12341 // EG11897 // G7348	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
TU00426	EG10897	[rpoH 3,599,929 &larr; 3,600,783]	855	-
TU00084	EG10897	[rpoH 3,599,929 &larr; 3,600,783]	855	-
TU00427	EG10897	[rpoH 3,599,929 &larr; 3,600,783]	855	-
TU221	EG10897	[rpoH 3,599,929 &larr; 3,600,783]	855	-
TU00083	EG10897	[rpoH 3,599,929 &larr; 3,600,783]	855	-
TU00487	EG10898 // EG12146 // EG11681 // EG12147 // EG11682	[rpoN-hpf-ptsN-yhbJ-npr 3,344,717 &rarr; 3,348,238]	3522	+
TU0-14651	EG10510	[rpoS 2,866,559 &larr; 2,867,551]	993	-
TU0-14652	EG10510	[rpoS 2,866,559 &larr; 2,867,551]	993	-
TU0-14649	EG10510	[rpoS 2,866,559 &larr; 2,867,551]	993	-
TU00442	EG10510	[rpoS 2,866,559 &larr; 2,867,551]	993	-
TU0-14650	EG10510	[rpoS 2,866,559 &larr; 2,867,551]	993	-
TU00344	EG10829 // EG10899 // EG10967 // EG10966	[rpoZ-spoT-trmH-recG 3,822,106 &rarr; 3,827,291]	5186	+
TU0-13746	EG12188 // G7459	[rppH-ptsP 2,966,188 &larr; 2,968,977]	2790	-
TU0-13370	G0-8863	[rprA 1,770,372 &rarr; 1,770,476]	105	+
TU564	EG10441 // EG10900	[rpsA-ihfB 961,995 &rarr; 964,112]	2118	+
TU565	EG10441 // EG10900	[rpsA-ihfB 961,995 &rarr; 964,112]	2118	+
TU00345	G0-8895 // EG10901 // EG11033	[rpsB-tsf 189,712 &rarr; 191,708]	1997	+
TU00346	EG10764 // EG10917 // EG10870 // EG10905	[rpsF-priB-rpsR-rplI 4,425,118 &rarr; 4,426,557]	1440	+
TU0-42202	EG10908	[TU0-42202 3,377,815 &larr; 3,378,207]	393	-
TU00347	EG10909 // EG10867 // EG10865 // EG10887 // EG10877 // EG10916 // EG10883 // EG10902 // EG10918 // EG10866 // EG10882	[rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ 3,448,314 &larr; 3,453,270]	4957	-
TU00348	EG10911 // EG10360 // EG10906 // EG11036	[rpsLG-fusA-tufA 3,470,145 &larr; 3,474,552]	4408	-
TU00349	EG10893 // EG10878 // EG10910 // EG10903 // EG10912	[rpsMKD-rpoA-rplQ 3,439,616 &larr; 3,442,471]	2856	-
TU0-14658	EG10893 // EG10878 // EG10910 // EG10903 // EG10912	[rpsMKD-rpoA-rplQ 3,439,616 &larr; 3,442,471]	2856	-
TU0-8474	EG10914	[rpsO 3,311,415 &larr; 3,311,684]	270	-
TU0-6660	EG10914 // EG10743	[rpsO-pnp 3,309,033 &larr; 3,311,684]	2652	-
TU00351	EG11023 // EG10880 // EG10915 // EG11153	[rpsP-rimM-trmD-rplS 2,744,183 &larr; 2,746,185]	2003	-
TU0-7842	EG10919	[rpsT 20,815 &larr; 21,078]	264	-
TU0-7844	EG10919	[rpsT 20,815 &larr; 21,078]	264	-
TU00472	EG10920	[rpsU 3,210,781 &rarr; 3,210,996]	216	+
TU00434	EG10239 // EG10896 // EG10920	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]	4108	+
TU00435	EG10239 // EG10896 // EG10920	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]	4108	+
TU00352	EG10239 // EG10896 // EG10920	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]	4108	+
TU0-14264	EG11879	[rraA 4,118,845 &larr; 4,119,330]	486	-
TU0-14772	G7885	[rraB 4,478,473 &rarr; 4,478,889]	417	+
TU0-14510	EG30075	[rrfG 2,726,069 &larr; 2,726,188]	120	-
TU0-14533	EG30077 // EG30070	[rrlA-rrfA 4,037,519 &rarr; 4,040,636]	3118	+
TU0-14528	EG30078 // EG30071	[rrlB-rrfB 4,168,641 &rarr; 4,171,756]	3116	+
TU0-14530	EG30081 // EG30074	[rrlE-rrfE 4,210,043 &rarr; 4,213,159]	3117	+
TU0-14524	EG30083 // EG30076	[rrlH-rrfH 225,759 &rarr; 228,875]	3117	+
TU0-1181	EG30043 // EG30008 // EG30084 // EG30077 // EG30070	[rrsA-ileT-alaT-rrlA-rrfA 4,035,531 &rarr; 4,040,636]	5106	+
TU0-14486	EG30043 // EG30008 // EG30084 // EG30077 // EG30070	[rrsA-ileT-alaT-rrlA-rrfA 4,035,531 &rarr; 4,040,636]	5106	+
TU0-3364	EG30032 // EG30078 // EG30071 // EG30085	[rrsB-gltT-rrlB-rrfB 4,166,659 &rarr; 4,171,756]	5098	+
TU0-1182	EG30032 // EG30078 // EG30071 // EG30085	[rrsB-gltT-rrlB-rrfB 4,166,659 &rarr; 4,171,756]	5098	+
TU0-1183	EG30033 // EG30086 // EG30079 // EG30072	[rrsC-gltU-rrlC-rrfC 3,941,808 &rarr; 3,946,819]	5012	+
TU0-1184	EG30033 // EG30086 // EG30079 // EG30072	[rrsC-gltU-rrlC-rrfC 3,941,808 &rarr; 3,946,819]	5012	+
TU0-1191	EG30009 // EG30044 // EG30103 // EG30091 // EG30087 // EG30080 // EG30073	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,423 &larr; 3,428,762]	5340	-
TU0-1192	EG30009 // EG30044 // EG30103 // EG30091 // EG30087 // EG30080 // EG30073	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,423 &larr; 3,428,762]	5340	-
TU0-14487	EG30034 // EG30081 // EG30074 // EG30088	[rrsE-gltV-rrlE-rrfE 4,208,147 &rarr; 4,213,159]	5013	+
TU0-1186	EG30034 // EG30081 // EG30074 // EG30088	[rrsE-gltV-rrlE-rrfE 4,208,147 &rarr; 4,213,159]	5013	+
TU0-1187	EG30035 // EG30075 // EG30089 // EG30082	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,157]	5089	-
TU0-1188	EG30035 // EG30075 // EG30089 // EG30082	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,157]	5089	-
TU0-1190	EG30045 // EG30010 // EG30090 // EG30083 // EG30076	[rrsH-ileV-alaV-rrlH-rrfH 223,771 &rarr; 228,875]	5105	+
TU0-1189	EG30045 // EG30010 // EG30090 // EG30083 // EG30076	[rrsH-ileV-alaV-rrlH-rrfH 223,771 &rarr; 228,875]	5105	+
TU784	EG11738	[rsd 4,196,332 &larr; 4,196,808]	477	-
TU787	EG11738	[rsd 4,196,332 &larr; 4,196,808]	477	-
TU00526	G7347 // EG12341 // G7348	[rseABC 2,707,322 &larr; 2,709,404]	2083	-
TU0-4222	EG12436	[rseP 196,546 &rarr; 197,898]	1353	+
TU0-14332	G0-10574	[rseX 2,033,649 &rarr; 2,033,739]	91	+
