Protein ID	half_life (units.min)	notes	assignment
sp|P08622|DNAJ_ECOLI	588.40572972	consistent	C-lim12_1
sp|P08839|PT1_ECOLI	653.7291984	consistent	C-lim12_1
sp|P08956|T1RK_ECOLI	447.97305192	consistent	C-lim12_1
sp|P08957|T1MK_ECOLI	617.9662812	consistent	C-lim12_1
sp|P08997|MASY_ECOLI	264.32728092	consistent	C-lim12_1
sp|P09053|AVTA_ECOLI	442.27160268	consistent	C-lim12_1
sp|P09127|HEMX_ECOLI	744.8126178	consistent	C-lim12_1
sp|P09151|LEU1_ECOLI	276.9243318	consistent	C-lim12_1
sp|P09158|SPEE_ECOLI	580.93682358	consistent	C-lim12_1
sp|P09323|PTW3C_ECOLI	777.8133449999999	consistent	C-lim12_1
sp|P09373|PFLB_ECOLI	263.52008562000003	consistent	C-lim12_1
sp|P09394|GLPQ_ECOLI	692.2263282	consistent	C-lim12_1
sp|P09424|MTLD_ECOLI	701.1480942000001	consistent	C-lim12_1
sp|P09551|ARGT_ECOLI	699.641652	consistent	C-lim12_1
sp|P09832|GLTD_ECOLI	481.71494682	consistent	C-lim12_1
sp|P0A6A0|UBIB_ECOLI	796.0388292	consistent	C-lim12_1
sp|P0A6A6|LEUC_ECOLI	246.70056594	consistent	C-lim12_1
sp|P0A6B4|ALR1_ECOLI	743.6181516	consistent	C-lim12_1
sp|P0A6B7|ISCS_ECOLI	244.4002959	consistent	C-lim12_1
sp|P0A6C1|END4_ECOLI	264.2291121	consistent	C-lim12_1
sp|P0A6C5|ARGA_ECOLI	323.23374432	consistent	C-lim12_1
sp|P0A6D0|ARGR_ECOLI	716.2378554	consistent	C-lim12_1
sp|P0A6D3|AROA_ECOLI	705.1608444000001	consistent	C-lim12_1
sp|P0A6E4|ASSY_ECOLI	624.1281654000001	consistent	C-lim12_1
sp|P0A6E9|BIOD2_ECOLI	309.28499028	consistent	C-lim12_1
sp|P0A6F3|GLPK_ECOLI	641.7606582	consistent	C-lim12_1
sp|P0A6F9|CH10_ECOLI	690.3362922	consistent	C-lim12_1
sp|P0A6G3|PNCC_ECOLI	739.9933044	consistent	C-lim12_1
sp|P0A6G7|CLPP_ECOLI	677.3576502	consistent	C-lim12_1
sp|P0A6H1|CLPX_ECOLI	149.98355334	consistent	C-lim12_1
sp|P0A6H5|HSLU_ECOLI	637.5912858	consistent	C-lim12_1
sp|P0A6H8|CLSA_ECOLI	842.6099178000001	consistent	C-lim12_1
sp|P0A6I0|KCY_ECOLI	599.91542184	consistent	C-lim12_1
sp|P0A6I3|COAA_ECOLI	536.68671624	consistent	C-lim12_1
sp|P0A6I9|COAE_ECOLI	604.396023	consistent	C-lim12_1
sp|P0A6J5|DADA_ECOLI	185.76652032	consistent	C-lim12_1
sp|P0A6J8|DDLA_ECOLI	656.3728518	consistent	C-lim12_1
sp|P0A6K6|DEOB_ECOLI	553.12866678	consistent	C-lim12_1
sp|P0A6L4|NANA_ECOLI	409.93416516	consistent	C-lim12_1
sp|P0A6L7|UXAB_ECOLI	542.4683844	consistent	C-lim12_1
sp|P0A6M4|DTD_ECOLI	637.2751152000001	consistent	C-lim12_1
sp|P0A6M8|EFG_ECOLI	697.7783022	consistent	C-lim12_1
sp|P0A6N4|EFP_ECOLI	521.71402218	consistent	C-lim12_1
sp|P0A6N8|EFPL_ECOLI	708.0362874	consistent	C-lim12_1
sp|P0A6Q3|FABA_ECOLI	756.604455	consistent	C-lim12_1
sp|P0A6Q6|FABZ_ECOLI	680.1521022	consistent	C-lim12_1
sp|P0A6R0|FABH_ECOLI	626.5827852	consistent	C-lim12_1
sp|P0A6S0|FLGH_ECOLI	498.68346564	consistent	C-lim12_1
sp|P0A6T1|G6PI_ECOLI	712.9458258	consistent	C-lim12_1
sp|P0A6T5|GCH1_ECOLI	326.32595958	consistent	C-lim12_1
sp|P0A6U3|MNMG_ECOLI	243.63967098	consistent	C-lim12_1
sp|P0A6W0|GLSA2_ECOLI	793.5357564	consistent	C-lim12_1
sp|P0A6W5|GREA_ECOLI	392.03137656	consistent	C-lim12_1
sp|P0A6W9|GSH1_ECOLI	573.30864072	consistent	C-lim12_1
sp|P0A6X1|HEM1_ECOLI	194.036511	consistent	C-lim12_1
sp|P0A6Y5|HSLO_ECOLI	461.99928786	consistent	C-lim12_1
sp|P0A6Y8|DNAK_ECOLI	626.943123	consistent	C-lim12_1
sp|P0A6Z3|HTPG_ECOLI	635.2563485999999	consistent	C-lim12_1
sp|P0A707|IF3_ECOLI	659.5110012	consistent	C-lim12_1
sp|P0A715|KDSA_ECOLI	666.2608542	consistent	C-lim12_1
sp|P0A717|KPRS_ECOLI	843.9003018	consistent	C-lim12_1
sp|P0A720|KTHY_ECOLI	596.09608014	consistent	C-lim12_1
sp|P0A722|LPXA_ECOLI	656.4551112	consistent	C-lim12_1
sp|P0A725|LPXC_ECOLI	80.10416268	consistent	C-lim12_1
sp|P0A729|YCEF_ECOLI	529.78551948	consistent	C-lim12_1
sp|P0A734|MINE_ECOLI	384.5828565	consistent	C-lim12_1
sp|P0A738|MOAC_ECOLI	517.80621594	consistent	C-lim12_1
sp|P0A742|MSCL_ECOLI	823.9832682	consistent	C-lim12_1
sp|P0A746|MSRB_ECOLI	359.91911106	consistent	C-lim12_1
sp|P0A752|NADD_ECOLI	762.9456138	consistent	C-lim12_1
sp|P0A754|KEFF_ECOLI	661.9849788	consistent	C-lim12_1
sp|P0A759|NAGB_ECOLI	718.2770118	consistent	C-lim12_1
sp|P0A761|NANE_ECOLI	678.7715826	consistent	C-lim12_1
sp|P0A780|NUSB_ECOLI	651.1607088	consistent	C-lim12_1
sp|P0A784|ORN_ECOLI	861.7346982	consistent	C-lim12_1
sp|P0A786|PYRB_ECOLI	702.075417	consistent	C-lim12_1
sp|P0A794|PDXJ_ECOLI	726.8190215999999	consistent	C-lim12_1
sp|P0A796|PFKA_ECOLI	648.0320868	consistent	C-lim12_1
sp|P0A799|PGK_ECOLI	811.599234	consistent	C-lim12_1
sp|P0A7A2|GPMB_ECOLI	430.31868486	consistent	C-lim12_1
sp|P0A7A5|PIMT_ECOLI	560.2481007599999	consistent	C-lim12_1
sp|P0A7A9|IPYR_ECOLI	664.746876	consistent	C-lim12_1
sp|P0A7B5|PROB_ECOLI	549.57462684	consistent	C-lim12_1
sp|P0A7C2|LEXA_ECOLI	286.28159526	consistent	C-lim12_1
sp|P0A7D1|PTH_ECOLI	667.7221158	consistent	C-lim12_1
sp|P0A7D4|PURA_ECOLI	687.3168324000001	consistent	C-lim12_1
sp|P0A7D7|PUR7_ECOLI	676.510536	consistent	C-lim12_1
sp|P0A7E1|PYRD_ECOLI	805.5375552	consistent	C-lim12_1
sp|P0A7E5|PYRG_ECOLI	787.3823028	consistent	C-lim12_1
sp|P0A7F6|SPED_ECOLI	565.82875356	consistent	C-lim12_1
sp|P0A7F9|QUEA_ECOLI	455.02307406	consistent	C-lim12_1
sp|P0A7G2|RBFA_ECOLI	659.2290222	consistent	C-lim12_1
sp|P0A7H0|RECF_ECOLI	605.7938328	consistent	C-lim12_1
sp|P0A7I7|RIBA_ECOLI	558.7200861	consistent	C-lim12_1
sp|P0A7J0|RIBB_ECOLI	86.54861376000001	consistent	C-lim12_1
sp|P0A7J3|RL10_ECOLI	776.3227085999999	consistent	C-lim12_1
sp|P0A7K2|RL7_ECOLI	777.1648548000001	consistent	C-lim12_1
sp|P0A7L0|RL1_ECOLI	642.1076628000001	consistent	C-lim12_1
sp|P0A7M2|RL28_ECOLI	522.79965522	consistent	C-lim12_1
sp|P0A7R1|RL9_ECOLI	554.68267524	consistent	C-lim12_1
sp|P0A7R5|RS10_ECOLI	656.9491866	consistent	C-lim12_1
sp|P0A7S9|RS13_ECOLI	541.3464048599999	consistent	C-lim12_1
sp|P0A7T7|RS18_ECOLI	586.60168854	consistent	C-lim12_1
sp|P0A7V3|RS3_ECOLI	756.8068614	consistent	C-lim12_1
sp|P0A7W1|RS5_ECOLI	727.4017788	consistent	C-lim12_1
sp|P0A7W7|RS8_ECOLI	665.0301635999999	consistent	C-lim12_1
sp|P0A7X3|RS9_ECOLI	779.9957784	consistent	C-lim12_1
sp|P0A7X6|RIMM_ECOLI	510.16538334	consistent	C-lim12_1
