transcription_units,monomers_to_remove
"['G7503', 'G7502', 'G7501']","['G7503', 'G7502', 'G7501']"
"['G7542', 'EG10787', 'EG20080']","['G7542', 'EG10787', 'EG20080']"
"['G7542', 'EG10787', 'EG20080', 'G7543', 'G0-8601', 'G7544', 'G7545']","['G7542', 'EG10787', 'EG20080', 'G7543', 'G0-8601', 'G7544', 'G7545']"
"['EG10380', 'EG10377']","['EG10380', 'EG10377']"
"['EG10380', 'EG10377', 'EG10379']","['EG10380', 'EG10377', 'EG10379']"
"['EG10380', 'EG10377', 'EG10379', 'EG10381', 'EG10378']","['EG10380', 'EG10377', 'EG10379', 'EG10381', 'EG10378']"
"['EG10382', 'EG11198']","['EG10382', 'EG11198']"
"['EG10384', 'EG11285']","['EG10384', 'EG11285']"
"['EG10385', 'EG10387']","['EG10385', 'EG10387']"
"['EG10385', 'EG10387', 'EG10383']","['EG10385', 'EG10387', 'EG10383']"
"['EG10389', 'EG10388', 'EG10386']","['EG10389', 'EG10388', 'EG10386']"
"['EG30031', 'EG30029', 'EG30031', 'EG30059', 'EG30030']","['EG30031', 'EG30029', 'EG30031', 'EG30059', 'EG30030']"
"['EG30031', 'EG30029', 'EG30031', 'EG30059', 'EG30030', 'EG30028', 'EG30030', 'EG30052', 'EG30058', 'EG30059']","['EG30031', 'EG30029', 'EG30031', 'EG30059', 'EG30030', 'EG30028', 'EG30030', 'EG30052', 'EG30058', 'EG30059']"
"['G6891', 'G6890', 'G6889']","['G6891', 'G6890', 'G6889']"
"['G6475', 'G6474']","['G6475', 'G6474']"
"['EG10391', 'EG10392', 'EG10393']","['EG10391', 'EG10392', 'EG10393']"
"['EG10399', 'EG10401']","['EG10399', 'EG10401']"
"['EG10400', 'EG10397']","['EG10400', 'EG10397']"
"['EG10400', 'EG10397', 'EG10395']","['EG10400', 'EG10397', 'EG10395']"
"['EG11517', 'EG10398', 'EG10396']","['EG11517', 'EG10398', 'EG10396']"
"['G6810', 'G6809']","['G6810', 'G6809']"
"['EG10403', 'EG10404', 'EG11514']","['EG10403', 'EG10404', 'EG11514']"
"['EG12663', 'EG12662', 'EG12661', 'G0-9383', 'G6359']","['EG12663', 'EG12662', 'EG12661', 'G0-9383', 'G6359']"
"['EG11362', 'EG10230']","['EG11362', 'EG10230']"
"['EG11362', 'EG10230']","['EG11362', 'EG10230']"
"['EG11710', 'EG11709', 'EG11708']","['EG11710', 'EG11709', 'EG11708']"
"['G6283', 'G6282']","['G6283', 'G6282']"
"['G6283', 'G6282', 'G6281', 'G6280', 'G6278', 'G6277', 'EG11583']","['G6283', 'G6282', 'G6281', 'G6280', 'G6278', 'G6277', 'EG11583']"
"['EG10409', 'EG10410', 'EG10409']","['EG10409', 'EG10410', 'EG10409']"
