set#,sigma,alpha,kh,lambdaA,lambdaT,kt,n
395,2.275,2.0,2.125,2.005,0.01,2.5500000000000003,1.5
396,2.275,2.0,2.125,3.0025,0.01,0.1,0.7999999999999999
397,2.275,2.0,2.125,3.0025,0.01,1.3250000000000002,1.15
398,2.275,2.0,2.125,3.0025,0.01,1.3250000000000002,1.5
399,2.275,2.0,2.125,3.0025,0.01,2.5500000000000003,1.5
400,2.275,2.0,2.125,4.0,0.01,0.1,0.7999999999999999
401,2.275,2.0,2.125,4.0,0.01,1.3250000000000002,1.15
402,2.275,2.0,2.125,4.0,0.01,1.3250000000000002,1.5
403,2.275,2.0,2.125,4.0,0.01,2.5500000000000003,1.5
404,2.275,2.0,3.0625,0.01,0.01,0.1,1.15
405,2.275,2.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
406,2.275,2.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
407,2.275,2.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
408,2.275,2.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
409,2.275,2.0,3.0625,2.005,0.01,0.1,0.7999999999999999
410,2.275,2.0,3.0625,2.005,0.01,1.3250000000000002,1.15
411,2.275,2.0,3.0625,2.005,0.01,1.3250000000000002,1.5
412,2.275,2.0,3.0625,2.005,0.01,2.5500000000000003,1.5
413,2.275,2.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
414,2.275,2.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
415,2.275,2.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
416,2.275,2.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
417,2.275,2.0,3.0625,4.0,0.01,0.1,0.7999999999999999
418,2.275,2.0,3.0625,4.0,0.01,1.3250000000000002,1.15
419,2.275,2.0,3.0625,4.0,0.01,1.3250000000000002,1.5
420,2.275,2.0,3.0625,4.0,0.01,2.5500000000000003,1.5
421,2.275,2.0,4.0,0.01,0.01,0.1,1.15
422,2.275,2.0,4.0,1.0075,0.01,0.1,0.7999999999999999
423,2.275,2.0,4.0,1.0075,0.01,1.3250000000000002,1.15
424,2.275,2.0,4.0,1.0075,0.01,1.3250000000000002,1.5
425,2.275,2.0,4.0,1.0075,0.01,2.5500000000000003,1.5
426,2.275,2.0,4.0,2.005,0.01,0.1,0.7999999999999999
427,2.275,2.0,4.0,2.005,0.01,1.3250000000000002,1.15
428,2.275,2.0,4.0,2.005,0.01,1.3250000000000002,1.5
429,2.275,2.0,4.0,2.005,0.01,2.5500000000000003,1.5
430,2.275,2.0,4.0,3.0025,0.01,0.1,0.7999999999999999
431,2.275,2.0,4.0,3.0025,0.01,1.3250000000000002,1.15
432,2.275,2.0,4.0,3.0025,0.01,1.3250000000000002,1.5
433,2.275,2.0,4.0,3.0025,0.01,2.5500000000000003,1.5
434,2.275,2.0,4.0,4.0,0.01,0.1,0.7999999999999999
435,2.275,2.0,4.0,4.0,0.01,1.3250000000000002,1.15
436,2.275,2.0,4.0,4.0,0.01,1.3250000000000002,1.5
437,2.275,2.0,4.0,4.0,0.01,2.5500000000000003,1.5
438,2.275,3.0,0.25,0.01,0.01,0.1,1.5
439,2.275,3.0,0.25,1.0075,0.01,0.1,0.7999999999999999
440,2.275,3.0,0.25,1.0075,0.01,1.3250000000000002,1.5
441,2.275,3.0,0.25,2.005,0.01,0.1,0.7999999999999999
442,2.275,3.0,0.25,2.005,0.01,1.3250000000000002,1.15
443,2.275,3.0,0.25,2.005,0.01,1.3250000000000002,1.5
444,2.275,3.0,0.25,3.0025,0.01,0.1,0.7999999999999999
445,2.275,3.0,0.25,3.0025,0.01,1.3250000000000002,1.15
446,2.275,3.0,0.25,3.0025,0.01,1.3250000000000002,1.5
447,2.275,3.0,0.25,4.0,0.01,0.1,0.7999999999999999
448,2.275,3.0,0.25,4.0,0.01,1.3250000000000002,1.15
449,2.275,3.0,0.25,4.0,0.01,1.3250000000000002,1.5
450,2.275,3.0,0.25,4.0,0.01,2.5500000000000003,1.5
451,2.275,3.0,1.1875,0.01,0.01,0.1,1.15
452,2.275,3.0,1.1875,0.01,0.01,0.1,1.5
453,2.275,3.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
454,2.275,3.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
455,2.275,3.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
456,2.275,3.0,1.1875,2.005,0.01,0.1,0.7999999999999999
457,2.275,3.0,1.1875,2.005,0.01,1.3250000000000002,1.15
458,2.275,3.0,1.1875,2.005,0.01,1.3250000000000002,1.5
459,2.275,3.0,1.1875,2.005,0.01,2.5500000000000003,1.5
460,2.275,3.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
461,2.275,3.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
462,2.275,3.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
463,2.275,3.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
464,2.275,3.0,1.1875,4.0,0.01,0.1,0.7999999999999999
465,2.275,3.0,1.1875,4.0,0.01,1.3250000000000002,1.15
466,2.275,3.0,1.1875,4.0,0.01,1.3250000000000002,1.5
467,2.275,3.0,1.1875,4.0,0.01,2.5500000000000003,1.5
468,2.275,3.0,2.125,0.01,0.01,0.1,1.15
469,2.275,3.0,2.125,0.01,0.01,0.1,1.5
470,2.275,3.0,2.125,1.0075,0.01,0.1,0.7999999999999999
471,2.275,3.0,2.125,1.0075,0.01,1.3250000000000002,1.15
472,2.275,3.0,2.125,1.0075,0.01,1.3250000000000002,1.5
473,2.275,3.0,2.125,2.005,0.01,0.1,0.7999999999999999
474,2.275,3.0,2.125,2.005,0.01,1.3250000000000002,1.15
475,2.275,3.0,2.125,2.005,0.01,1.3250000000000002,1.5
476,2.275,3.0,2.125,2.005,0.01,2.5500000000000003,1.5
477,2.275,3.0,2.125,3.0025,0.01,0.1,0.7999999999999999
478,2.275,3.0,2.125,3.0025,0.01,1.3250000000000002,1.15
479,2.275,3.0,2.125,3.0025,0.01,1.3250000000000002,1.5
480,2.275,3.0,2.125,3.0025,0.01,2.5500000000000003,1.5
481,2.275,3.0,2.125,4.0,0.01,0.1,0.7999999999999999
482,2.275,3.0,2.125,4.0,0.01,1.3250000000000002,1.15
483,2.275,3.0,2.125,4.0,0.01,1.3250000000000002,1.5
484,2.275,3.0,2.125,4.0,0.01,2.5500000000000003,1.5
485,2.275,3.0,3.0625,0.01,0.01,0.1,1.15
486,2.275,3.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
487,2.275,3.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
488,2.275,3.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
489,2.275,3.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
490,2.275,3.0,3.0625,2.005,0.01,0.1,0.7999999999999999
491,2.275,3.0,3.0625,2.005,0.01,1.3250000000000002,1.15
492,2.275,3.0,3.0625,2.005,0.01,1.3250000000000002,1.5
493,2.275,3.0,3.0625,2.005,0.01,2.5500000000000003,1.5
494,2.275,3.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
495,2.275,3.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
496,2.275,3.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
497,2.275,3.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
498,2.275,3.0,3.0625,4.0,0.01,0.1,0.7999999999999999
499,2.275,3.0,3.0625,4.0,0.01,1.3250000000000002,1.15
500,2.275,3.0,3.0625,4.0,0.01,1.3250000000000002,1.5
501,2.275,3.0,3.0625,4.0,0.01,2.5500000000000003,1.5
502,2.275,3.0,4.0,0.01,0.01,0.1,1.15
503,2.275,3.0,4.0,1.0075,0.01,0.1,0.7999999999999999
504,2.275,3.0,4.0,1.0075,0.01,1.3250000000000002,1.15
505,2.275,3.0,4.0,1.0075,0.01,1.3250000000000002,1.5
506,2.275,3.0,4.0,1.0075,0.01,2.5500000000000003,1.5
507,2.275,3.0,4.0,2.005,0.01,0.1,0.7999999999999999
508,2.275,3.0,4.0,2.005,0.01,1.3250000000000002,1.15
509,2.275,3.0,4.0,2.005,0.01,1.3250000000000002,1.5
510,2.275,3.0,4.0,2.005,0.01,2.5500000000000003,1.5
511,2.275,3.0,4.0,3.0025,0.01,0.1,0.7999999999999999
512,2.275,3.0,4.0,3.0025,0.01,1.3250000000000002,1.15
513,2.275,3.0,4.0,3.0025,0.01,1.3250000000000002,1.5
514,2.275,3.0,4.0,3.0025,0.01,2.5500000000000003,1.5
515,2.275,3.0,4.0,4.0,0.01,0.1,0.7999999999999999
516,2.275,3.0,4.0,4.0,0.01,1.3250000000000002,1.15
517,2.275,3.0,4.0,4.0,0.01,1.3250000000000002,1.5
518,2.275,3.0,4.0,4.0,0.01,2.5500000000000003,1.5
519,2.275,4.0,0.25,0.01,0.01,0.1,1.5
520,2.275,4.0,0.25,1.0075,0.01,0.1,0.7999999999999999
521,2.275,4.0,0.25,1.0075,0.01,1.3250000000000002,1.5
522,2.275,4.0,0.25,2.005,0.01,0.1,0.7999999999999999
523,2.275,4.0,0.25,2.005,0.01,1.3250000000000002,1.15
524,2.275,4.0,0.25,2.005,0.01,1.3250000000000002,1.5
525,2.275,4.0,0.25,3.0025,0.01,0.1,0.7999999999999999
526,2.275,4.0,0.25,3.0025,0.01,1.3250000000000002,1.15
527,2.275,4.0,0.25,3.0025,0.01,1.3250000000000002,1.5
528,2.275,4.0,0.25,4.0,0.01,0.1,0.7999999999999999
529,2.275,4.0,0.25,4.0,0.01,1.3250000000000002,1.15
530,2.275,4.0,0.25,4.0,0.01,1.3250000000000002,1.5
531,2.275,4.0,0.25,4.0,0.01,2.5500000000000003,1.5
532,2.275,4.0,1.1875,0.01,0.01,0.1,1.15
533,2.275,4.0,1.1875,0.01,0.01,0.1,1.5
534,2.275,4.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
535,2.275,4.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
536,2.275,4.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
537,2.275,4.0,1.1875,2.005,0.01,0.1,0.7999999999999999
538,2.275,4.0,1.1875,2.005,0.01,1.3250000000000002,1.15
539,2.275,4.0,1.1875,2.005,0.01,1.3250000000000002,1.5
540,2.275,4.0,1.1875,2.005,0.01,2.5500000000000003,1.5
541,2.275,4.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
542,2.275,4.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
543,2.275,4.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
544,2.275,4.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
545,2.275,4.0,1.1875,4.0,0.01,0.1,0.7999999999999999
546,2.275,4.0,1.1875,4.0,0.01,1.3250000000000002,1.15
547,2.275,4.0,1.1875,4.0,0.01,1.3250000000000002,1.5
548,2.275,4.0,1.1875,4.0,0.01,2.5500000000000003,1.5
549,2.275,4.0,2.125,0.01,0.01,0.1,1.15
550,2.275,4.0,2.125,0.01,0.01,0.1,1.5
551,2.275,4.0,2.125,1.0075,0.01,0.1,0.7999999999999999
552,2.275,4.0,2.125,1.0075,0.01,1.3250000000000002,1.15
553,2.275,4.0,2.125,1.0075,0.01,1.3250000000000002,1.5
554,2.275,4.0,2.125,2.005,0.01,0.1,0.7999999999999999
555,2.275,4.0,2.125,2.005,0.01,1.3250000000000002,1.15
556,2.275,4.0,2.125,2.005,0.01,1.3250000000000002,1.5
557,2.275,4.0,2.125,2.005,0.01,2.5500000000000003,1.5
558,2.275,4.0,2.125,3.0025,0.01,0.1,0.7999999999999999
559,2.275,4.0,2.125,3.0025,0.01,1.3250000000000002,1.15
560,2.275,4.0,2.125,3.0025,0.01,1.3250000000000002,1.5
561,2.275,4.0,2.125,3.0025,0.01,2.5500000000000003,1.5
562,2.275,4.0,2.125,4.0,0.01,0.1,0.7999999999999999
563,2.275,4.0,2.125,4.0,0.01,1.3250000000000002,1.15
564,2.275,4.0,2.125,4.0,0.01,1.3250000000000002,1.5
565,2.275,4.0,2.125,4.0,0.01,2.5500000000000003,1.5
566,2.275,4.0,3.0625,0.01,0.01,0.1,1.15
567,2.275,4.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
568,2.275,4.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
569,2.275,4.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
570,2.275,4.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
571,2.275,4.0,3.0625,2.005,0.01,0.1,0.7999999999999999
572,2.275,4.0,3.0625,2.005,0.01,1.3250000000000002,1.15
573,2.275,4.0,3.0625,2.005,0.01,1.3250000000000002,1.5
574,2.275,4.0,3.0625,2.005,0.01,2.5500000000000003,1.5
575,2.275,4.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
576,2.275,4.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
577,2.275,4.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
578,2.275,4.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
579,2.275,4.0,3.0625,4.0,0.01,0.1,0.7999999999999999
580,2.275,4.0,3.0625,4.0,0.01,1.3250000000000002,1.15
581,2.275,4.0,3.0625,4.0,0.01,1.3250000000000002,1.5
582,2.275,4.0,3.0625,4.0,0.01,2.5500000000000003,1.5
583,2.275,4.0,4.0,0.01,0.01,0.1,1.15
584,2.275,4.0,4.0,1.0075,0.01,0.1,0.7999999999999999
585,2.275,4.0,4.0,1.0075,0.01,1.3250000000000002,1.15
586,2.275,4.0,4.0,1.0075,0.01,1.3250000000000002,1.5
587,2.275,4.0,4.0,1.0075,0.01,2.5500000000000003,1.5
588,2.275,4.0,4.0,2.005,0.01,0.1,0.7999999999999999
589,2.275,4.0,4.0,2.005,0.01,1.3250000000000002,1.15
590,2.275,4.0,4.0,2.005,0.01,1.3250000000000002,1.5
591,2.275,4.0,4.0,2.005,0.01,2.5500000000000003,1.5
592,2.275,4.0,4.0,3.0025,0.01,0.1,0.7999999999999999
593,2.275,4.0,4.0,3.0025,0.01,1.3250000000000002,1.15
594,2.275,4.0,4.0,3.0025,0.01,1.3250000000000002,1.5
595,2.275,4.0,4.0,3.0025,0.01,2.5500000000000003,1.5
596,2.275,4.0,4.0,4.0,0.01,0.1,0.7999999999999999
597,2.275,4.0,4.0,4.0,0.01,1.3250000000000002,1.15
598,2.275,4.0,4.0,4.0,0.01,1.3250000000000002,1.5
599,2.275,4.0,4.0,4.0,0.01,2.5500000000000003,1.5
600,2.275,5.0,0.25,0.01,0.01,0.1,1.5
601,2.275,5.0,0.25,1.0075,0.01,0.1,0.7999999999999999
602,2.275,5.0,0.25,1.0075,0.01,1.3250000000000002,1.5
603,2.275,5.0,0.25,2.005,0.01,0.1,0.7999999999999999
604,2.275,5.0,0.25,2.005,0.01,1.3250000000000002,1.15
605,2.275,5.0,0.25,2.005,0.01,1.3250000000000002,1.5
606,2.275,5.0,0.25,3.0025,0.01,0.1,0.7999999999999999
607,2.275,5.0,0.25,3.0025,0.01,1.3250000000000002,1.15
608,2.275,5.0,0.25,3.0025,0.01,1.3250000000000002,1.5
609,2.275,5.0,0.25,4.0,0.01,0.1,0.7999999999999999
610,2.275,5.0,0.25,4.0,0.01,1.3250000000000002,1.15
611,2.275,5.0,0.25,4.0,0.01,1.3250000000000002,1.5
612,2.275,5.0,0.25,4.0,0.01,2.5500000000000003,1.5
613,2.275,5.0,1.1875,0.01,0.01,0.1,1.15
614,2.275,5.0,1.1875,0.01,0.01,0.1,1.5
615,2.275,5.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
616,2.275,5.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
617,2.275,5.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
618,2.275,5.0,1.1875,2.005,0.01,0.1,0.7999999999999999
619,2.275,5.0,1.1875,2.005,0.01,1.3250000000000002,1.15
620,2.275,5.0,1.1875,2.005,0.01,1.3250000000000002,1.5
621,2.275,5.0,1.1875,2.005,0.01,2.5500000000000003,1.5
622,2.275,5.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
623,2.275,5.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
624,2.275,5.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
625,2.275,5.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
626,2.275,5.0,1.1875,4.0,0.01,0.1,0.7999999999999999
627,2.275,5.0,1.1875,4.0,0.01,1.3250000000000002,1.15
628,2.275,5.0,1.1875,4.0,0.01,1.3250000000000002,1.5
629,2.275,5.0,1.1875,4.0,0.01,2.5500000000000003,1.5
630,2.275,5.0,2.125,0.01,0.01,0.1,1.15
631,2.275,5.0,2.125,0.01,0.01,0.1,1.5
632,2.275,5.0,2.125,1.0075,0.01,0.1,0.7999999999999999
633,2.275,5.0,2.125,1.0075,0.01,1.3250000000000002,1.15
634,2.275,5.0,2.125,1.0075,0.01,1.3250000000000002,1.5
635,2.275,5.0,2.125,2.005,0.01,0.1,0.7999999999999999
636,2.275,5.0,2.125,2.005,0.01,1.3250000000000002,1.15
637,2.275,5.0,2.125,2.005,0.01,1.3250000000000002,1.5
638,2.275,5.0,2.125,2.005,0.01,2.5500000000000003,1.5
639,2.275,5.0,2.125,3.0025,0.01,0.1,0.7999999999999999
640,2.275,5.0,2.125,3.0025,0.01,1.3250000000000002,1.15
641,2.275,5.0,2.125,3.0025,0.01,1.3250000000000002,1.5
642,2.275,5.0,2.125,3.0025,0.01,2.5500000000000003,1.5
643,2.275,5.0,2.125,4.0,0.01,0.1,0.7999999999999999
644,2.275,5.0,2.125,4.0,0.01,1.3250000000000002,1.15
645,2.275,5.0,2.125,4.0,0.01,1.3250000000000002,1.5
646,2.275,5.0,2.125,4.0,0.01,2.5500000000000003,1.5
647,2.275,5.0,3.0625,0.01,0.01,0.1,1.15
648,2.275,5.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
649,2.275,5.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
650,2.275,5.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
651,2.275,5.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
652,2.275,5.0,3.0625,2.005,0.01,0.1,0.7999999999999999
653,2.275,5.0,3.0625,2.005,0.01,1.3250000000000002,1.15
654,2.275,5.0,3.0625,2.005,0.01,1.3250000000000002,1.5
655,2.275,5.0,3.0625,2.005,0.01,2.5500000000000003,1.5
656,2.275,5.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
657,2.275,5.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
658,2.275,5.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
659,2.275,5.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
660,2.275,5.0,3.0625,4.0,0.01,0.1,0.7999999999999999
661,2.275,5.0,3.0625,4.0,0.01,1.3250000000000002,1.15
662,2.275,5.0,3.0625,4.0,0.01,1.3250000000000002,1.5
663,2.275,5.0,3.0625,4.0,0.01,2.5500000000000003,1.5
664,2.275,5.0,4.0,0.01,0.01,0.1,1.15
665,2.275,5.0,4.0,1.0075,0.01,0.1,0.7999999999999999
666,2.275,5.0,4.0,1.0075,0.01,1.3250000000000002,1.15
667,2.275,5.0,4.0,1.0075,0.01,1.3250000000000002,1.5
668,2.275,5.0,4.0,1.0075,0.01,2.5500000000000003,1.5
669,2.275,5.0,4.0,2.005,0.01,0.1,0.7999999999999999
670,2.275,5.0,4.0,2.005,0.01,1.3250000000000002,1.15
671,2.275,5.0,4.0,2.005,0.01,1.3250000000000002,1.5
672,2.275,5.0,4.0,2.005,0.01,2.5500000000000003,1.5
673,2.275,5.0,4.0,3.0025,0.01,0.1,0.7999999999999999
674,2.275,5.0,4.0,3.0025,0.01,1.3250000000000002,1.15
675,2.275,5.0,4.0,3.0025,0.01,1.3250000000000002,1.5
676,2.275,5.0,4.0,3.0025,0.01,2.5500000000000003,1.5
677,2.275,5.0,4.0,4.0,0.01,0.1,0.7999999999999999
678,2.275,5.0,4.0,4.0,0.01,1.3250000000000002,1.15
679,2.275,5.0,4.0,4.0,0.01,1.3250000000000002,1.5
680,2.275,5.0,4.0,4.0,0.01,2.5500000000000003,1.5
681,3.0,1.0,0.25,1.0075,0.01,0.1,0.7999999999999999
682,3.0,1.0,0.25,1.0075,0.01,1.3250000000000002,1.5
683,3.0,1.0,0.25,2.005,0.01,0.1,0.7999999999999999
684,3.0,1.0,0.25,2.005,0.01,1.3250000000000002,1.15
685,3.0,1.0,0.25,2.005,0.01,1.3250000000000002,1.5
686,3.0,1.0,0.25,3.0025,0.01,0.1,0.7999999999999999
687,3.0,1.0,0.25,3.0025,0.01,1.3250000000000002,1.15
688,3.0,1.0,0.25,3.0025,0.01,1.3250000000000002,1.5
689,3.0,1.0,0.25,3.0025,0.01,2.5500000000000003,1.5
690,3.0,1.0,0.25,4.0,0.01,0.1,0.7999999999999999
691,3.0,1.0,0.25,4.0,0.01,1.3250000000000002,1.15
692,3.0,1.0,0.25,4.0,0.01,1.3250000000000002,1.5
693,3.0,1.0,0.25,4.0,0.01,2.5500000000000003,1.5
694,3.0,1.0,1.1875,0.01,0.01,0.1,1.15
695,3.0,1.0,1.1875,0.01,0.01,0.1,1.5
696,3.0,1.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
697,3.0,1.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
698,3.0,1.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
699,3.0,1.0,1.1875,1.0075,0.01,2.5500000000000003,1.5
700,3.0,1.0,1.1875,2.005,0.01,0.1,0.7999999999999999
701,3.0,1.0,1.1875,2.005,0.01,1.3250000000000002,1.15
702,3.0,1.0,1.1875,2.005,0.01,1.3250000000000002,1.5
703,3.0,1.0,1.1875,2.005,0.01,2.5500000000000003,1.5
704,3.0,1.0,1.1875,3.0025,0.01,0.1,0.44999999999999996
705,3.0,1.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
706,3.0,1.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
707,3.0,1.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
708,3.0,1.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
709,3.0,1.0,1.1875,4.0,0.01,0.1,0.44999999999999996
710,3.0,1.0,1.1875,4.0,0.01,0.1,0.7999999999999999
711,3.0,1.0,1.1875,4.0,0.01,1.3250000000000002,1.15
712,3.0,1.0,1.1875,4.0,0.01,1.3250000000000002,1.5
713,3.0,1.0,1.1875,4.0,0.01,2.5500000000000003,1.5
714,3.0,1.0,2.125,0.01,0.01,0.1,1.15
715,3.0,1.0,2.125,0.01,0.01,0.1,1.5
716,3.0,1.0,2.125,1.0075,0.01,0.1,0.7999999999999999
717,3.0,1.0,2.125,1.0075,0.01,1.3250000000000002,1.15
718,3.0,1.0,2.125,1.0075,0.01,1.3250000000000002,1.5
719,3.0,1.0,2.125,1.0075,0.01,2.5500000000000003,1.5
720,3.0,1.0,2.125,2.005,0.01,0.1,0.7999999999999999
721,3.0,1.0,2.125,2.005,0.01,1.3250000000000002,1.15
722,3.0,1.0,2.125,2.005,0.01,1.3250000000000002,1.5
723,3.0,1.0,2.125,2.005,0.01,2.5500000000000003,1.5
724,3.0,1.0,2.125,3.0025,0.01,0.1,0.44999999999999996
725,3.0,1.0,2.125,3.0025,0.01,0.1,0.7999999999999999
726,3.0,1.0,2.125,3.0025,0.01,1.3250000000000002,1.15
727,3.0,1.0,2.125,3.0025,0.01,1.3250000000000002,1.5
728,3.0,1.0,2.125,3.0025,0.01,2.5500000000000003,1.5
729,3.0,1.0,2.125,4.0,0.01,0.1,0.44999999999999996
730,3.0,1.0,2.125,4.0,0.01,0.1,0.7999999999999999
731,3.0,1.0,2.125,4.0,0.01,1.3250000000000002,1.15
732,3.0,1.0,2.125,4.0,0.01,1.3250000000000002,1.5
733,3.0,1.0,2.125,4.0,0.01,2.5500000000000003,1.5
734,3.0,1.0,3.0625,0.01,0.01,0.1,1.15
735,3.0,1.0,3.0625,0.01,0.01,0.1,1.5
736,3.0,1.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
737,3.0,1.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
738,3.0,1.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
739,3.0,1.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
740,3.0,1.0,3.0625,2.005,0.01,0.1,0.44999999999999996
741,3.0,1.0,3.0625,2.005,0.01,0.1,0.7999999999999999
742,3.0,1.0,3.0625,2.005,0.01,1.3250000000000002,1.15
743,3.0,1.0,3.0625,2.005,0.01,1.3250000000000002,1.5
744,3.0,1.0,3.0625,2.005,0.01,2.5500000000000003,1.5
745,3.0,1.0,3.0625,3.0025,0.01,0.1,0.44999999999999996
746,3.0,1.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
747,3.0,1.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
748,3.0,1.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
749,3.0,1.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
750,3.0,1.0,3.0625,4.0,0.01,0.1,0.44999999999999996
751,3.0,1.0,3.0625,4.0,0.01,0.1,0.7999999999999999
752,3.0,1.0,3.0625,4.0,0.01,1.3250000000000002,1.15
753,3.0,1.0,3.0625,4.0,0.01,1.3250000000000002,1.5
754,3.0,1.0,3.0625,4.0,0.01,2.5500000000000003,1.5
755,3.0,1.0,3.0625,4.0,0.01,3.7750000000000004,1.5
756,3.0,1.0,4.0,0.01,0.01,0.1,1.15
757,3.0,1.0,4.0,1.0075,0.01,0.1,0.7999999999999999
758,3.0,1.0,4.0,1.0075,0.01,1.3250000000000002,1.15
759,3.0,1.0,4.0,1.0075,0.01,1.3250000000000002,1.5
760,3.0,1.0,4.0,1.0075,0.01,2.5500000000000003,1.5
761,3.0,1.0,4.0,2.005,0.01,0.1,0.44999999999999996
762,3.0,1.0,4.0,2.005,0.01,0.1,0.7999999999999999
763,3.0,1.0,4.0,2.005,0.01,1.3250000000000002,1.15
764,3.0,1.0,4.0,2.005,0.01,1.3250000000000002,1.5
765,3.0,1.0,4.0,2.005,0.01,2.5500000000000003,1.5
766,3.0,1.0,4.0,3.0025,0.01,0.1,0.44999999999999996
767,3.0,1.0,4.0,3.0025,0.01,0.1,0.7999999999999999
768,3.0,1.0,4.0,3.0025,0.01,1.3250000000000002,1.15
769,3.0,1.0,4.0,3.0025,0.01,1.3250000000000002,1.5
770,3.0,1.0,4.0,3.0025,0.01,2.5500000000000003,1.5
771,3.0,1.0,4.0,4.0,0.01,0.1,0.44999999999999996
772,3.0,1.0,4.0,4.0,0.01,0.1,0.7999999999999999
773,3.0,1.0,4.0,4.0,0.01,1.3250000000000002,1.15
774,3.0,1.0,4.0,4.0,0.01,1.3250000000000002,1.5
775,3.0,1.0,4.0,4.0,0.01,2.5500000000000003,1.5
776,3.0,1.0,4.0,4.0,0.01,3.7750000000000004,1.5
777,3.0,2.0,0.25,1.0075,0.01,0.1,0.7999999999999999
778,3.0,2.0,0.25,1.0075,0.01,1.3250000000000002,1.5
779,3.0,2.0,0.25,2.005,0.01,0.1,0.7999999999999999
780,3.0,2.0,0.25,2.005,0.01,1.3250000000000002,1.15
781,3.0,2.0,0.25,2.005,0.01,1.3250000000000002,1.5
782,3.0,2.0,0.25,3.0025,0.01,0.1,0.7999999999999999
783,3.0,2.0,0.25,3.0025,0.01,1.3250000000000002,1.15
784,3.0,2.0,0.25,3.0025,0.01,1.3250000000000002,1.5
785,3.0,2.0,0.25,3.0025,0.01,2.5500000000000003,1.5
786,3.0,2.0,0.25,4.0,0.01,0.1,0.7999999999999999
787,3.0,2.0,0.25,4.0,0.01,1.3250000000000002,1.15
