"transcription_units"	"monomers_to_remove"
["EG11142", "G7156", "G7155", "G7153", "G7152"]	["EG11142", "G7156", "G7155", "G7153", "G7152"]
["G7159", "G7158"]	["G7159", "G7158"]
["G7161", "G7160"]	["G7161", "G7160"]
["G7166", "G7167", "G7168", "G7169", "G7170", "G0-10460", "G7171"]	["G7166", "G7167", "G7168", "G7169", "G7170", "G0-10460", "G7171"]
["G7188", "G7187"]	["G7188", "G7187"]
["G7195", "G7196"]	["G7195", "G7196"]
["EG10327", "EG10218"]	["EG10327", "EG10218"]
["EG12449", "EG10075", "EG10580", "EG11144", "G7201", "G7200"]	["EG12449", "EG10075", "EG10580", "EG11144", "G7201", "G7200"]
["G7209", "G7207", "G7206", "G7205", "G7204", "G7203"]	["G7209", "G7207", "G7206", "G7205", "G7204", "G7203"]
["G7219", "G7220", "G7221"]	["G7219", "G7220", "G7221"]
["G7227", "G7226", "G7225", "G7224", "G7223"]	["G7227", "G7226", "G7225", "G7224", "G7223"]
["G7228", "G7229"]	["G7228", "G7229"]
["G7230", "G7231", "G7232"]	["G7230", "G7231", "G7232"]
["G7243", "G7244", "G7245"]	["G7243", "G7244", "G7245"]
["G7250", "G7249", "G7248", "G7247", "G7246"]	["G7250", "G7249", "G7248", "G7247", "G7246"]
["EG10534", "G0-10462"]	["EG10534", "G0-10462"]
["G7263", "G7264", "G7265"]	["G7263", "G7264", "G7265"]
["G7269", "G7268"]	["G7269", "G7268"]
["EG50006", "EG50007", "G7271", "G7270", "EG12190"]	["EG50006", "EG50007", "G7271", "G7270", "EG12190"]
["G7274", "G7275"]	["G7274", "G7275"]
["G7278", "G7279"]	["G7278", "G7279"]
["G7282", "G7281"]	["G7282", "G7281"]
["G7286", "G7285", "G7284", "G7283"]	["G7286", "G7285", "G7284", "G7283"]
["G7292", "G7291", "G7290", "G7289", "G7288", "G7287"]	["G7292", "G7291", "G7290", "G7289", "G7288", "G7287"]
["EG11147", "EG10208", "G0-10463"]	["EG11147", "EG10208", "G0-10463"]
["G7298", "G7297"]	["G7298", "G7297"]
["G7316", "G7317"]	["G7316", "G7317"]
["G7323", "G7322"]	["G7323", "G7322"]
["G7339", "G7338"]	["G7339", "G7338"]
["G7342", "G7341", "G7340"]	["G7342", "G7341", "G7340"]
["EG11371", "EG11372"]	["EG11371", "EG11372"]
["G7349", "G7350"]	["G7349"]
["EG12098", "EG12097"]	["EG12098", "EG12097"]
["G7354", "EG12880", "EG11152"]	["G7354", "EG12880", "EG11152"]
["G7358", "G7357"]	["G7358", "G7357"]
["G7363", "G7362"]	["G7363", "G7362"]
["G7367", "G7368"]	["G7367", "G7368"]
["G7369", "G7370", "G7371", "G7372"]	["G7369", "G7370", "G7371", "G7372"]
["G7378", "G7379", "G0-10464", "G7380", "G7381"]	["G7378", "G7379", "G0-10464", "G7380", "G7381"]
["G7397", "G7398"]	["G7397", "G7398"]
["G7405", "G7406"]	["G7405", "G7406"]
["G7408", "G7407"]	["G7408", "G7407"]
["G7417", "G7418"]	["G7417"]
["G7419", "G7420"]	["G7419", "G7420"]
["G7430", "G7429", "G7428", "G7427", "G7426", "G7425", "EG12845"]	["G7430", "G7429", "G7428", "G7427", "G7426", "G7425"]
["G7432", "G7433", "G7434"]	["G7432", "G7433", "G7434"]
["G7436", "G7435"]	["G7436", "G7435"]
["EG13174", "G7442"]	["EG13174", "G7442"]
["G7450", "G7449", "G7448"]	["G7450", "G7449", "G7448"]
["G7454", "G7455"]	["G7454", "G7455"]
["EG10786", "EG10824", "EG10826"]	["EG10824", "EG10826"]
["EG12081", "EG11156", "EG11155", "EG11154", "EG10825"]	["EG12081", "EG11156", "EG11155", "EG11154"]
["G7459", "EG12188"]	["G7459", "EG12188"]
["EG11679", "EG12455"]	["EG11679", "EG12455"]
["G7467", "G7468"]	["G7467", "G7468"]
["G7476", "G7475"]	["G7476", "G7475"]
["G7497", "G7498"]	["G7497"]
["G7499", "G7500"]	["G7499", "G7500"]
["G7501", "G7502", "G7503"]	["G7501", "G7502", "G7503"]
["G7506", "G7505"]	["G7506", "G7505"]
["G7510", "G7509"]	["G7510", "G7509"]
["EG11323", "EG10697", "EG11324", "EG11333"]	["EG11323", "EG10697", "EG11324", "EG11333"]
["EG11791", "EG11792", "G7520", "EG11245", "EG11162", "EG11161"]	["EG11791", "EG11792", "G7520", "EG11245", "EG11162", "EG11161"]
["EG12366", "EG10419"]	["EG12366", "EG10419"]
["G7524", "G7525"]	["G7524", "G7525"]
["G7527", "G7528", "G7529", "G7530", "G7531"]	["G7527", "G7528", "G7529", "G7530", "G7531"]
["EG11779", "EG12443"]	["EG11779", "EG12443"]
["G7536", "G7535"]	["G7536", "G7535"]
["G7551", "G7550"]	["G7551", "G7550"]
["G7564", "G7565"]	["G7564"]
["G7572", "G7571"]	["G7572"]
["EG12633", "G7580", "G7579", "G7578", "EG10687"]	["EG12633", "G7580", "G7579", "G7578", "EG10687"]
["EG11009", "EG11164", "EG11165"]	["EG11009", "EG11164", "EG11165"]
["G7588", "G7589"]	["G7588", "G7589"]
["EG11603", "EG11602"]	["EG11603", "EG11602"]
["G7598", "G7599"]	["G7598", "G7599"]
["G7602", "G7601"]	["G7602", "G7601"]
["G7611", "G7612", "G7613", "G7614"]	["G7611", "G7612", "G7613", "G7614"]
["G7620", "G7621"]	["G7620", "G7621"]
["EG12754", "G7622"]	["EG12754", "G7622"]
["EG11173", "EG11174"]	["EG11173", "EG11174"]
["EG10955", "G7629"]	["EG10955", "G7629"]
["G7638", "G7639", "G7640"]	["G7638", "G7639", "G7640"]
["G7651", "G7650"]	["G7651", "G7650"]
["G7652", "G7653"]	["G7652", "G7653"]
["EG50011", "EG11553"]	["EG50011", "EG11553"]
["EG11499", "G7656"]	["EG11499", "G7656"]
["EG12801", "EG12800", "EG12799", "G7659", "G7658"]	["EG12801", "EG12800", "EG12799", "G7659", "G7658"]
["EG11383", "G7668"]	["EG11383", "G7668"]
["EG11515", "G7670", "G7671"]	["EG11515", "G7670", "G7671"]
["G7682", "EG11652"]	[]
["G7687", "G7686", "G7685"]	["G7687", "G7686", "G7685"]
["EG11970", "EG11969"]	["EG11970", "EG11969"]
["G7702", "G7703", "G7704", "G7705", "G7706", "G7707", "G7708", "G7709", "G7710", "G7711", "EG12173", "EG11359"]	["G7702", "G7703", "G7704", "G7705", "G7706", "G7707", "G7708", "G7709", "G7710", "G7711", "EG12173", "EG11359"]
["EG11181", "EG10113"]	["EG11181", "EG10113"]
["G7715", "G7714", "G7713", "G7712"]	["G7715", "G7714", "G7713", "G7712"]
["G7717", "EG20110", "G0-10466"]	["G7717", "EG20110", "G0-10466"]
["EG12903", "G7718", "G7719"]	["EG12903", "G7718", "G7719"]
["G7733", "G7732", "G7731", "G7730", "G7729", "G7728"]	["G7733", "G7732", "G7731", "G7730", "G7729", "G7728"]
["G7735", "G7734"]	["G7735", "G7734"]
["G7739", "G7738", "G7737", "G7736"]	["G7739", "G7738", "G7737", "G7736"]
["G7742", "G7743"]	["G7742", "G7743"]
["EG10343", "EG12212"]	["EG10343", "EG12212"]
["EG12224", "EG12223", "EG11767"]	["EG12224", "EG12223", "EG11767"]
["EG11441", "EG12233"]	["EG11441", "EG12233"]
["EG12240", "EG12241"]	["EG12240", "EG12241"]
["EG12263", "EG12264", "EG12265"]	["EG12263", "EG12264", "EG12265"]
