reactionID,kcat (1/s),Exclude
RXN-11496,[167],
UDPGLUCEPIM-RXN,[500],
GLYOXI-RXN,[388],
LYXK-RXN,[110],
INORGPYROPHOSPHAT-RXN,[390],
AMINOCYL-TRNA-HYDROLASE-RXN,[3.6],
RXN-8999,[2.5],
ARGININE--TRNA-LIGASE-RXN,[21.9],
ARGININE--TRNA-LIGASE-RXN,[21.9],
CYSTEINE--TRNA-LIGASE-RXN,[2.9],
CYSTEINE--TRNA-LIGASE-RXN,[4.4],
CYSTEINE--TRNA-LIGASE-RXN,[4.8],
CYSTEINE--TRNA-LIGASE-RXN,[2.9],
THREONINE--TRNA-LIGASE-RXN,[90],
LEUCINE--TRNA-LIGASE-RXN,[6.1],
CARBPSYN-RXN,[4.04],
HISTIDINE--TRNA-LIGASE-RXN,[2.04],
RXN-16649,[1.1],
ASPAMINOTRANS-RXN,[159],
ASPAMINOTRANS-RXN,[140],
TYROSINE-AMINOTRANSFERASE-RXN,[250],
VALINE--TRNA-LIGASE-RXN,[13.9],
3.4.11.18-RXN,[22.5],
PABASYN-RXN,[0.53],
PHENYLALANINE--TRNA-LIGASE-RXN,[3.52],
METHGLYSYN-RXN,[220],
DIHYDRODIPICSYN-RXN,[124],
DIHYDRODIPICSYN-RXN,[124],
BETA-GLUCURONID-RXN,[68],
AMINOCYL-TRNA-HYDROLASE-RXN,[9.3],
CARBPSYN-RXN,[1.4],
GLUTAMIN-RXN,[2.0],
ASPARTATE--TRNA-LIGASE-RXN,[6.8],
RXN0-5422,[2.2],
LEUCINE--TRNA-LIGASE-RXN,[5.1],
LEUCINE--TRNA-LIGASE-RXN,[5],
LEUCINE--TRNA-LIGASE-RXN,[5.1],
LEUCINE--TRNA-LIGASE-RXN,[5.0],
LEUCINE--TRNA-LIGASE-RXN,[5.1],
LEUCINE--TRNA-LIGASE-RXN,[5.0],
CARBPSYN-RXN,[1.4],
GLUTAMIN-RXN,[2.0],
CATAL-RXN,[12000],
RXN-8667,[58],
RXN-15125,[436],
RXN-15125,[436],
RXN-15125,[436],
FRUCTOKINASE-RXN,[14],
NANK-RXN,[83],
GLUCOKIN-RXN,[410],
N-ACETYLGLUCOSAMINE-KINASE-RXN,[9.2],
GLUCOKIN-RXN,[410],
N-ACETYLGLUCOSAMINE-KINASE-RXN,[9.2],
DIHYDRODIPICSYN-RXN,[124],
