Gene id	half_life (units.min)
dacA	719.7879201036468
ynaI	711.4180042088478
yoaB	720.0
yoaE	720.0
arcB	353.01886442843403
barA	359.10765599718445
dcuS	352.9925255028547
uspA	309.8312390515745
uvrY	182.32986332318663
dapE	342.1351739825931
dcm	199.41395774616817
dcrB	678.7317630706319
degS	354.524312401964
mglB	651.687543577686
dam	338.92292141383496
dnaC	280.19823765173305
dppB	720.0
dsbA	319.07699881355387
dsbC	341.86829027876325
rseP	253.93277900525044
elaA	257.73899437392214
elaB	604.9475899490064
miaB	90.25758130728673
rimO	263.2884294052572
nudJ	318.18408722690623
envZ	720.0
eutB	666.3514298437746
fabG	720.0
fabI	354.04257432892416
fliA	107.0406872394906
tcyJ	720.0
fre	346.82511784043874
fucU	720.0
galU	342.69680115698566
glcG	316.01117639711117
glnH	706.4499172475478
glnP	720.0
gss	310.10141533940566
gudD	315.5018102538835
gyrA	301.66949082948327
gyrB	352.8103433779694
hdhA	330.5337966570557
hisJ	720.0
hisM	342.5864493007418
skp	615.0801738278076
rssB	260.3733311251226
cpdA	324.01427287317597
fruK	720.0
prkB	330.0540966649099
malE	720.0
mazG	303.78470664698636
mdaB	285.78629675665053
metF	298.07058439530584
minD	332.6878651481343
moaB	359.5687655806103
mog	349.66487169338217
mrp	313.42915192954547
mtlR	720.0
mtnN	720.0
nagA	685.9026849984828
nagC	680.7318093941874
nagD	342.31120286905156
narL	301.9147330655895
zapB	300.4042474480645
yjbB	720.0
yjbQ	284.6478870771212
ghxP	720.0
yjcO	62.64822143697954
nsrR	534.5828253891252
tsaE	326.69909288484234
yjeI	357.29156554600854
ridA	333.8433933619456
tabA	487.1369043340022
narX	326.5299597984772
nhaB	720.0
nlpI	354.0790508350973
glnL	316.2293059455739
glnG	290.8100240611798
nuoA	720.0
nuoB	358.521140350344
nuoE	287.3682362316369
nuoH	720.0
nuoI	720.0
nuoM	720.0
nupC	720.0
nusA	632.9649844455588
nusG	338.20258157609913
sucA	308.0290187487879
sucB	342.13087426691186
aceE	720.0
oppB	720.0
oppC	329.0346770449497
osmY	323.3913609090297
parC	224.67540542209932
pbpG	71.70935867123389
pdxH	333.2381631566605
perM	720.0
phnA	613.5277031257127
phoB	319.78724087332597
pitA	720.0
pmbA	335.19893392447176
potD	720.0
ppiA	298.76817954520766
ppx	281.39164167186334
pspA	306.6015963494993
pspB	720.0
pspC	228.45510950924057
ybbO	720.0
ybgI	619.2139882359276
ycfH	283.53682253999455
rssA	315.24646801919465
yciO	720.0
folM	340.268105031236
btsR	720.0
glrR	351.6291250472224
ribC	720.0
mepS	202.58314381587928
rfaH	314.3046714716927
rnk	61.274967378352855
hpf	285.2678889352077
rsd	183.34528110517138
rseB	621.814410832476
sanA	348.4991320923188
sbmA	298.4231415438001
seqA	720.0
sspB	353.50054807411937
wzzE	720.0
ubiX	671.1917711948688
rpe	325.5846337261154
sohB	681.0269289706962
purF	240.61323369822526
purE	328.2379722726442
relA	292.21650566701817
spoT	720.0
yibN	656.5185228008364
rho	354.976775447656
ribF	338.23923302352205
rplQ	720.0
rplU	720.0
rpmD	343.63286850230656
rplF	655.8567775015842
rpsN	517.5398342600453
rpsQ	720.0
rpsA	607.1339453900905
rmuC	292.2637834315272
sbcD	324.2282920495743
sbp	720.0
ugpB	720.0
pstS	703.5017247967344
yghA	686.6491040387688
secB	670.7505247001532
secD	720.0
secF	340.3869902494992
secG	294.87047237491424
secY	302.16926616612983
uhpA	255.35201385463324
serB	304.01380675918807
rpoE	351.0846709897653
uhpT	104.61320675679372
slt	719.6690170352718
ytjB	720.0
sodC	601.9377921075318
sodB	357.5199959352767
ffh	293.88315901426944
ssb	312.84610056054316
chrR	344.426937197092
sucD	325.67364404901843
csdE	311.0177095883866
thiL	324.5884837408132
tesB	641.4144123655668
trxC	185.1781431375964
tldD	308.45547421628015
rbsC	720.0
trkA	691.5553437841044
trmH	341.86450641481366
yfiF	334.14935454591796
tyrS	720.0
ubiA	76.46278357589286
yhbY	343.7385053758188
iscR	73.02419213689464
rsmE	603.3963292023672
rplR	336.8348812780372
ppnP	301.2293143384953
ibpA	71.96435248209359
mltC	317.87563801746325
relE	255.16339986858404
slmA	329.68754291581723
srkA	322.7869311183303
osmC	720.0
proP	276.9467714236263
rlmE	351.9351152293329
mscS	720.0
rimK	318.01779241974816
degP	353.02008040553443
emtA	118.2886463523606
eptC	720.0
insL3	51.65189098458409
rph	702.49597775211
rcsC	720.0
rcsB	261.0661738506728
rlpA	720.0
ftsY	350.1040537083986
glnQ	292.57021572019164
hisA	343.0033563854059
fadL	656.6936403375036
secA	356.67617951275173
lpxB	640.6638705611167
dnaE	289.152750673342
nadB	264.62648033267084
ugpC	720.0
ugpQ	329.47903267933145
argC	341.770585026792
argH	335.159415391107
nadA	68.31200369785638
damX	330.7188823679775
argS	353.18430376098723
murF	589.8418449630618
aroC	720.0
moeA	297.8341712308169
moeB	680.5117078425492
ung	310.1324771684484
udp	720.0
ybhB	720.0
bioA	356.82469721262794
bioB	48.18808937465666
bioF	309.80315705196136
bioD1	720.0
bioH	720.0
metH	303.1319644859679
ampD	246.70296776271525
fdhE	208.9177797474823
katG	350.9839645240795
glpD	210.85442303172508
rpoS	17.736657206844942
sbcC	312.59135074168927
treA	674.6498402407813
csrD	720.0
mngR	708.942862920195
rimL	347.2551239396492
selB	333.852327849113
topB	187.4924257245297
zraR	236.66519248025406
fumB	338.95668998787727
murD	720.0
mcrB	488.74820630061674
recE	251.7549274722433
pepP	720.0
helD	303.36774198717256
ligA	340.77922562598246
glgX	328.3493086101634
fliN	253.80799713169966
cstA	320.66745227402765
srlR	720.0
purL	358.5308333143213
pepD	336.7138982743538
prlF	210.95990005881794
purH	352.53292037339276
purD	628.8124863364188
dgt	698.0452788460644
