# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Tue Mar 24 16:58:41 2026
id	common_name	half_life (units.min)
"AROA-MONOMER"	"aroA"	1914.725051971764
"AROK-MONOMER"	"aroK"	530.2389666541771
"AROL-MONOMER"	"aroL"	1118.7624127772901
"ARGSUCCINSYN-MONOMER"	"argG"	1914.725051971764
"ATPC-MONOMER"	"atpC"	1914.725051971764
"G6851-MONOMER"	"bidA"	427.0729267381576
"CARBPSYN-SMALL"	"carA"	1914.725051971764
"GLYCEROL-KIN-MONOMER"	"glpK"	1914.725051971764
"EG10599-MONOMER"	"groL"	1914.725051971764
"EG10600-MONOMER"	"groS"	1914.725051971764
"G7409-MONOMER"	"pncC"	1914.725051971764
"EG10158-MONOMER"	"clpP"	1914.725051971764
"EG10159-MONOMER"	"clpX"	165.23924946546774
"EG11881-MONOMER"	"hslU"	1914.725051971764
"CARDIOLIPSYN-MONOMER"	"clsA"	1914.725051971764
"CMPKI-MONOMER"	"cmk"	1914.725051971764
"PANTOTHENATE-KIN-MONOMER"	"coaA"	1781.7326963737155
"PANTEPADENYLYLTRAN-MONOMER"	"coaD"	1137.7655994632705
"EG12312-MONOMER"	"coaE"	1914.725051971764
"ADENYLYLSULFKIN-MONOMER"	"cysC"	292.8069067349252
"EG10003-MONOMER"	"cysZ"	1914.725051971764
"DALADEHYDROGA-MONOMER"	"dadA"	90.89921594949271
"DALADALALIGA-MONOMER"	"ddlA"	1914.725051971764
"DIAMINOPIMEPIM-MONOMER"	"dapF"	1914.725051971764
"EG11440-MONOMER"	"def"	686.7070479606932
"PPENTOMUT-MONOMER"	"deoB"	1914.725051971764
"DEOXYRIBOSE-P-ALD-MONOMER"	"deoC"	1914.725051971764
"DIHYDRODIPICSYN-MONOMER"	"dapA"	1914.725051971764
"ACNEULY-MONOMER"	"nanA"	624.3822501418995
"ALTRO-OXIDOREDUCT-MONOMER"	"uxaB"	1522.7451411511872
"EG12131-MONOMER"	"hscB"	1914.725051971764
"EG11852-MONOMER"	"dtd"	1914.725051971764
"EG10360-MONOMER"	"fusA"	1914.725051971764
"EG12099-MONOMER"	"efp"	1607.8398743418666
"EG12035-MONOMER"	"efpL"	1914.725051971764
"EG11033-MONOMER"	"tsf"	1914.725051971764
"G7319-MONOMER"	"der"	1914.725051971764
"EG11203-MONOMER"	"yihA"	1914.725051971764
"ENOLASE-MONOMER"	"eno"	1914.725051971764
"FABA-MONOMER"	"fabA"	1914.725051971764
"FABZ-MONOMER"	"fabZ"	1914.725051971764
"FABH-MONOMER"	"fabH"	1914.725051971764
"PD00196"	"fis"	46.6849407589978
"FLGH-FLAGELLAR-L-RING"	"flgH"	1397.187563219659
"FLGI-FLAGELLAR-P-RING"	"flgI"	497.21087468207327
"G7424-MONOMER"	"ftsB"	1137.7655994632705
"GLYC3PDEHYDROGBIOSYN-MONOMER"	"gpsA"	1914.725051971764
"PGLUCISOM"	"pgi"	1914.725051971764
"GALACTOKIN-MONOMER"	"galK"	1914.725051971764
"GTP-CYCLOHYDRO-I-MONOMER"	"folE"	491.7531838765189
"EG10375-MONOMER"	"mnmG"	160.6838687608919
"EG10376-MONOMER"	"rsmG"	1914.725051971764
"GLYCOGENSYN-MONOMER"	"glgA"	1914.725051971764
"GLUC1PADENYLTRANS-MONOMER"	"glgC"	1914.725051971764
"GLUCOKIN-MONOMER"	"glk"	1914.725051971764
"G6810-MONOMER"	"glsB"	1914.725051971764
"PHOSNACMURPENTATRANS-MONOMER"	"mraY"	1914.725051971764
"EG10415-MONOMER"	"greA"	826.296124905697
"GLUTCYSLIG-MONOMER"	"gshA"	1914.725051971764
"GLUTRNAREDUCT-MONOMER"	"hemA"	93.65382380301415
"EG10438-MONOMER"	"hfq"	1914.725051971764
"PD00347"	"ihfA"	1914.725051971764
"PD00348"	"ihfB"	732.0626564572409
"G7744-MONOMER"	"hslO"	322.0525964841008
"EG10241-MONOMER"	"dnaK"	1914.725051971764
"EG12130-MONOMER"	"hscA"	1032.004837613858
"EG10461-MONOMER"	"htpG"	1914.725051971764
"EG10505-MONOMER"	"infB"	1914.725051971764
"EG10506-MONOMER"	"infC"	1914.725051971764
"KDO-8PSYNTH-MONOMER"	"kdsA"	1914.725051971764
"PRPPSYN-MONOMER"	"prs"	1914.725051971764
"DTMPKI-MONOMER"	"tmk"	1914.725051971764
"UDPNACETYLGLUCOSAMACYLTRANS-MONOMER"	"lpxA"	1914.725051971764
"UDPACYLGLCNACDEACETYL-MONOMER"	"lpxC"	33.15457906127149
"EG11438-MONOMER"	"yceF"	1638.7906142536601
"METHGLYSYN-MONOMER"	"mgsA"	1914.725051971764
"EG10598-MONOMER"	"minE"	812.6684292350053
"EG11666-MONOMER"	"moaC"	1604.9816990740674
"EG11180-MONOMER"	"mscL"	1914.725051971764
"EG11433-MONOMER"	"msrA"	1708.6606390431643
"EG12394-MONOMER"	"msrB"	333.16568814063373
"UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER"	"murA"	1914.725051971764
"NICONUCADENYLYLTRAN-MONOMER"	"nadD"	1914.725051971764
"EG11568-MONOMER"	"kefF"	1137.7655994632705
"G7717-MONOMER"	"kefG"	1914.725051971764
"GLUCOSAMINE-6-P-DEAMIN-MONOMER"	"nagB"	1914.725051971764
"NANE-MONOMER"	"nanE"	1914.725051971764
