# Generated by runscripts/reconstruction/polycistronic_rnas/create_tu_files.py on Fri Feb  5 17:21:03 2021 
"id"	"type"	"modified_forms"	"gene_set"	"monomer_set"
"EG10274_RNA"	"mRNA"	[]	["EG10274"]	["FABB-MONOMER"]
"EG10280_RNA"	"mRNA"	[]	["EG10280"]	["EG10280-MONOMER"]
"EG10281_RNA"	"mRNA"	[]	["EG10281"]	["PD01520"]
"EG10283_RNA"	"mRNA"	[]	["EG10283"]	["F16B-MONOMER"]
"EG10285_RNA"	"mRNA"	[]	["EG10285"]	["FORMATEDEHYDROGH-MONOMER"]
"EG10294_RNA"	"mRNA"	[]	["EG10294"]	["FEPB-MONOMER"]
"EG10300_RNA"	"mRNA"	[]	["EG10300"]	["EG10300-MONOMER"]
"EG10306_RNA"	"mRNA"	[]	["EG10306"]	["EG10306-MONOMER"]
"EG10309_RNA"	"mRNA"	[]	["EG10309"]	["EG10309-MONOMER"]
"EG10312_RNA"	"mRNA"	[]	["EG10312"]	["EG10312-MONOMER"]
"EG10316_RNA"	"mRNA"	[]	["EG10316"]	["UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO"]
"EG10321_RNA"	"mRNA"	[]	["EG10321"]	["EG10321-MONOMER"]
"EG10325_RNA"	"mRNA"	[]	["EG10325"]	["PD00197"]
"EG10326_RNA"	"mRNA"	[]	["EG10326"]	["DIHYDROFOLATEREDUCT-MONOMER"]
"EG10329_RNA"	"mRNA"	[]	["EG10329"]	["EG10329-MONOMER"]
"EG10334_RNA"	"mRNA"	[]	["EG10334"]	["FMNREDUCT-MONOMER"]
"EG10335_RNA"	"mRNA"	[]	["EG10335"]	["EG10335-MONOMER"]
"EG10338_RNA"	"mRNA"	[]	["EG10338"]	["PD00521"]
"EG10342_RNA"	"mRNA"	[]	["EG10342"]	["EG10342-MONOMER"]
"EG10347_RNA"	"mRNA"	[]	["EG10347"]	["EG10347-MONOMER"]
"EG10351_RNA"	"mRNA"	[]	["EG10351"]	["LACTALDREDUCT-MONOMER"]
"EG10353_RNA"	"mRNA"	[]	["EG10353"]	["PD00444"]
"EG10355_RNA"	"mRNA"	[]	["EG10355"]	["EG10355-MONOMER"]
"EG10356_RNA"	"mRNA"	[]	["EG10356"]	["FUMA-MONOMER"]
"EG10357_RNA"	"mRNA"	[]	["EG10357"]	["FUMB-MONOMER"]
"EG10358_RNA"	"mRNA"	[]	["EG10358"]	["FUMC-MONOMER"]
"EG10359_RNA"	"mRNA"	[]	["EG10359"]	["PD00260"]
"EG10362_RNA"	"mRNA"	[]	["EG10362"]	["UDPGLUCEPIM-MONOMER"]
"EG10363_RNA"	"mRNA"	[]	["EG10363"]	["GALACTOKIN-MONOMER"]
"EG10364_RNA"	"mRNA"	[]	["EG10364"]	["PD03028"]
"EG10365_RNA"	"mRNA"	[]	["EG10365"]	["PD00261"]
"EG10367_RNA"	"mRNA"	[]	["EG10367"]	["GAPDH-A-MONOMER"]
"EG10369_RNA"	"mRNA"	[]	["EG10369"]	["GLUCDEHYDROG-MONOMER"]
"EG10370_RNA"	"mRNA"	[]	["EG10370"]	["EG10370-MONOMER"]
"EG10372_RNA"	"mRNA"	[]	["EG10372"]	["GDHA-MONOMER"]
"EG10374_RNA"	"mRNA"	[]	["EG10374"]	["EG10374-MONOMER"]
"EG10376_RNA"	"mRNA"	[]	["EG10376"]	["EG10376-MONOMER"]
"EG10383_RNA"	"mRNA"	[]	["EG10383"]	["GLUTAMINESYN-MONOMER"]
"EG10384_RNA"	"mRNA"	[]	["EG10384"]	["PROTEIN-PII"]
"EG10389_RNA"	"mRNA"	[]	["EG10389"]	["GLNQ-MONOMER"]
"EG10390_RNA"	"mRNA"	[]	["EG10390"]	["GLNS-MONOMER"]
"EG10394_RNA"	"mRNA"	[]	["EG10394"]	["AERGLYC3PDEHYDROG-MONOMER"]
"EG10399_RNA"	"mRNA"	[]	["EG10399"]	["GLYCPDIESTER-PERI-MONOMER"]
"EG10400_RNA"	"mRNA"	[]	["EG10400"]	["PD03576"]
"EG10402_RNA"	"mRNA"	[]	["EG10402"]	["CITSYN-MONOMER"]
"EG10405_RNA"	"mRNA"	[]	["EG10405"]	["GLTP-MONOMER"]
"EG10406_RNA"	"mRNA"	[]	["EG10406"]	["GLTS-MONOMER"]
"EG10407_RNA"	"mRNA"	[]	["EG10407"]	["GLURS-MONOMER"]
"EG10408_RNA"	"mRNA"	[]	["EG10408"]	["GLYOHMETRANS-MONOMER"]
"EG10411_RNA"	"mRNA"	[]	["EG10411"]	["6PGLUCONDEHYDROG-MONOMER"]
"EG10412_RNA"	"mRNA"	[]	["EG10412"]	["GLUTATHIONE-REDUCT-NADPH-MONOMER"]
"EG10413_RNA"	"mRNA"	[]	["EG10413"]	["PPPGPPHYDRO-MONOMER"]
"EG10414_RNA"	"mRNA"	[]	["EG10414"]	["GPT-MONOMER"]
"EG10415_RNA"	"mRNA"	[]	["EG10415"]	["EG10415-MONOMER"]
"EG10416_RNA"	"mRNA"	[]	["EG10416"]	["EG10416-MONOMER"]
"EG10417_RNA"	"mRNA"	[]	["EG10417"]	["RED-GLUTAREDOXIN"]
"EG10418_RNA"	"mRNA"	[]	["EG10418"]	["GLUTCYSLIG-MONOMER"]
"EG10422_RNA"	"mRNA"	[]	["EG10422"]	["GMP-REDUCT-MONOMER"]
"EG10423_RNA"	"mRNA"	[]	["EG10423"]	["EG10423-MONOMER"]
"EG10424_RNA"	"mRNA"	[]	["EG10424"]	["EG10424-MONOMER"]
"EG10425_RNA"	"mRNA"	[]	["EG10425"]	["7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"]
