"tu_id"	"tu_count"
"EG10979"	526.796666667
"EG10980"	719.8633333329998
"EG10981"	821.5599999999998
"EG10982"	1043.62
"EG10983"	226.3699999999999
"EG10984"	86.76666666670002
"EG10985"	391.496666667
"EG10986"	57.05666666669998
"EG10987"	614.706666667
"EG10988"	1009.12666667
"EG10989"	0.9700000000000273
"EG10990"	0.6833333333329998
"EG10991"	8.48333333333
"EG10992"	-0.0
"EG10993"	44.75333333329999
"EG10994"	62.499999999999986
"EG10995"	47.206666666699995
"EG10996"	172.613333333
"EG10997"	78.03666666669999
"EG10998"	996.9533333329999
"EG10999"	833.88
"EG11000"	822.0299999999999
"EG11001"	889.233333333
"EG11002"	191.993333333
"EG11003"	1590.31666667
