# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Sat Feb  7 18:27:48 2026
id	common_name	half_life (units.min)
"DIACYLGLYKIN-MONOMER"	"dgkA"	720.0
"DEOD-MONOMER"	"deoD"	720.0
"TSA-REDUCT-MONOMER"	"garR"	720.0
"G6558-MONOMER"	"dinI"	81.71557871580964
"EG10230-MONOMER"	"dksA"	479.75001190944806
"EG10239-MONOMER"	"dnaG"	720.0
"EG11415-MONOMER"	"dps"	266.54172757858913
"EG11311-MONOMER"	"dusB"	720.0
"NAPHTHOATE-SYN-MONOMER"	"menB"	720.0
"EG10271-MONOMER"	"exbB"	246.3981580527818
"EG11010-MONOMER"	"tolQ"	720.0
"EG10272-MONOMER"	"exbD"	139.87940012291338
"FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN"	"flgB"	141.4999281462545
"EG10322-MONOMER"	"fliL"	240.4354332216924
"EG11389-MONOMER"	"fliT"	12.249997453577574
"MONOMER0-2488"	"flhC"	25.333231367035108
"FLIG-FLAGELLAR-SWITCH-PROTEIN"	"fliG"	610.1022192921132
"EG10985-MONOMER"	"surA"	720.0
"G7352-MONOMER"	"bamD"	720.0
"EG11975-MONOMER"	"fliP"	720.0
"FOCA-MONOMER"	"focA"	720.0
"EG11158-MONOMER"	"fau"	720.0
"FUMA-MONOMER"	"fumA"	720.0
"ASPARTASE-MONOMER"	"aspA"	720.0
"SDH-FLAVO"	"sdhA"	720.0
"SDH-MEMB2"	"sdhD"	720.0
"FUM-FE-S"	"frdB"	720.0
"GLU6PDEHYDROG-MONOMER"	"zwf"	720.0
