"TUs"	"TU_Genes"	"Gene_Names"
TU0-13844	G7589 // G7588	"yqiK" // "yqiJ"
TU00404	EG11972 // EG11973	"htrE" // "yadV"
TU0-14241	G0-8887	"yncL"
TU0-14803	G6120 // G6121 // G0-10432 // G6122 // G6123 // G6124 // G6125	"ykfI" // "yafW" // "ykfH" // "ykfG" // "yafX" // "ykfF" // "ykfB"
TU0-4562	EG10357 // EG10006	"fumB" // "dcuB"
TU0-13047	G6403	"ybhL"
TU0-8486	EG11747	"panD"
TU0-13434	G7016 // G7015	"exoX" // "yobB"
TU00009	EG10079	"aroG"
TU0-13827	G7568	"ygiQ"
TU00388	EG10679	"osmB"
TU0-14226	EG10950	"slt"
TU0-14782	EG11092	"crl"
TU0-4405	G7345	"glrK"
TU0-8464	EG10873	"rplL"
TU0-13034	G6390 // G6389	"lysY" // "valZ"
TU0-13418	G6996	"pdeD"
TU0-901	EG10464	"lpxL"
TU0-13810	G7534	"yqgA"
TU0-13415	G6993	"yoaB"
TU0-8873	G6276	"allR"
TU0-13807	G7531 // G7530 // G7529 // G7528 // G7527	"yggW" // "rdgB" // "yggU" // "yggT" // "yggS"
TU00368	EG12393 // EG11168 // EG11169	"ttdT" // "ttdA" // "ttdB"
TU0-14206	G7938	"yjiT"
TU0-14744	EG11426 // EG11425	"waaZ" // "waaY"
TU0-42616	EG11002	"thyA"
TU0-8354	EG12258 // EG12259	"bcsZ" // "bcsB"
TU0-13013	G6357	"hscC"
TU0-13399	G6967	"yeaE"
TU0-8844	G0-9605	"ldrB"
TU00352	EG10920 // EG10239 // EG10896	"rpsU" // "dnaG" // "rpoD"
TU0-13791	G7514	"ygfF"
TU0-14189	G0-10570 // G0-10569	"insB-7_2" // "insB-7_1"
TU0-42589	EG10835	"relA"
TU0-8336	EG10283	"fbp"
TU0-12997	EG10856	"rna"
TU0-13381	G6929	"ydiZ"
TU0-8828	EG11288	"mak"
TU00333	EG11547 // EG11548	"rnt" // "lhr"
TU0-13775	G7491	"ygeY"
TU0-14172	G7882	"bdcR"
TU0-14683	EG10145	"creD"
TU0-42566	G7147	"mepS"
TU0-12979	G6313	"ybcV"
TU0-8321	EG11191 // EG10251	"slmA" // "dut"
TU0-13365	G6903	"fumD"
TU0-8812	EG12117	"ompX"
TU00314	G7693 // EG10685 // EG11497	"yhdT" // "panF" // "prmA"
TU0-13758	G7465	"yqeG"
TU0-14156	G7852	"bsmA"
TU0-14665	EG10334	"fre"
TU0-42538	EG12606	"fabF"
TU0-12962	EG12384 // G6289 // G6288 // G6287	"ybcF" // "ylbF" // "ylbE" // "fdrA"
TU0-8224	EG10591	"metR"
TU0-13349	EG10425	"hdhA"
TU0-8792	EG11741	"envR"
TU0-13740	EG12372	"ygdG"
TU00301	EG12427 // EG10002 // EG10152	"modA" // "modB" // "modC"
TU0-14138	G0-10472 // G7830	"ghoT" // "ghoS"
TU876	EG11030 // EG11871 // M004 // EG10204	"trpS" // "gph" // "rpe" // "dam"
TU0-14644	EG11797	"talA"
TU0-42514	EG11276	"tnaC"
TU0-12942	G58	"maa"
TU0-8121	EG11556	"talB"
TU0-13331	G6837 // G6836 // EG11304 // EG11303 // EG10227	"intQ" // "insD" // "ydfE" // "ydfD" // "dicB"
TU0-8772	EG10122	"bioH"
TU0-13723	G7421	"ygbN"
TU00282	EG11400 // EG11399 // EG11398	"yhiD" // "hdeB" // "hdeA"
TU0-14121	EG11934	"aphA"
TU801	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757 // EG11758	"hflC" // "hflK" // "hflX" // "hfq" // "miaA" // "mutL" // "amiB" // "tsaE" // "yjeF"
TU0-14622	EG10859	"rne"
TU0-42491	G7942	"yjiY"
TU0-12924	G6239 // G198	"panE" // "yajL"
TU0-7842	EG10919	"rpsT"
TU0-13314	G6817	"ydfJ"
TU0-8754	G7558	"gpr"
TU0-13704	G7387	"ileY"
TU00265	EG10272 // EG10271	"exbD" // "exbB"
TU0-14103	EG11915 // EG11543 // EG11702	"nfi" // "hemE" // "nudC"
TU743	EG10862 // EG10892	"rnpA" // "rpmH"
TU0-14576	EG12179	"cspE"
TU0-42467	EG10935	"sdiA"
TU0-12905	G6214	"yaiF"
TU0-7741	G6791	"ydeP"
TU0-13298	G6798	"lsrK"
TU0-8737	G7257	"yfeR"
TU0-13688	EG11783	"intA"
TU00249	EG12402 // EG12403	"chaB" // "chaC"
TU0-14077	EG11870	"yiiM"
TU65	G7072	"nac"
TU0-14550	EG10780 // EG10779 // EG10778 // EG10777	"pspE" // "pspD" // "pspC" // "pspB"
TU0-42448	G6638	"yciT"
TU0-12887	G6178 // G6177 // G6176	"ykgG" // "ykgF" // "ykgE"
