FE,ZN,MN,CU,MO,NI,CO,Protein ID
0,0,0,0,0,0,0,CPLX0-7624
0,0,0,0,0,0,0,CPLX0-7625
0,0,0,0,0,0,0,CPLX0-7626
0,0,0,0,0,0,0,CPLX0-7627
0,0,0,0,0,0,0,CPLX0-7628
0,0,0,0,0,0,0,CPLX0-7629
0,0,0,0,0,0,0,CPLX0-7630
0,0,6,0,0,0,0,CPLX0-7631
0,0,0,0,0,0,0,CPLX0-7632
0,4,0,0,0,0,0,CPLX0-7633
0,0,0,0,0,0,0,CPLX0-7641
0,0,0,0,0,0,0,CPLX0-7642
0,0,0,0,0,0,0,CPLX0-7643
0,0,0,0,0,0,0,CPLX0-7645
0,0,0,0,0,0,0,CPLX0-7646
0,0,0,0,0,0,0,CPLX0-7647
0,0,0,0,0,0,0,CPLX0-7648
0,0,0,0,0,0,0,CPLX0-7649
0,4,4,0,0,0,0,CPLX0-7652
0,0,0,0,0,0,0,CPLX0-7653
0,0,0,0,0,0,0,CPLX0-7654
0,0,0,0,0,0,0,CPLX0-7655
0,0,0,0,0,0,0,CPLX0-7658
0,2,0,0,0,0,0,CPLX0-7659
0,4,0,0,0,0,0,CPLX0-7660
0,0,0,0,0,0,0,CPLX0-7662
0,0,0,0,0,0,0,CPLX0-7666
0,2,0,0,0,0,0,CPLX0-7667
0,0,0,0,0,0,0,CPLX0-7668
0,0,0,0,0,0,0,CPLX0-7669
0,0,0,0,0,0,0,CPLX0-7672
0,0,0,0,0,0,0,CPLX0-7674
9,0,0,0,0,0,0,CPLX0-7675
0,0,0,0,0,0,0,CPLX0-7678
0,0,0,0,0,0,0,CPLX0-7679
0,0,0,0,0,0,0,CPLX0-7682
0,0,0,0,0,0,0,CPLX0-7683
0,0,0,0,0,0,0,CPLX0-7684
0,0,0,0,0,0,0,CPLX0-7685
0,0,0,0,0,0,0,CPLX0-7686
0,0,0,0,0,0,0,CPLX0-7687
0,0,0,0,0,0,0,CPLX0-7688
0,0,0,0,0,0,0,CPLX0-7691
0,0,0,0,0,0,0,CPLX0-7692
0,0,0,0,0,0,0,CPLX0-7693
0,0,0,0,0,0,0,CPLX0-7694
0,0,0,0,0,0,0,CPLX0-7695
0,0,0,0,0,0,0,CPLX0-7696
0,0,0,0,0,0,0,CPLX0-7697
0,0,0,0,0,0,0,CPLX0-7698
0,0,0,0,0,0,0,CPLX0-7704
0,0,0,0,0,0,0,CPLX0-7705
0,0,0,0,0,0,0,CPLX0-7707
0,0,0,0,0,0,0,CPLX0-7708
0,0,0,0,0,0,0,CPLX0-7709
0,0,0,0,0,0,0,CPLX0-7710
0,0,0,0,0,0,0,CPLX0-7711
0,0,0,0,0,0,0,CPLX0-7712
0,0,0,0,0,0,0,CPLX0-7713
0,0,0,0,0,0,0,CPLX0-7717
0,0,0,0,0,0,0,CPLX0-7718
8,0,0,0,0,0,0,CPLX0-7719
0,0,0,0,0,0,0,CPLX0-7720
0,0,0,0,0,0,0,CPLX0-7722
0,0,0,0,0,0,0,CPLX0-7723
0,0,0,0,0,0,0,CPLX0-7724
0,0,0,0,0,0,0,CPLX0-7725
0,0,0,0,0,0,0,CPLX0-7726
0,0,0,0,0,0,0,CPLX0-7727
0,0,0,0,0,0,0,CPLX0-7728
0,0,0,0,0,0,0,CPLX0-7731
0,0,0,0,0,0,0,CPLX0-7732
0,0,0,0,0,0,0,CPLX0-7733
0,0,0,0,0,0,0,CPLX0-7734
0,0,0,0,0,0,0,CPLX0-7740
0,0,0,0,0,0,2,CPLX0-7741
0,0,0,0,0,0,0,CPLX0-7744
0,0,0,0,0,0,0,CPLX0-7745
0,0,0,0,0,0,0,CPLX0-7747
0,0,0,0,0,0,0,CPLX0-7755
4,0,0,0,0,0,0,CPLX0-7756
0,0,0,0,0,0,0,CPLX0-7757
0,0,0,0,0,0,0,CPLX0-7758
0,0,0,0,0,0,0,CPLX0-7759
8,0,0,0,0,0,0,CPLX0-7760
0,0,0,0,0,0,0,CPLX0-7766
0,0,4,0,0,0,0,CPLX0-7776
0,0,0,0,0,0,0,CPLX0-7787
16,0,0,0,0,0,0,CPLX0-7788
0,0,0,0,0,0,0,CPLX0-7789
0,0,0,0,0,0,0,CPLX0-7791
0,0,0,0,0,0,0,CPLX0-7794
8,0,0,0,0,0,0,CPLX0-7797
0,3,0,0,0,0,0,CPLX0-7801
0,2,0,0,0,0,0,CPLX0-7802
8,0,0,0,0,0,0,CPLX0-7805
0,0,0,0,0,0,0,CPLX0-7806
0,0,0,0,0,0,0,CPLX0-7807
0,0,2,0,0,0,0,CPLX0-7808
2,0,0,0,0,0,0,CPLX0-7810
0,0,0,0,0,0,0,CPLX0-7811
0,0,0,0,0,0,0,CPLX0-7816
4,0,0,0,0,0,0,CPLX0-7817
0,0,0,0,0,0,0,CPLX0-7819
0,0,0,0,0,0,0,CPLX0-7820
0,2,0,0,0,0,0,CPLX0-7822
2,0,0,0,0,0,0,CPLX0-7823
0,0,0,0,0,0,0,CPLX0-7824
0,0,0,0,0,0,0,CPLX0-7826
0,0,0,0,0,0,0,CPLX0-7827
16,0,0,0,0,0,0,CPLX0-782
0,0,0,0,0,0,0,CPLX0-7835
0,0,0,0,0,0,0,CPLX0-7836
0,0,0,0,0,0,0,CPLX0-7837
0,0,0,0,0,0,0,CPLX0-7838
0,0,0,0,0,0,0,CPLX0-7839
0,0,0,0,0,0,0,CPLX0-7841
0,0,0,0,0,0,0,CPLX0-7843
0,0,0,0,0,0,0,CPLX0-7844
0,0,0,0,0,0,0,CPLX0-7847
0,0,0,0,0,0,0,CPLX0-7848
0,0,0,0,0,0,0,CPLX0-7852
0,0,0,0,0,0,0,CPLX0-7853
0,0,0,0,0,0,0,CPLX0-7854
0,0,0,0,0,0,0,CPLX0-7870
0,0,0,0,0,0,0,CPLX0-7877
0,0,0,0,0,0,0,CPLX0-7878
0,0,0,0,0,0,0,CPLX0-7882
0,0,0,0,0,0,0,CPLX0-7887
0,0,0,0,0,0,0,CPLX0-7888
0,0,0,0,0,0,0,CPLX0-7889
0,0,0,0,0,0,0,CPLX0-7904
0,0,0,0,0,0,0,CPLX0-7906
0,0,0,0,0,0,0,CPLX0-7908
0,0,0,0,0,0,0,CPLX0-7909
0,0,0,0,0,0,0,CPLX0-7910
0,0,0,0,0,0,0,CPLX0-7912
0,0,0,0,0,0,0,CPLX0-7913
0,0,0,0,0,0,0,CPLX0-7914
0,0,0,0,0,0,0,CPLX0-7916
0,0,0,0,0,0,0,CPLX0-7917
0,0,0,0,0,0,0,CPLX0-7921
0,0,0,0,0,0,0,CPLX0-7922
0,0,0,0,0,0,0,CPLX0-7923
0,0,0,0,0,0,0,CPLX0-7927
0,0,0,0,0,0,0,CPLX0-7928
0,0,0,0,0,0,0,CPLX0-7929
0,0,0,0,0,0,0,CPLX0-7932
0,0,0,0,0,0,0,CPLX0-7933
0,0,0,0,0,0,0,CPLX0-7934
0,0,0,0,0,0,0,CPLX0-7935
0,2,4,0,0,0,0,CPLX0-7936
0,0,0,0,0,0,0,CPLX0-7938
0,0,0,0,0,0,0,CPLX0-7939
0,0,0,0,0,0,0,CPLX0-7940
2,0,0,0,0,0,0,CPLX0-7942
0,0,0,0,0,0,0,CPLX0-7944
0,9,0,0,0,0,0,CPLX0-7945
0,0,0,0,0,0,0,CPLX0-7946
0,0,0,0,0,0,0,CPLX0-7947
0,0,0,0,0,0,0,CPLX0-7950
0,0,0,0,0,0,0,CPLX0-7951
0,0,0,0,0,0,0,CPLX0-7952
0,0,0,0,0,0,0,CPLX0-7955
0,0,0,0,0,0,0,CPLX0-7956
0,0,0,0,0,0,0,CPLX0-7957
0,0,0,0,0,0,0,CPLX0-7958
0,0,0,0,0,0,0,CPLX0-7959
0,0,0,0,0,0,0,CPLX0-7960
0,0,0,0,0,0,0,CPLX0-7961
0,0,0,0,0,0,0,CPLX0-7962
0,0,0,0,0,0,0,CPLX0-7963
0,0,0,0,0,0,0,CPLX0-7964
0,0,0,0,0,0,0,CPLX0-7970
0,0,0,0,0,0,0,CPLX0-7973
0,2,0,0,0,0,0,CPLX0-7974
0,0,0,0,0,0,0,CPLX0-7975
0,0,0,0,0,0,0,CPLX0-7976
