"Gene"	"M9 Glucose minus AAs"
"EG10858"	10.00894
"EG10859"	10.4316333333
"EG10860"	9.45964333333
"EG10861"	9.72471
"EG10862"	10.9936666667
"EG10863"	9.49407
"EG10864"	12.8091666667
"EG10865"	12.7471
"EG10866"	13.0237666667
"EG10867"	13.1741333333
"EG10868"	13.7866
"EG10869"	13.3755
"EG10870"	10.2924333333
"EG10871"	13.1573666667
"EG10872"	13.0892666667
"EG10873"	13.0764
"EG10874"	12.9327
"EG10875"	13.5254333333
"EG10876"	13.2790666667
"EG10877"	13.1571666667
"EG10878"	12.1321
"EG10879"	12.6378333333
"EG10880"	11.2843333333
"EG10881"	11.1980333333
"EG10882"	13.4792333333
"EG10883"	13.3164
"EG10884"	13.0012333333
"EG10885"	12.6231333333
"EG10886"	12.5518333333
"EG10887"	11.1099733333
"EG10888"	12.4600333333
"EG10889"	11.7979333333
"EG10890"	11.0800466667
"EG10891"	12.7416333333
"EG10892"	11.5418666667
"EG10893"	12.9912666667
"EG10894"	11.6492333333
"EG10895"	9.95746666667
"EG10896"	9.93754333333
"EG10897"	9.43057666667
"EG10898"	10.8040433333
"EG10899"	11.6927666667
"EG10900"	12.4992666667
"EG10901"	12.0033
"EG10902"	13.0497666667
"EG10903"	12.1560333333
"EG10904"	12.9182666667
"EG10905"	11.7452
"EG10906"	12.8848333333
"EG10907"	13.1962333333
"EG10908"	12.1973666667
"EG10909"	13.7703
"EG10910"	13.2704
"EG10911"	12.7620666667
"EG10912"	12.9881666667
"EG10913"	12.8682333333
"EG10914"	10.29834
"EG10915"	11.5429666667
"EG10916"	12.3483
"EG10917"	11.9453
"EG10918"	13.3598333333
"EG10919"	11.2183
"EG10920"	12.2420666667
"EG10921"	10.01434
"EG10922"	8.82121
"EG10925"	10.0945033333
"EG10926"	9.70959666667
"EG10927"	9.43666666667
"EG10928"	7.9623
"EG10929"	10.3032133333
"EG10930"	8.8089
"EG10931"	11.8714333333
"EG10932"	10.7620166667
"EG10933"	10.9413166667
"EG10934"	11.1881966667
"EG10935"	7.63594333333
"EG10936"	9.06635
"EG10937"	10.31655
"EG10938"	9.40389
"EG10939"	11.1546666667
"EG10940"	9.67178
"EG10941"	10.4364666667
"EG10942"	8.55095333333
"EG10943"	10.1877633333
"EG10944"	12.2319333333
"EG10945"	9.89838
"EG10946"	10.5614466667
"EG10947"	9.80365
"EG10948"	10.0809566667
"EG10949"	10.1968666667
"EG10950"	9.12057666667
"EG10951"	9.57830666667
"EG10952"	9.44983
"EG10953"	11.4979666667
"EG10954"	11.6377
"EG10955"	10.5044933333
"EG10956"	10.0102166667
"EG10957"	8.97456666667
"EG10958"	9.33826333333
"EG10959"	9.83489666667
"EG10960"	9.99903333333
"EG10961"	9.57455
"EG10962"	9.99554333333
"EG10963"	10.0836166667
"EG10964"	7.96265
"EG10965"	10.4916
"EG10966"	10.17762
"EG10967"	10.0958
"EG10968"	9.07990666667
"EG10969"	7.89962666667
"EG10970"	8.18179333333
"EG10971"	8.75231666667
"EG10972"	7.81640333333
"EG10973"	9.36062666667
"EG10974"	9.29747333333
"EG10975"	9.35067333333
"EG10976"	10.8753
"EG10977"	11.0025
"EG10978"	10.3029933333
"EG10979"	10.6680166667
"EG10980"	11.4601433333
"EG10981"	12.3837666667
"EG10982"	10.84116
"EG10983"	8.88281666667
"EG10984"	9.66860333333
"EG10985"	11.1495666667
"EG10986"	9.54922666667
"EG10987"	8.95801333333
"EG10988"	9.54649333333
"EG10989"	7.37317
"EG10990"	7.20302
"EG10991"	8.31426333333
"EG10992"	4.28894333333
"EG10993"	8.76301666667
"EG10994"	8.13259
"EG10995"	8.83389
"EG10996"	9.63434333333
"EG10997"	10.3113
"EG10998"	11.8848
"EG10999"	11.1811666667
"EG11000"	11.6286333333
"EG11001"	11.2199333333
"EG11002"	10.3142566667
"EG11003"	10.50384
"EG11004"	7.19677333333
"EG11005"	7.80863
"EG11006"	7.62129666667
"EG11007"	9.85874
"EG11008"	10.82193
"EG11009"	9.41587666667
"EG11010"	10.0008166667
"EG11011"	9.82061333333
"EG11012"	10.2990333333
"EG11013"	9.03839666667
"EG11014"	9.39852666667
"EG11015"	10.6005666667
"EG11016"	8.66830666667
"EG11017"	9.79831666667
"EG11018"	9.94563666667
"EG11019"	8.32590333333
"EG11020"	6.42872666667
"EG11021"	9.13070666667
"EG11022"	9.33268333333
"EG11023"	12.7795666667
"EG11024"	11.1702
"EG11025"	11.0534166667
"EG11026"	10.9403333333
"EG11027"	10.8379266667
"EG11028"	9.87356333333
"EG11029"	9.75935666667
"EG11030"	9.30693666667
"EG11031"	11.6051
"EG11032"	10.3834166667
"EG11033"	10.8755233333
"EG11034"	9.49904666667
"EG11035"	10.6069766667
"EG11036"	13.7289666667
"EG11037"	9.10687312087
"EG11038"	8.63888
"EG11039"	9.34538
"EG11040"	10.1554
"EG11041"	8.40186666667
"EG11042"	9.66703666667
"EG11043"	10.0338266667
"EG11044"	8.35006
"EG11045"	9.31764333333
"EG11046"	9.33145
"EG11047"	9.26325
"EG11048"	9.30403333333
"EG11049"	9.07231
"EG11050"	10.1147666667
"EG11051"	10.3616
"EG11052"	8.82137333333
"EG11053"	9.53666333333
"EG11054"	8.93780666667
"EG11055"	8.56366333333
