"Gene"	"M9 Glucose minus AAs"
"EG10551"	8.525975
"EG10552"	11.0668
"EG10553"	9.683135
"EG10554"	9.57797
"EG10555"	8.70704
"EG10556"	8.333265
"EG10557"	8.70059
"EG10558"	8.54398
"EG10559"	8.619925
"EG10560"	9.603315
"EG10561"	8.994315
"EG10562"	8.73294
"EG10563"	7.83202
"EG10564"	8.80908
"EG10565"	9.07364
"EG10566"	9.85307
"EG10567"	11.35965
"EG10568"	10.6834
"EG10569"	10.46655
"EG10570"	10.8698
"EG10571"	10.45095
"EG10572"	9.346425
"EG10573"	8.99367
"EG10574"	9.286145
"EG10575"	8.77286
"EG10576"	12.6608
"EG10577"	7.89144
"EG10578"	8.45879
"EG10579"	8.76747
"EG10580"	9.263675
"EG10581"	10.00442
"EG10582"	9.566185
"EG10583"	9.889605
"EG10584"	12.96235
"EG10585"	11.0579
"EG10586"	10.5394
"EG10587"	9.839795
"EG10588"	10.09217
"EG10589"	11.8556
"EG10590"	9.31737
"EG10591"	9.16375
"EG10592"	8.906815
"EG10593"	9.719555
"EG10594"	8.47787
"EG10595"	11.13665
"EG10596"	11.18165
"EG10597"	11.4005
"EG10598"	10.69455
"EG10599"	11.0434
"EG10600"	11.1328
"EG10601"	8.64057
"EG10602"	9.03695
"EG10603"	10.54055
"EG10604"	10.0624
"EG10605"	9.35977
"EG10606"	9.39411
"EG10607"	9.656135
"EG10608"	11.50725
"EG10609"	10.121415
"EG10610"	9.766545
"EG10611"	10.39389
"EG10612"	9.0575
"EG10613"	9.983075
"EG10614"	9.950805
"EG10615"	8.91058
"EG10616"	9.685905
"EG10617"	8.870105
"EG10618"	10.00058
"EG10619"	9.87424
"EG10620"	9.565675
"EG10621"	9.774315
"EG10622"	9.519935
"EG10623"	9.77943
"EG10624"	8.79868
"EG10625"	8.865185
"EG10626"	8.624035
"EG10627"	9.426185
"EG10628"	9.34437
"EG10629"	8.68996
"EG10630"	11.2034
"EG10631"	9.753155
"EG10632"	8.877705
"EG10633"	9.35069
"EG10634"	10.09317
"EG10635"	7.93449
"EG10636"	9.91751
"EG10637"	8.46972
"EG10638"	7.497165
"EG10639"	8.076945
"EG10640"	8.03566
"EG10641"	7.188215
"EG10642"	7.22075
"EG10643"	9.812705
"EG10644"	7.699635
"EG10645"	8.038735
"EG10646"	8.972665
"EG10647"	6.818895
"EG10648"	6.05863
"EG10649"	9.76786
"EG10650"	10.8842
"EG10651"	9.19837
