gene	protein_synthesis_rate__molecules_per_generation__MOPS_complete	protein_synthesis_rate__molecules_per_generation__MOPS_minimal	mrna_level__RPKM	translation_efficiency
xseA	559	267	76	0.57
xseB	1871	557	130	1.1
xthA	3914	1111	105	2.86
xylA	20	13	8	0.19
xylB	67	61	8	0.62
xylE	[0]	[0]	[3]	NA
xylF	[1]	6	[1]	NA
xylG	[0]	[1]	[1]	NA
xylH	[5]	[4]	[3]	NA
xylR	138	47	8	1.28
yaaA	1335	494	50	2.07
yaaH	1461	38	85	1.32
yaaI	[5]	[1]	[1]	NA
yaaJ	13	9	[4]	NA
yaaU	[0]	[1]	[1]	NA
yaaW	30	[5]	[3]	NA
yaaX	121	78	33	0.28
yaaY	[0]	[0]	[16]	NA
yabI	101	30	36	0.22
yacC	421	238	35	0.92
yacF	1983	373	113	1.35
yacG	3248	796	128	1.95
yacH	[0]	[1]	[0]	NA
yacL	1628	374	89	1.41
yadB	116	42	29	0.31
yadC	[5]	[3]	[2]	NA
yadD	19	8	10	0.15
yadE	63	14	10	0.49
yadG	724	292	42	1.33
yadH	631	178	51	0.96
yadI	[26]	12	[13]	NA
yadK	[1]	[4]	[1]	NA
yadL	[7]	14	[1]	NA
yadM	[6]	13	[1]	NA
yadN	[9]	[0]	[0]	NA
yadS	183	49	36	0.39
yaeB	430	114	67	0.49
yaeF	[1]	[1]	[3]	NA
yaeH	1093	1682	47	1.79
yaeI	[0]	[3]	[5]	NA
yaeJ	73	23	30	0.19
yaeP	828	665	87	0.73
yaeQ	570	139	41	1.06
yaeR	330	218	[19]	NA
yafC	316	134	14	1.73
yafD	221	164	27	0.62
yafE	[5]	5	17	0.02
yafJ	341	212	50	0.53
yafK	2380	786	112	1.63
yafL	[5]	[2]	[2]	NA
yafM	84	49	[5]	NA
yafN	311	128	[16]	NA
yafO	63	30	[10]	NA
yafP	80	23	[7]	NA
yafQ	136	184	[23]	NA
yafS	73	60	17	0.34
yafT	82	9	[8]	NA
yafV	113	170	16	0.54
yafW	[1]	[0]	[0]	NA
yafX	[2]	[0]	[0]	NA
yafY	36	21	[4]	NA
yafZ	18	[5]	[0]	NA
yagA	[0]	[1]	[0]	NA
yagE	141	22	[6]	NA
yagF	72	9	8	0.69
yagG	17	17	[2]	NA
yagH	60	47	[3]	NA
yagI	101	74	39	0.2
yagK	37	10	[6]	NA
yagL	32	15	[3]	NA
yagM	[11]	7	[0]	NA
yagN	1993	2224	35	4.39
yagU	1665	2520	55	2.34
yagV	[14]	12	[4]	NA
yagW	8	10	[2]	NA
yagX	[0]	[1]	[1]	NA
yahA	242	483	26	0.72
yahB	27	19	[7]	NA
yahC	[8]	[3]	[1]	NA
yahD	21	25	[1]	NA
yahE	[0]	[0]	[0]	NA
yahF	[5]	5	[1]	NA
yahG	[5]	9	[1]	NA
yahI	[5]	[3]	[1]	NA
yahJ	145	79	11	0.98
yahK	154	2250	[7]	NA
yahL	[1]	[1]	[0]	NA
yahM	[3]	[0]	[18]	NA
yahN	18	7	[2]	NA
yahO	164	3826	[5]	NA
yaiA	129	606	[37]	NA
yaiE	2065	1957	62	2.56
yaiI	464	120	34	1.05
yaiL	1059	526	42	1.93
yaiO	[3]	[3]	[2]	NA
yaiP	9	[2]	[1]	NA
yaiS	25	[3]	[1]	NA
yaiV	[0]	[0]	[0]	NA
yaiW	305	108	22	1.05
yaiY	[7]	48	[2]	NA
yaiZ	248	124	[24]	NA
yajC	26903	8494	1037	2
yajD	665	428	29	1.78
yajG	7238	2277	196	2.84
yajI	45	63	[2]	NA
yajL	1096	540	47	1.78
yajO	246	661	18	1.08
yajQ	14080	4633	417	2.6
yajR	146	32	31	0.37
ybaA	[1]	43	[3]	NA
ybaB	19500	4508	457	3.28
ybaE	11	10	[2]	NA
ybaK	1532	596	41	2.84
ybaL	341	124	49	0.54
ybaM	670	316	[31]	NA
ybaN	196	66	28	0.54
ybaO	243	61	27	0.7
ybaP	64	50	15	0.32
ybaQ	943	429	57	1.28
ybaS	[13]	317	[2]	NA
ybaT	[5]	73	[3]	NA
ybaV	41	23	[12]	NA
ybaY	559	2510	17	2.47
ybaZ	116	66	[11]	NA
ybbA	65	77	[9]	NA
ybbC	60	82	[5]	NA
ybbJ	89	55	[14]	NA
ybbL	285	147	15	1.49
ybbM	110	46	13	0.65
ybbN	5221	1604	153	2.63
ybbO	450	136	42	0.81
ybbP	37	32	7	0.38
ybbW	[0]	[0]	[0]	NA
ybbY	[4]	6	[1]	NA
ybcF	[7]	[2]	[2]	NA
ybcH	117	38	[7]	NA
ybcI	[6]	[4]	[3]	NA
ybcJ	3974	1294	189	1.62
ybcK	12	[2]	[1]	NA
ybcL	[20]	34	[3]	NA
ybcM	24	42	[3]	NA
ybcN	[0]	[0]	[0]	NA
ybcO	[0]	[0]	[0]	NA
ybcV	[2]	[0]	[2]	NA
ybcW	62	[19]	[12]	NA
ybdD	147	262	[10]	NA
ybdF	163	143	[12]	NA
ybdH	113	304	15	0.58
ybdJ	714	183	[32]	NA
ybdK	[12]	122	[1]	NA
ybdL	105	278	7	1.15
ybdM	79	46	[2]	NA
ybdN	[3]	[3]	[2]	NA
ybdO	[5]	[4]	[0]	NA
ybdR	[4]	53	[3]	NA
ybdZ	[27]	21	[5]	NA
ybeB	4975	796	283	1.35
ybeD	8919	2166	246	2.78
ybeF	21	5	[5]	NA
ybeL	463	1899	[11]	NA
ybeQ	[1]	[1]	[2]	NA
ybeR	[0]	[0]	[0]	NA
ybeT	[4]	[1]	[1]	NA
ybeU	[4]	[1]	[0]	NA
ybeX	1280	665	157	0.63
ybeY	1611	475	137	0.9
ybeZ	2115	885	121	1.35
ybfA	1314	1546	49	2.05
ybfB	[1]	[2]	[1]	NA
ybfC	22	34	[1]	NA
ybfD+yhhI	[0]	[0]	[1]	NA
ybfE	960	155	62	1.19
ybfF	679	330	29	1.83
ybfK	[0]	[0]	[0]	NA
ybfP	[19]	[9]	[4]	NA
ybgA	[11]	126	[2]	NA
ybgC	790	244	187	0.33
ybgD	[2]	[2]	[0]	NA
ybgE	520	99	123	0.33
ybgF	5262	1511	666	0.61
ybgI	1665	1725	67	1.9
ybgJ	269	241	63	0.33
ybgK	308	289	53	0.45
ybgL	142	137	38	0.29
ybgO	[0]	[0]	[1]	NA
ybgP	[3]	[1]	[1]	NA
ybgQ	[0]	[0]	[0]	NA
ybgS	34	781	[3]	NA
ybgT	4293	1429	157	2.11
ybhA	1680	453	51	2.56
ybhB	672	772	103	0.5
ybhC	4039	1213	198	1.57
ybhD	[1]	[3]	[1]	NA
ybhF	50	33	14	0.27
ybhG	148	127	21	0.55
ybhH	[0]	[1]	[0]	NA
ybhI	[0]	[0]	[1]	NA
ybhJ	26	8	[3]	NA
ybhK	166	67	27	0.47
ybhL	1216	832	75	1.24
ybhM	[16]	[6]	[3]	NA
ybhN	[1]	15	[1]	NA
ybhO	[3]	92	[1]	NA
ybhP	[8]	127	[1]	NA
ybhQ	257	130	31	0.64
ybhR	30	32	[5]	NA
ybhS	33	27	8	0.32
ybhT	7148	2118	532	1.03
ybiA	35	10	[4]	NA
ybiB	817	875	34	1.87
ybiC	914	2062	30	2.35
ybiH	69	59	18	0.29
ybiI	[4]	81	[1]	NA
ybiJ	609	488	[8]	NA
ybiO	[2]	25	[1]	NA
ybiP	250	38	26	0.75
ybiR	112	36	30	0.28
ybiS	4910	1558	220	1.71
ybiT	3239	477	140	1.78
ybiU	169	292	8	1.72
ybiV	486	363	24	1.54
ybiW	[2]	7	[1]	NA
ybiX	[20]	28	[3]	NA
ybiY	[0]	[0]	[0]	NA
ybjC	46	38	65	0.05
ybjD	183	84	16	0.86
ybjE	287	121	23	0.97
ybjG	623	144	62	0.77
ybjH	[28]	[12]	[18]	NA
ybjI	291	182	18	1.26
ybjJ	167	50	19	0.66
ybjK	73	26	[8]	NA
ybjL	406	84	40	0.79
ybjM	[12]	22	[10]	NA
ybjN	1365	367	106	0.99
ybjO	79	30	36	0.17
ybjP	885	2099	25	2.73
ybjQ	853	911	37	1.77
ybjS	404	119	40	0.78
ybjT	60	57	20	0.23
ybjX	2797	507	107	2.01
ycaC	[6]	1483	[2]	NA
ycaD	291	60	51	0.43
ycaI	[2]	2	[3]	NA
ycaK	154	117	[5]	NA
ycaL	52	22	[7]	NA
ycaM	14	[2]	[3]	NA
ycaN	23	27	[6]	NA
ycaO	4641	448	172	2.07
ycaP	[2]	74	[2]	NA
ycaQ	[4]	[4]	7	0.04
ycaR	6875	1594	198	2.67
ycbB	81	135	17	0.38
ycbC	112	40	[9]	NA
ycbF	[2]	[5]	[2]	NA
ycbJ	16	28	[4]	NA
ycbK	1862	1407	111	1.29
ycbL	1759	706	140	0.96
ycbU	[10]	8	[1]	NA
ycbV	[9]	11	[2]	NA
ycbW	155	280	41	0.29
ycbX	649	305	28	1.76
ycbZ	700	131	81	0.66
yccA	8269	3556	447	1.42
yccB	[70]	95	[5]	NA
yccE	[5]	5	[1]	NA
yccF	802	303	68	0.9
yccJ	168	2670	[11]	NA
yccK	1378	297	74	1.44
yccM	[4]	[3]	[1]	NA
yccS	247	45	47	0.4
yccT	[1]	27	[1]	NA
yccU	1919	1221	40	3.69
yccX	192	315	[9]	NA
ycdT	11	7	[4]	NA
ycdU	[0]	[0]	[1]	NA
ycdX	922	649	68	1.04
ycdY	2564	1195	88	2.25
ycdZ	205	51	61	0.26
yceA	3422	1734	147	1.79
yceB	572	215	29	1.51
yceD	5980	1290	3835	0.12
yceF	720	749	26	2.11
yceG	312	70	44	0.55
yceH	813	641	49	1.28
yceI	587	1037	[12]	NA
yceJ	[16]	19	[5]	NA
yceK	62	36	[9]	NA
yceM	154	122	35	0.34
yceO	[9]	[7]	[1]	NA
yceQ	[0]	[0]	[1]	NA
ycfD	1969	756	92	1.65
ycfH	1428	281	66	1.66
ycfJ	30	79	20	0.11
ycfL	141	82	124	0.09
ycfM	1490	954	97	1.18
ycfP	1741	1110	70	1.92
ycfQ	227	129	25	0.71
ycfS	461	125	21	1.67
ycfT	[0]	[0]	[0]	NA
ycfZ	[13]	[4]	[3]	NA
ycgB	[5]	287	[1]	NA
ycgE	198	208	20	0.76
ycgF	[11]	41	[1]	NA
ycgG	[0]	3	[1]	NA
ycgJ	461	358	23	1.56
ycgL	2328	890	91	1.97
ycgM	304	531	50	0.47
ycgN	714	246	40	1.39
ycgR	[3]	9	[1]	NA
ycgV	[2]	3	3	0.04
ycgX	64	12	[16]	NA
ycgY	[9]	[5]	[1]	NA
ycgZ	232	292	[9]	NA
ychA	361	147	93	0.3
ychE	188	10	25	0.57
ychF	11634	1907	327	2.74
ychH	100	241	[15]	NA
ychJ	836	328	101	0.63
ychM	321	34	35	0.71
ychN	2551	1120	74	2.65
ychO	26	21	7	0.3
ychQ	48	[7]	56	0.07
yciA	2781	426	147	1.46
yciB	1148	214	75	1.17
yciC	1029	182	74	1.08
yciE	24	158	[1]	NA
yciF	[3]	164	[0]	NA
yciG	[2]	519	[0]	NA
yciH	1768	628	133	1.03
yciI	1251	2149	40	2.41
yciK	479	238	24	1.51
yciM	147	93	42	0.27
yciN	5534	674	199	2.14
yciO	1415	568	56	1.93
yciQ	5	5	8	0.04
yciS	702	351	89	0.61
yciT	1461	304	59	1.92
yciU	1564	523	80	1.5
yciV	104	45	37	0.22
yciW	10	490	9	0.09
yciX	744	642	90	0.63
yciY	3200	895	237	1.04
yciZ	198	216	[40]	NA
ycjD	[4]	[1]	[8]	NA
ycjF	284	112	23	0.94
ycjG	96	101	10	0.72
ycjM	[1]	[0]	[0]	NA
ycjN	[0]	[1]	[0]	NA
ycjO	[0]	[0]	[0]	NA
ycjP	[2]	[0]	[0]	NA
ycjQ	[13]	13	[1]	NA
ycjR	[6]	7	[1]	NA
ycjS	[1]	[2]	[1]	NA
ycjT	[1]	[2]	[1]	NA
ycjU	[0]	[0]	[0]	NA
ycjW	88	68	[7]	NA
ycjX	254	98	24	0.82
ycjY	25	69	[1]	NA
ycjZ	107	74	12	0.69
ydaC	[11]	[11]	[2]	NA
ydaE	[0]	[0]	[0]	NA
ydaF	[25]	[13]	[4]	NA
ydaG	[55]	[13]	[0]	NA
ydaL	341	140	35	0.76
ydaM	[7]	257	[2]	NA
ydaN	243	158	23	0.81
ydaQ	[0]	[3]	[0]	NA
ydaS	[16]	[9]	[2]	NA
ydaT	[24]	26	[2]	NA
ydaU	[6]	[5]	[1]	NA
ydaV	[3]	[2]	[1]	NA
ydbC	60	261	[3]	NA
ydbD	[1]	1	[1]	NA
ydbH	90	25	16	0.43
ydbJ	1254	1385	44	2.2
ydbK	924	304	58	1.23
ydbL	190	114	[19]	NA
ydcA	83	50	[29]	NA
ydcC	[0]	[0]	[0]	NA
ydcD	[9]	10	[3]	NA
ydcF	485	454	31	1.22
ydcH	67	85	[11]	NA
ydcI	458	506	30	1.19
ydcJ	[1]	11	[2]	NA
ydcK	[3]	83	[1]	NA
ydcL	540	882	30	1.37
ydcN	58	35	[15]	NA
ydcO	[8]	12	[2]	NA
ydcP	810	203	71	0.88
ydcR	213	90	18	0.93
ydcS	11	103	[1]	NA
ydcT	[2]	10	[1]	NA
ydcU	[1]	6	[2]	NA
ydcV	[1]	[5]	[1]	NA
ydcX	383	104	[30]	NA
ydcY	5960	1943	176	2.6
ydcZ	28	29	[9]	NA
yddA	[7]	4	[1]	NA
yddB	19	18	[2]	NA
yddE	234	195	14	1.25
yddG	138	86	12	0.93
yddH	[3]	49	[2]	NA
yddJ	[0]	[1]	[0]	NA
yddM	252	130	[21]	NA
yddW	282	122	22	1
ydeA	202	95	19	0.84
ydeE	43	18	[5]	NA
ydeH	[6]	13	[2]	NA
ydeI	[34]	213	[0]	NA
ydeJ	[13]	38	[0]	NA
ydeM	[0]	[3]	[0]	NA
ydeN	24	32	[1]	NA
ydeO	[8]	8	[0]	NA
ydeP	22	23	[2]	NA
ydeQ	[7]	[5]	[0]	NA
ydeR	[2]	[0]	[1]	NA
ydeS	[1]	[3]	[1]	NA
ydfA	[48]	[22]	[6]	NA
ydfB	[42]	[5]	[3]	NA
ydfC	83	29	[6]	NA
ydfD	[7]	[3]	[2]	NA
ydfG	3930	3017	119	2.54
ydfH	519	186	38	1.04
ydfI	43	15	[3]	NA
ydfO	[27]	[4]	[4]	NA
ydfR	[6]	[5]	[1]	NA
ydfU	[3]	[1]	[0]	NA
ydfV	[0]	[0]	[0]	NA
ydfZ	265	260	[14]	NA
ydgA	1875	871	92	1.57
ydgC	152	121	[13]	NA
ydgD	103	92	17	0.46
ydgH	4472	2760	137	2.52
ydgI	275	9	50	0.42
ydgJ	344	468	30	0.87
ydgK	425	168	82	0.4
ydgU	[0]	[0]	[0]	NA
ydhB	114	43	11	0.82
ydhC	785	40	60	1
ydhF	897	460	30	2.27
ydhI	237	41	[27]	NA
ydhJ	196	27	20	0.77
ydhK	33	6	10	0.26
ydhL	[9]	46	[4]	NA
ydhO	265	238	18	1.12
ydhP	130	107	10	0.99
ydhQ	1192	707	56	1.63
ydhR	2211	2425	78	2.19
ydhS	[7]	192	[1]	NA
ydhT	[0]	[2]	[1]	NA
ydhU	[1]	[4]	[2]	NA
ydhV	[0]	[1]	[1]	NA
ydhW	[1]	[1]	[2]	NA
ydhX	[2]	[6]	[0]	NA
ydhY	[1]	[2]	[1]	NA
ydhZ	1033	413	43	1.86
ydiB	[12]	8	[3]	NA
ydiE	189	65	[15]	NA
ydiF	14	8	[1]	NA
ydiH	609	2849	[6]	NA
ydiI	646	755	44	1.14
ydiJ	728	897	41	1.35
ydiK	789	137	57	1.07
ydiL	[0]	[4]	[0]	NA
ydiM	[0]	[0]	[0]	NA
ydiN	[0]	[0]	[0]	NA
ydiO	32	20	[1]	NA
ydiP	25	55	[2]	NA
ydiQ	[5]	9	[1]	NA
ydiR	[13]	18	[1]	NA
ydiS	[1]	4	[1]	NA
ydiT	[5]	[9]	[0]	NA
ydiU	205	153	36	0.43
ydiV	22	17	12	0.14
ydiY	5888	170	270	1.68
ydiZ	104	990	[8]	NA
ydjA	2089	1300	71	2.27
ydjE	[5]	[1]	[2]	NA
ydjF	304	108	19	1.2
ydjG	31	16	[2]	NA
ydjH	[3]	5	[1]	NA
ydjI	19	17	[1]	NA
ydjJ	[7]	10	[1]	NA
ydjK	[0]	[0]	[1]	NA
ydjL	17	10	[1]	NA
ydjM	79	[7]	[11]	NA
ydjN	220	2257	19	0.88
ydjO	[0]	[4]	[0]	NA
ydjX	[8]	[3]	[1]	NA
ydjY	19	23	[2]	NA
ydjZ	[11]	10	[5]	NA
yeaC	2446	2258	107	1.76
yeaD	1320	1683	40	2.53
yeaE	117	93	10	0.9
yeaG	9	1047	[3]	NA
yeaH	[1]	148	[1]	NA
yeaI	[0]	[1]	[0]	NA
yeaJ	68	24	16	0.33
yeaK	747	565	32	1.81
yeaL	127	39	[10]	NA
yeaM	70	34	[9]	NA
yeaN	36	11	[4]	NA
yeaO	270	485	[13]	NA
yeaP	191	158	24	0.6
yeaQ	1309	6474	55	1.84
yeaR	[8]	48	[0]	NA
yeaV	[0]	[0]	[0]	NA
yeaW	[4]	[3]	[0]	NA
yeaX	[7]	8	[1]	NA
yeaY	676	168	98	0.53
yeaZ	1862	304	115	1.25
yebA	341	379	37	0.7
yebB	[3]	[1]	[1]	NA
yebC	13702	2970	461	2.29
yebE	115	85	[5]	NA
yebF	196	3848	53	0.29
yebG	2308	748	63	2.81
yebK	338	135	31	0.85
yebN	185	30	24	0.6
yebO	2186	507	214	0.79
yebQ	13	4	[2]	NA
yebR	2144	1498	165	1
yebS	47	35	14	0.26
yebT	126	77	15	0.63
yebV	[29]	2582	[7]	NA
yebW	77	88	[18]	NA
yebY	2349	1025	91	1.98
yebZ	211	63	78	0.21
yecA	566	379	37	1.17
yecC	379	440	31	0.94
yecD	463	291	30	1.2
yecE	75	37	14	0.41
yecF	6793	868	160	3.26
yecH	[49]	42	[5]	NA
yecJ	3696	600	83	3.44
yecM	438	210	30	1.11
yecN	218	144	117	0.14
yecR	[31]	[5]	[2]	NA
yecS	317	288	29	0.83
yecT	[14]	[5]	[4]	NA
yedA	[14]	[4]	[2]	NA
yedD	5007	1276	154	2.5
yedE	2440	392	136	1.38
yedF	2982	735	139	1.65
yedI	267	161	23	0.89
yedJ	94	85	31	0.23
yedK	[15]	34	[2]	NA
yedL	[25]	217	[3]	NA
yedP	24	227	[2]	NA
yedQ	41	42	8	0.38
yedR	509	191	34	1.14
yedV	54	43	8	0.54
yedW	166	80	22	0.59
yedY	23	85	[6]	NA
yedZ	[15]	27	[4]	NA
yeeA	108	24	19	0.44
yeeD	477	2008	[13]	NA
yeeE	19	290	[4]	NA
yeeF	18110	1081	1286	1.08
yeeJ	3	5	2	0.11
yeeN	3544	1618	130	2.1
yeeO	15	13	[3]	NA
yeeR	[3]	3	[1]	NA
yeeS	[0]	[0]	[1]	NA
yeeT	[4]	[1]	[0]	NA
yeeU	[0]	[0]	[0]	NA
yeeV	[4]	[2]	[0]	NA
yeeX	13270	6787	296	3.45
yeeY	[4]	12	9	0.03
yeeZ	904	600	53	1.31
yefM	990	722	[31]	NA
yegD	321	70	32	0.77
yegE	12	26	4	0.23
yegH	301	59	26	0.88
yegI	[2]	[2]	[1]	NA
yegJ	[14]	[9]	[1]	NA
yegK	[0]	[0]	[0]	NA
yegL	[3]	[1]	[1]	NA
yegP	[40]	1974	[2]	NA
yegQ	3663	620	159	1.77
yegR	[30]	51	[2]	NA
yegS	18	170	[1]	NA
yegT	19	7	[2]	NA
yegU	146	34	9	1.28
yegV	45	12	[5]	NA
yegW	188	92	18	0.79
yegX	[2]	4	[4]	NA
yehA	[2]	[2]	[0]	NA
yehB	[0]	[1]	[1]	NA
yehC	[0]	[0]	[0]	NA
yehD	[15]	11	[0]	NA
yehE	57	633	[11]	NA
yehI	[2]	3	[1]	NA
yehK	[0]	[2]	[0]	NA
yehL	[5]	[1]	[1]	NA
yehM	[0]	[0]	[1]	NA
yehP	[1]	[1]	[1]	NA
yehR	38	12	[3]	NA
yehS	946	136	49	1.47
yehT	152	52	16	0.73
yehU	59	18	14	0.32
yehW	[3]	33	[1]	NA
yehX	[7]	65	[2]	NA
yehY	[3]	28	[2]	NA
yeiA	23	14	[3]	NA
yeiB	32	50	29	0.09
yeiE	237	111	27	0.67
yeiG	489	987	19	1.95
yeiH	168	46	18	0.72
yeiI	42	20	21	0.15
yeiL	[3]	[6]	[1]	NA
yeiP	8692	1752	200	3.35
yeiQ	177	48	12	1.14
yeiR	442	149	27	1.27
yeiS	371	103	[18]	NA
yeiT	30	14	[2]	NA
yeiW	[12]	[4]	[7]	NA
yejA	51	59	7	0.59
yejB	18	20	[7]	NA
yejE	33	26	8	0.32
yejF	29	31	8	0.28
yejG	1879	834	115	1.26
yejH	113	43	9	1.01
yejK	2214	578	99	1.72
yejL	7207	1749	228	2.43
yejM	201	106	77	0.2
yfaA	[3]	[1]	[4]	NA
yfaD	133	86	[8]	NA
yfaE	814	89	219	0.29
yfaL	3	3	3	0.07
yfaP	[1]	[2]	[1]	NA
yfaQ	[0]	[0]	[1]	NA
yfaT	[0]	[0]	[1]	NA
yfaY	653	182	34	1.46
yfaZ	3657	269	123	2.29
yfbK	[1]	3	[1]	NA
yfbL	[3]	[1]	[1]	NA
yfbM	[13]	11	[1]	NA
yfbN	[2]	[3]	[1]	NA
yfbO	[9]	[10]	[3]	NA
yfbP	16	8	[4]	NA
yfbR	616	252	19	2.53
yfbS	21	13	8	0.2
yfbT	488	289	86	0.44
yfbU	2882	2226	102	2.17
yfbV	806	489	34	1.82
yfcA	190	84	45	0.32
yfcC	[8]	[0]	[2]	NA
yfcD	3558	1385	146	1.88
yfcE	1823	664	141	1
yfcF	70	253	[5]	NA
yfcG	[6]	216	[0]	NA
yfcH	307	287	105	0.22
yfcI	47	31	[4]	NA
yfcJ	133	21	14	0.71
yfcL	2775	946	105	2.03
yfcM	238	116	50	0.36
yfcN	784	236	42	1.43
yfcO	92	79	22	0.32
yfcP	[1]	[3]	[1]	NA
yfcQ	[1]	[3]	[1]	NA
yfcR	[1]	[1]	[1]	NA
yfcS	[0]	[1]	[0]	NA
yfcV	[9]	[0]	[0]	NA
yfcZ	8490	1233	291	2.25
yfdC	[12]	129	[2]	NA
yfdE	[9]	6	[1]	NA
yfdF	[11]	15	[1]	NA
yfdK	[27]	20	[3]	NA
yfdN	[0]	[0]	[0]	NA
yfdP	[4]	[9]	[1]	NA
yfdQ	90	46	[2]	NA
yfdR	[0]	[0]	[1]	NA
yfdS	[5]	[3]	[0]	NA
yfdT	[4]	[1]	[1]	NA
yfdV	[1]	[2]	[1]	NA
yfdX	24	33	[1]	NA
yfdY	169	101	[28]	NA
yfeA	90	34	26	0.27
yfeC	75	38	[19]	NA
yfeD	247	77	[19]	NA
yfeH	407	105	36	0.86
yfeK	[21]	22	[3]	NA
yfeN	[2]	[2]	[2]	NA
yfeO	12	20	[2]	NA
yfeR	95	28	[7]	NA
yfeS	[10]	13	[6]	NA
yfeW	26	15	[5]	NA
yfeX	3527	720	143	1.9
yfeY	350	257	61	0.44
yfeZ	153	59	46	0.26
yffB	2070	559	76	2.1
yffL	126	56	[7]	NA
yffM	[0]	[0]	[1]	NA
yffN	[3]	[9]	[1]	NA
yffO	[27]	41	[1]	NA
yffP	[22]	40	[2]	NA
yffQ	[5]	[6]	[2]	NA
yffR	255	171	22	0.89
yffS	777	356	28	2.16
yfgC	181	228	30	0.46
yfgD	5293	2194	116	3.52
yfgF	[0]	[1]	[2]	NA
yfgG	991	882	[33]	NA
yfgH	[11]	7	[2]	NA
yfgI	[12]	11	[2]	NA
yfgJ	1438	459	87	1.27
yfgM	2852	905	269	0.82
yfgO	287	91	41	0.54
yfhB	218	127	20	0.83
yfhG	143	70	27	0.41
yfhH	145	95	14	0.79
yfhL	773	209	46	1.29
yfhM	99	93	21	0.37
yfhR	[2]	[0]	[2]	NA
yfiB	285	238	[10]	NA
yfiC	255	82	21	0.93
yfiD	7560	2863	173	3.37
yfiE	111	31	9	0.91
yfiF	3949	1001	176	1.72
yfiH	546	176	85	0.49
yfiL	[10]	46	[1]	NA
yfiM	[17]	16	[11]	NA
yfiN	27	25	7	0.31
yfiP	478	54	26	1.39
yfiQ	20	33	9	0.17
yfiR	35	24	19	0.14
yfjD	246	54	41	0.46
yfjF	1937	273	107	1.39
yfjG	2719	437	176	1.19
yfjH	74	58	[4]	NA
yfjI	[7]	6	[0]	NA
yfjJ	[10]	[5]	[1]	NA
yfjK	40	64	8	0.38
yfjL	40	34	14	0.22
yfjM	[3]	[2]	[4]	NA
yfjO	122	110	44	0.21
yfjP	20	6	[2]	NA
yfjQ	30	17	[0]	NA
yfjR	[0]	[0]	[3]	NA
yfjS	41	[10]	[2]	NA
yfjT	35	16	[1]	NA
yfjW	16	51	[3]	NA
yfjX	[0]	[0]	[0]	NA
yfjY	[0]	[1]	[0]	NA
yfjZ	[7]	[2]	[1]	NA
ygaC	173	246	[8]	NA
ygaD	795	404	61	1
ygaH	231	94	110	0.16
ygaM	114	4734	[4]	NA
ygaP	199	129	[9]	NA
ygaU	418	3709	26	1.24
ygaV	143	32	[12]	NA
ygaW	80	[4]	[8]	NA
ygaZ	314	132	118	0.2
ygbA	49	30	[6]	NA
ygbE	83	51	[14]	NA
ygbF	[19]	13	[6]	NA
ygbI	207	87	17	0.94
ygbJ	18	6	[2]	NA
ygbK	[7]	[2]	[2]	NA
ygbL	[6]	[2]	[2]	NA
ygbM	21	25	[3]	NA
ygbN	[5]	[2]	[2]	NA
ygbT	[5]	13	[6]	NA
ygcB	[2]	2	[1]	NA
ygcE	10	7	[1]	NA
ygcF	1119	215	51	1.68
ygcG	[7]	[2]	[1]	NA
ygcN	[2]	[1]	7	0.02
ygcO	[7]	[5]	[3]	NA
ygcP	[16]	[8]	[2]	NA
ygcQ	[8]	4	[2]	NA
ygcR	[6]	[5]	[2]	NA
ygcS	[0]	[0]	[1]	NA
ygcU	[4]	[3]	[1]	NA
ygcW	[3]	[1]	[1]	NA
ygdB	[1]	[1]	[6]	NA
ygdD	1834	276	117	1.2
ygdG	160	58	30	0.41
ygdH	850	387	54	1.2
ygdI	386	1606	[14]	NA
ygdQ	613	74	86	0.55
ygdR	569	632	46	0.96
ygeA	226	207	17	1.03
ygeG	[0]	[1]	[0]	NA
ygeH	[0]	[0]	[0]	NA
ygeI	[0]	[5]	[1]	NA
ygeR	298	125	44	0.52
ygeV	11	7	[4]	NA
ygeW	[0]	[0]	[0]	NA
ygeX	[4]	[1]	[0]	NA
ygeY	33	12	[1]	NA
ygfA	144	41	30	0.37
ygfB	2535	878	174	1.12
ygfF	28	37	[3]	NA
ygfI	[15]	12	[4]	NA
ygfK	[0]	[0]	[1]	NA
ygfM	[11]	8	[1]	NA
ygfQ	17	13	[4]	NA
ygfS	[12]	[7]	[3]	NA
ygfT	[0]	[1]	[1]	NA
ygfU	[0]	[0]	[0]	NA
ygfX	218	59	99	0.17
ygfY	2794	974	120	1.8
ygfZ	5476	1708	191	2.2
yggC	103	40	32	0.25
yggD	70	34	49	0.11
yggE	2830	1776	100	2.17
yggF	[3]	[2]	[2]	NA
yggG	1094	461	36	2.34
yggI	174	42	[15]	NA
yggL	6699	2486	349	1.47
yggM	[3]	[1]	[1]	NA
yggN	1158	319	76	1.17
yggP	[7]	7	[1]	NA
yggR	[12]	10	[1]	NA
yggS	1053	374	75	1.08
yggT	1551	383	123	0.97
yggU	320	116	77	0.32
yggW	310	99	63	0.38
yggX	7132	2665	232	2.37
yghA	[2]	386	[1]	NA
yghB	315	123	32	0.75
yghD	45	[7]	[10]	NA
yghG	830	104	70	0.91
yghJ	1830	58	212	0.66
yghQ	[0]	[0]	[1]	NA
yghR	[0]	[0]	[1]	NA
