gene	protein_synthesis_rate__molecules_per_generation__MOPS_complete	protein_synthesis_rate__molecules_per_generation__MOPS_minimal	mrna_level__RPKM	translation_efficiency
dsbA	11119	2628	364	2.35
dsbB	2221	357	157	1.09
dsbC	2167	706	88	1.9
dsbD	456	145	35	1.01
dsbG	543	229	17	2.48
dsdA	474	131	15	2.39
dsdC	135	50	10	1.04
dsdX	12	[2]	[4]	NA
dsrB	2003	714	76	2.03
dtd	1311	649	66	1.54
dtpA	4722	24	348	1.04
dtpB	105	41	8	0.96
dtpD	48	59	6	0.67
dusA	1337	256	70	1.46
dusB	352	110	1170	0.02
dusC	196	25	37	0.4
dut	6571	1435	325	1.56
dxr	773	122	84	0.71
dxs	752	308	97	0.6
eamA	79	156	16	0.38
eamB	[16]	9	[9]	NA
ebgA	[3]	[1]	[2]	NA
ebgC	[12]	[5]	[2]	NA
ebgR	240	67	19	0.99
ecnA	461	98	146	0.24
ecnB	1128	23546	157	0.55
eco	2128	182	33	4.94
ecpD	[2]	[0]	[0]	NA
eda	11006	3295	298	2.84
edd	148	80	37	0.31
efeB	135	67	19	0.53
efeO	895	566	31	2.21
efp	41819	7562	1506	2.14
elaA	462	425	19	1.86
elaB	738	11477	27	2.13
elaD	[5]	11	[0]	NA
elbB	2434	894	98	1.92
elfA	44	19	[3]	NA
elfC	[0]	[1]	[1]	NA
elfD	[0]	[0]	[0]	NA
elfG	17	16	[2]	NA
emrA	770	229	72	0.82
emrB	181	40	58	0.24
emrD	439	[0]	40	0.85
emrE	510	142	48	0.81
emrK	[7]	[3]	[1]	NA
emrY	[3]	[2]	[1]	NA
emtA	1942	609	103	1.45
endA	163	7	[11]	NA
eno	54222	21234	1708	2.44
entA	36	33	[4]	NA
entB	59	62	[5]	NA
entC	44	60	[2]	NA
entD	[3]	[4]	[2]	NA
entE	32	33	[3]	NA
entF	24	24	3	0.66
entH	[28]	20	[4]	NA
entS	62	23	7	0.67
envC	258	106	112	0.18
envR	[1]	[1]	[1]	NA
envY	[2]	9	[0]	NA
envZ	159	43	48	0.26
epd	645	266	207	0.24
eptA	332	126	32	0.81
eptB	93	26	17	0.43
era	2832	610	265	0.82
erfK	71	183	13	0.43
erpA	17438	4534	618	2.17
essD	[16]	[2]	[4]	NA
essQ	[0]	[0]	[1]	NA
etk	71	23	9	0.58
etp	44	33	[7]	NA
eutA	[0]	[2]	[1]	NA
eutB	175	101	15	0.87
eutC	151	76	14	0.83
eutD	[1]	[2]	[1]	NA
eutE	[2]	[2]	[1]	NA
eutG	[1]	[2]	[0]	NA
eutH	[1]	[2]	[1]	NA
eutJ	[0]	[0]	[1]	NA
eutK	63	40	17	0.29
eutL	244	145	15	1.25
eutM	115	73	[3]	NA
eutN	[0]	[0]	[0]	NA
eutP	[0]	[0]	[0]	NA
eutQ	[8]	7	[1]	NA
eutR	19	22	[6]	NA
eutS	[0]	[0]	[0]	NA
eutT	[2]	[1]	[1]	NA
evgA	478	420	37	0.99
evgS	35	69	5	0.6
exbB	1995	777	132	1.16
exbD	941	298	133	0.55
exoX	377	223	26	1.11
exuR	691	289	66	0.81
exuT	11	4	[4]	NA
fabA	22820	4392	869	2.02
fabB	18626	3376	816	1.76
fabD	14340	3142	859	1.28
fabF	15814	1598	1523	0.8
fabG	21408	4015	1714	0.96
fabH	7355	1564	721	0.78
fabI	41315	8248	1196	2.66
fabR	713	244	127	0.43
fabZ	19275	3099	773	1.92
fadA	19	75	[3]	NA
fadB	15	64	[2]	NA
fadD	682	114	49	1.07
fadE	24	113	6	0.33
fadH	9	21	[1]	NA
fadI	24	39	[3]	NA
fadJ	19	37	4	0.34
fadK	[3]	4	[1]	NA
fadL	6912	416	313	1.7
fadM	[6]	50	[3]	NA
fadR	1840	395	73	1.93
fbaA	26609	13978	887	2.31
fbaB	95	2753	[6]	NA
fbp	5367	1028	267	1.55
fcl	[2]	[4]	[1]	NA
fdhD	652	111	44	1.13
fdhE	2005	351	121	1.28
fdhF	[3]	1	10	0.02
fdnG	2	0	3	0.04
fdnH	[2]	[1]	[3]	NA
fdnI	[2]	[2]	[6]	NA
fdoG	219	11	137	0.12
fdoH	209	13	67	0.24
fdoI	221	16	93	0.18
fdrA	[0]	[0]	[0]	NA
fdx	6027	1374	303	1.53
feaB	12	28	[4]	NA
feaR	[11]	17	[3]	NA
fecA	51	12	8	0.49
fecB	71	19	[8]	NA
fecC	20	3	[8]	NA
fecD	19	[3]	[7]	NA
fecE	99	44	11	0.72
fecI	115	65	29	0.3
fecR	74	34	11	0.51
feoA	289	181	[22]	NA
feoB	346	168	30	0.89
feoC	128	50	35	0.29
fepA	69	32	[3]	NA
fepB	179	88	9	1.51
fepC	68	36	[5]	NA
fepD	30	11	[5]	NA
fepE	[2]	[0]	[0]	NA
fepG	14	6	[5]	NA
fes	[7]	9	[2]	NA
ffh	4211	754	253	1.28
fhlA	30	25	5	0.51
fhuA	1208	355	88	1.05
fhuB	68	11	20	0.26
fhuC	158	54	26	0.47
fhuD	101	27	19	0.41
fhuE	20	10	[2]	NA
fhuF	319	261	49	0.5
fic	28	173	[5]	NA
fieF	387	102	84	0.35
fimA	14269	4754	344	3.19
fimB	422	394	21	1.56
fimC	149	55	[11]	NA
fimD	17	10	6	0.21
fimE	87	28	[5]	NA
fimF	[16]	14	[6]	NA
fimG	[21]	16	[5]	NA
fimH	29	25	[6]	NA
fimI	42	17	22	0.15
fimZ	[5]	[4]	[1]	NA
fis	72580	7711	1763	3.17
fiu	136	54	7	1.46
fixA	[15]	[4]	[1]	NA
fixB	20	6	[1]	NA
fixC	[3]	[1]	[1]	NA
fixX	[15]	[4]	[0]	NA
fklB	10247	2940	233	3.38
fkpA	11791	3102	361	2.51
fkpB	1155	472	176	0.5
fldA	14243	4019	418	2.62
fldB	2236	559	130	1.33
flgA	30	9	[6]	NA
flgB	78	21	[9]	NA
flgC	83	17	[8]	NA
flgD	80	23	[10]	NA
flgE	138	45	8	1.39
flgF	44	11	[6]	NA
flgG	80	31	[6]	NA
flgH	[13]	7	[3]	NA
flgI	13	8	[2]	NA
flgJ	[6]	[3]	[2]	NA
flgK	15	11	[3]	NA
flgL	39	39	[3]	NA
flgM	136	151	[5]	NA
flgN	52	38	[5]	NA
flhA	7	[2]	[2]	NA
flhB	[2]	[1]	[2]	NA
flhC	230	72	20	0.89
flhD	317	122	25	0.96
flhE	[6]	[2]	[2]	NA
fliA	40	9	[7]	NA
fliC	75	157	10	0.55
fliD	[3]	6	[1]	NA
fliE	67	14	[7]	NA
fliF	15	[1]	[3]	NA
fliG	17	[2]	[4]	NA
fliH	[11]	[2]	[3]	NA
fliI	[4]	[1]	[2]	NA
fliJ	[5]	[1]	[1]	NA
fliK	[6]	5	[1]	NA
fliL	60	[8]	[5]	NA
fliM	32	7	[5]	NA
fliN	50	12	[4]	NA
fliO	[2]	[1]	[3]	NA
fliP	[6]	[1]	[2]	NA
fliQ	[2]	[1]	[3]	NA
fliR	[2]	[2]	[0]	NA
fliS	[20]	22	[2]	NA
fliT	[5]	[5]	[2]	NA
fliY	1242	7219	43	2.21
fliZ	[15]	17	[1]	NA
flk	285	81	32	0.68
flu	122	123	4	2.37
flxA	[26]	58	[1]	NA
fmt	2766	435	234	0.91
fnr	6551	2582	383	1.32
focA	446	133	97	0.35
focB	[2]	[2]	[3]	NA
folA	2515	398	128	1.51
folB	1008	161	61	1.26
folC	1458	342	105	1.06
folD	4317	1311	153	2.17
folE	4658	9024	145	2.47
folK	269	172	58	0.36
folM	210	87	23	0.72
folP	1139	345	118	0.74
folX	4838	2140	183	2.04
fpr	674	495	40	1.3
frc	16	21	[2]	NA
frdA	420	141	31	1.03
frdB	404	144	34	0.91
frdC	267	119	29	0.71
frdD	411	141	33	0.95
fre	2512	759	200	0.97
frlA	[0]	[0]	[0]	NA
frlB	66	12	[3]	NA
frlC	[14]	8	[3]	NA
frlD	[5]	[3]	[6]	NA
frlR	346	129	22	1.2
frmA	4204	736	146	2.22
frmB	1299	129	75	1.33
frmR	1170	299	162	0.56
frr	23316	5780	1039	1.73
frsA	791	327	48	1.28
fruA	359	179	31	0.88
fruB	395	184	23	1.34
fruK	356	155	25	1.11
fruR	987	314	67	1.14
frvA	[6]	[1]	[1]	NA
frvB	[2]	[1]	[1]	NA
frvR	[0]	[0]	[2]	NA
frvX	[10]	5	[3]	NA
frwB	[26]	16	[2]	NA
frwC	[2]	[0]	[1]	NA
frwD	[3]	[7]	[2]	NA
fryA	6	4	[1]	NA
fryB	[0]	[1]	[0]	NA
fryC	[0]	[0]	[0]	NA
fsaA	103	86	[5]	NA
fsaB	28	15	[2]	NA
fsr	151	53	11	1.03
ftnA	6077	2719	114	4.09
ftnB	333	170	26	0.97
ftsA	984	575	202	0.38
ftsB	487	140	234	0.16
ftsE	967	320	185	0.4
ftsH	4550	1124	642	0.54
ftsI	349	144	169	0.16
ftsK	508	213	84	0.46
ftsL	416	201	198	0.16
ftsN	871	269	133	0.5
ftsP	905	196	99	0.71
ftsQ	336	147	135	0.19
ftsW	293	117	106	0.21
ftsX	838	244	139	0.46
ftsY	2069	519	151	1.05
ftsZ	6750	3335	396	1.31
fucA	[10]	[6]	[1]	NA
fucI	81	26	[3]	NA
fucK	17	9	[5]	NA
fucO	22	24	[4]	NA
fucP	[0]	[0]	[1]	NA
fucR	129	97	14	0.68
fucU	558	723	26	1.64
fumA	2461	1969	81	2.35
fumB	140	21	[5]	NA
fumC	498	429	19	2.02
fur	6426	2619	450	1.1
fusA	84151	15930	9266	0.7
fxsA	621	139	58	0.82
gabD	55	465	[2]	NA
gabP	[2]	43	[2]	NA
gabT	49	369	[3]	NA
gadA+gadB	[16]	2691	[0]	NA
gadC	[3]	348	[1]	NA
gadE	[5]	552	[1]	NA
gadW	107	246	18	0.45
gadX	67	284	20	0.25
galE	1734	728	58	2.29
galF	5078	2808	411	0.95
galK	313	258	39	0.61
galM	1675	1015	109	1.18
galP	368	194	26	1.09
galR	243	96	21	0.9
galS	[3]	8	[2]	NA
galT	335	135	33	0.78
galU	10550	2932	379	2.14
gapA	105852	59076	2934	2.78
garD	29	15	[3]	NA
garK	32	19	[6]	NA
