gene	ribosome initiation rate (ribosome/s)	mrna_RPKM
ribB	0.2698225395	1431.65
yqiC	0.5966446574	751.46
ygiM	0.4478927243	92.88
cca	0.0995259557	133.35
bacA	0.0634563714	143.49
folB	0.4581086431	478.73
rpsU	1.3946193609	11297.63
dnaG	0.0131005204	364.82
rpoD	0.1130250354	772.94
mug	0.1186389654	223.21
ileX	0.0896156796	536.13
yqjI	0.1213740051	120.35
rlmG	0.1917784662	100.31
exuR	0.1041406152	280.08
yhaH	0.139287734	209.58
agaR	0.0533258308	134.04
yraQ	0.0628493492	73.35
yraR	0.5525057642	111.58
nlpI	0.0085680025	2878.19
pnp	0.1287648615	1253.88
metY	0.023231241	33306.64
ftsH	0.0351750532	1811.02
rlmE	0.0598455912	507.03
yhbY	0.1077141838	3254.57
greA	0.4223077338	2012.12
ispB	0.1677789764	506.29
ibaG	0.3255590696	459.40
nanR	0.1006465626	77.27
yhcM	0.0843136536	61.16
yhcB	0.1135802739	1465.12
degQ	0.1911309922	99.41
degS	0.1605048415	57.88
mdh	0.4927171944	2961.64
argR	0.0756087173	202.15
yhcN	0.2150581881	117.21
tldD	0.1186858907	94.08
mreB	0.1912776989	1269.02
csrD	0.0442270774	72.61
yhdV	0.3294305502	165.95
rrlD	0.0137502168	63.00
rrsD	0.030184434	416.32
tufA	0.7816348181	2304.38
rpsL	0.5144959589	11437.37
fkpA	0.1287266848	1082.29
yhfA	0.9076382464	182.63
argD	0.3620480707	121.85
ppiA	0.280908792	249.07
yhfL	0.3097996354	80.79
damX	0.0521675514	454.37
aroB	0.0875644696	307.62
aroK	0.3366497511	1454.19
mrcA	0.0970173677	146.31
nudE	0.1433406126	330.84
pck	0.7097256562	768.72
greB	0.2164779594	76.71
yhgF	0.1398175666	123.39
nfuA	0.4412678127	719.77
glpD	0.1923115787	4533.76
asd	0.2963661135	1207.90
yhgN	0.057354072	159.93
gntR	0.147746293	65.05
yhhW	0.1910230522	73.02
yhhX	0.3081889647	75.98
ryhB	0.0013680753	253.47
panM	0.2530756345	55.49
livJ	0.1928464563	1851.92
rpoH	0.0509536998	3235.42
tusA	0.1381483752	99.34
acpT	0.1166706242	120.04
pitA	0.1023712869	496.31
uspB	0.1387408391	80.03
uspA	1.7117576632	1913.08
rlmJ	0.2024507823	115.00
gor	0.2356827915	329.23
hdeA	1.7215112128	161.63
yhjE	0.1629233953	315.81
kdgK	0.1776023756	148.98
yhjJ	0.3962147127	69.80
dctA	0.052492117	219.66
dppA	0.098043392	3567.25
proK	0.0618695071	16580.96
yiaD	0.1429737823	308.76
cspA	0.1281099994	11581.27
bax	0.103421233	665.62
avtA	0.2955853858	124.35
yiaJ	0.1284962908	77.76
mtlA	0.2639754608	166.01
yibL	0.1441188037	340.28
cysE	0.2673821222	124.12
grxC	0.3002144351	1140.81
yibN	0.075334064	953.75
yibB	0.314020162	91.38
yicR	0.0064717668	86.49
rph	0.0883816811	866.45
yicC	0.1479768085	902.48
gmk	0.0334737633	856.08
gltS	0.1673837119	172.12
xanP	0.0629746236	230.21
yicH	0.1094504811	131.86
selC	0.0127734911	18139.94
ivbL	0.0102020375	2122.07
ibpB	0.5576866079	149.65
ibpA	0.7322043645	186.87
yidB	0.4254707022	274.25
mnmE	0.1313688211	107.42
purP	0.1068901494	216.40
yieH	0.1012652996	60.49
pstS	0.1823450745	1305.65
glmS	0.1794717619	514.58
glmU	0.1059078152	430.38
rsmG	0.4886418219	61.23
mnmG	0.2153345174	395.72
mioC	0.1631502154	883.77
rrsC	0.0158137799	307.83
rrlC	0.0284398105	3298.54
ilvL	0.0564229211	1319.93
ilvC	0.4370099422	3287.33
ppiC	0.1729828182	824.60
rhlB	0.1678329594	291.48
trxA	0.833262049	2981.45
rho	0.1679805089	539.37
yifK	0.0221914439	64.06
argX	0.0181843735	15583.15
uvrD	0.0522406305	119.78
pldA	0.2026622195	258.71
rhtC	0.2098264683	82.20
rhtB	0.16948703	88.36
udp	0.5463915315	226.06
rrlA	0.1829640976	1194.85
rrfA	0.0071554745	92148.20
yihD	0.7382053924	308.02
polA	0.1988671722	134.18
spf	0.0078112492	5247.23
yihA	0.1055101928	1037.03
csrC	0.003442776	8296.09
yihI	0.1110983104	747.08
hemN	0.2066814231	88.38
yshB	0.1961782541	5249.72
